,pruid,date,Class,median_numtoday,median_numdeathstoday,median_numteststoday,median_numrecoveredtoday,std_numtoday,std_numdeathstoday,std_numteststoday,std_numrecoveredtoday,var_numtoday,var_numdeathstoday,var_numteststoday,var_numrecoveredtoday,skew_numtoday,skew_numdeathstoday,skew_numteststoday,skew_numrecoveredtoday,kurt_numtoday,kurt_numdeathstoday,kurt_numteststoday,kurt_numrecoveredtoday
0,35,20200131,0.0,3.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
3,35,20200208,0.0,1.5,0.0,0.0,0.0,2.1213203435596424,0.0,0.0,0.0,4.5,0.0,0.0,0.0,,,,,,,,
6,35,20200216,0.0,0.0,0.0,0.0,0.0,1.7320508075688772,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.7320508075688767,,,,,,,
9,35,20200221,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,2.25,0.0,0.0,0.0,2.0,,,,4.0,,,
12,35,20200224,0.0,0.0,0.0,0.0,0.0,1.3038404810405297,0.0,0.0,0.0,1.7,0.0,0.0,0.0,1.7143921075143869,,,,2.6634643621045355,,,
15,35,20200225,0.0,0.0,0.0,0.0,0.0,1.2110601416389966,0.0,0.0,0.0,1.4666666666666666,0.0,0.0,0.0,1.9517082401536472,,,,3.655990579225893,,,
18,35,20200226,0.0,0.0,0.0,0.0,0.0,1.1126972805283735,0.0,0.0,0.0,1.238095238095238,0.0,0.0,0.0,1.7836075142978314,,,,3.2305148368749586,,,
21,35,20200227,0.0,0.5,0.0,0.0,0.0,1.0350983390135313,0.0,0.0,0.0,1.0714285714285714,0.0,0.0,0.0,1.6745590906707792,,,,3.1360000000000006,,,
24,35,20200229,0.0,1.0,0.0,0.0,0.0,1.0540925533894596,0.0,0.0,0.0,1.111111111111111,0.0,0.0,0.0,1.0943743392132148,,,,0.6118363598211227,,,
27,35,20200301,0.0,1.0,0.0,0.0,0.0,2.1730674684008826,0.0,0.0,0.0,4.722222222222221,0.0,0.0,0.0,2.11140950193615,,,,4.867038335295756,,,
31,35,20200303,0.0,1.0,0.0,0.0,0.0,2.3159525823376357,0.0,0.0,0.0,5.363636363636362,0.0,0.0,0.0,1.4495383849403862,,,,1.380715094279167,,,
35,35,20200305,0.0,1.0,0.0,0.0,0.0,2.208797835653566,0.0,0.0,0.0,4.878787878787878,0.0,0.0,0.0,1.4667488338848482,,,,1.670875847539724,,,
39,35,20200306,0.0,1.0,0.0,0.0,0.0,2.409915415049314,0.0,0.0,0.0,5.807692307692307,0.0,0.0,0.0,1.0539938921161718,,,,-0.1341222981206422,,,
43,35,20200307,0.0,1.0,0.0,0.0,0.0,2.3858557568108956,0.0,0.0,0.0,5.692307692307692,0.0,0.0,0.0,1.1497942478579357,,,,0.10962695095430904,,,
47,35,20200308,0.0,1.0,0.0,0.0,0.0,2.3135213317324204,0.0,0.0,0.0,5.352380952380952,0.0,0.0,0.0,1.0649849319961835,,,,0.0756046900499566,,,
52,35,20200309,0.0,1.0,0.0,0.0,0.0,2.3135213317324204,0.0,0.0,0.0,5.352380952380952,0.0,0.0,0.0,1.0649849319961835,,,,0.0756046900499566,,,
