,pruid,date,numtoday,numdeathstoday,numteststoday,numrecoveredtoday,moving_numtoday,moving_numdeathstoday,moving_numteststoday,moving_numrecoveredtoday
70,99,20200311,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0
85,99,20200312,0,0.0,1.0,0.0,0.5,0.0,0.5,0.0
100,99,20200313,1,0.0,6.0,0.0,0.6666666666666666,0.0,2.3333333333333335,0.0
115,99,20200314,0,0.0,2.0,0.0,0.5,0.0,2.25,0.0
130,99,20200315,2,0.0,9.0,0.0,0.8,0.0,3.6,0.0
145,99,20200316,0,0.0,2.0,0.0,0.6666666666666666,0.0,3.3333333333333335,0.0
160,99,20200317,4,0.0,6.0,0.0,1.1428571428571428,0.0,3.7142857142857144,0.0
175,99,20200318,1,0.0,6.0,0.0,1.125,0.0,4.0,0.0
190,99,20200319,1,0.0,1.0,0.0,1.1111111111111112,0.0,3.6666666666666665,0.0
205,99,20200320,3,0.0,1.0,0.0,1.3,0.0,3.4,0.0
220,99,20200321,0,0.0,2.0,0.0,1.2,0.0,3.6,0.0
235,99,20200322,0,0.0,6.0,0.0,1.2,0.0,4.1,0.0
250,99,20200323,0,0.0,1.0,0.0,1.1,0.0,3.6,0.0
265,99,20200324,0,0.0,4.0,0.0,1.1,0.0,3.8,0.0
280,99,20200325,0,0.0,1.0,0.0,0.9,0.0,3.0,0.0
295,99,20200326,0,0.0,0.0,0.0,0.9,0.0,2.8,0.0
310,99,20200327,0,0.0,0.0,0.0,0.5,0.0,2.2,0.0
325,99,20200328,0,0.0,0.0,0.0,0.4,0.0,1.6,0.0
340,99,20200329,0,0.0,0.0,0.0,0.3,0.0,1.5,0.0
355,99,20200330,0,0.0,0.0,9.0,0.0,0.0,1.4,0.9
370,99,20200331,0,0.0,0.0,3.0,0.0,0.0,1.2,1.2
385,99,20200401,0,0.0,0.0,0.0,0.0,0.0,0.6,1.2
400,99,20200402,0,0.0,0.0,0.0,0.0,0.0,0.5,1.2
415,99,20200403,0,0.0,0.0,0.0,0.0,0.0,0.1,1.2
430,99,20200404,0,0.0,0.0,0.0,0.0,0.0,0.0,1.2
445,99,20200405,0,0.0,0.0,12.0,0.0,0.0,0.0,2.4
460,99,20200406,0,0.0,0.0,0.0,0.0,0.0,0.0,2.4
475,99,20200407,0,0.0,0.0,0.0,0.0,0.0,0.0,2.4
490,99,20200408,0,0.0,0.0,0.0,0.0,0.0,0.0,2.4
505,99,20200409,0,0.0,0.0,0.0,0.0,0.0,0.0,1.5
520,99,20200410,0,0.0,0.0,0.0,0.0,0.0,0.0,1.2
535,99,20200411,0,0.0,0.0,0.0,0.0,0.0,0.0,1.2
550,99,20200412,0,0.0,0.0,0.0,0.0,0.0,0.0,1.2
565,99,20200413,0,0.0,0.0,0.0,0.0,0.0,0.0,1.2
580,99,20200414,0,0.0,0.0,0.0,0.0,0.0,0.0,1.2
595,99,20200415,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
610,99,20200416,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
625,99,20200417,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
640,99,20200418,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
655,99,20200419,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
670,99,20200420,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
685,99,20200421,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
700,99,20200422,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
715,99,20200423,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
730,99,20200424,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
745,99,20200425,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
760,99,20200426,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
775,99,20200427,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
790,99,20200428,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
805,99,20200429,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
820,99,20200430,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
835,99,20200501,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
850,99,20200502,0,0.0,0.0,13.0,0.0,0.0,0.0,1.3
865,99,20200503,0,0.0,0.0,0.0,0.0,0.0,0.0,1.3
880,99,20200504,0,0.0,0.0,0.0,0.0,0.0,0.0,1.3
895,99,20200505,0,0.0,0.0,0.0,0.0,0.0,0.0,1.3
910,99,20200506,0,0.0,0.0,0.0,0.0,0.0,0.0,1.3
925,99,20200507,0,0.0,0.0,0.0,0.0,0.0,0.0,1.3
940,99,20200508,0,0.0,0.0,0.0,0.0,0.0,0.0,1.3
955,99,20200509,0,0.0,0.0,0.0,0.0,0.0,0.0,1.3
970,99,20200510,0,0.0,0.0,0.0,0.0,0.0,0.0,1.3
985,99,20200511,0,0.0,0.0,0.0,0.0,0.0,0.0,1.3
1000,99,20200512,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1015,99,20200513,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1030,99,20200514,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1045,99,20200515,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1060,99,20200516,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1075,99,20200517,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1090,99,20200518,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1105,99,20200519,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1120,99,20200520,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1135,99,20200521,0,0.0,0.0,13.0,0.0,0.0,0.0,1.3
1150,99,20200522,0,0.0,0.0,0.0,0.0,0.0,0.0,1.3
1165,99,20200523,0,0.0,0.0,0.0,0.0,0.0,0.0,1.3
1180,99,20200524,0,0.0,0.0,0.0,0.0,0.0,0.0,1.3
1195,99,20200525,0,0.0,0.0,0.0,0.0,0.0,0.0,1.3
1210,99,20200526,0,0.0,0.0,0.0,0.0,0.0,0.0,1.3
1225,99,20200527,0,0.0,0.0,0.0,0.0,0.0,0.0,1.3
1240,99,20200528,0,0.0,0.0,0.0,0.0,0.0,0.0,1.3
1255,99,20200529,0,0.0,0.0,0.0,0.0,0.0,0.0,1.3
1270,99,20200530,0,0.0,0.0,0.0,0.0,0.0,0.0,1.3
1285,99,20200531,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1300,99,20200601,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1315,99,20200602,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1330,99,20200603,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1345,99,20200604,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1360,99,20200605,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1375,99,20200606,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1390,99,20200607,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1405,99,20200608,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1420,99,20200609,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1435,99,20200610,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1450,99,20200611,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1465,99,20200612,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1480,99,20200613,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495,99,20200614,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1510,99,20200615,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1525,99,20200616,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1540,99,20200617,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1555,99,20200618,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1570,99,20200619,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1585,99,20200620,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1600,99,20200621,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1615,99,20200622,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1630,99,20200623,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1645,99,20200624,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1660,99,20200625,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1675,99,20200626,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1690,99,20200627,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1705,99,20200628,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1720,99,20200629,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1735,99,20200630,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1750,99,20200701,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1765,99,20200702,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1780,99,20200703,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1795,99,20200704,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1810,99,20200705,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1825,99,20200706,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1840,99,20200707,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1855,99,20200708,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1870,99,20200709,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1885,99,20200710,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1900,99,20200711,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1915,99,20200712,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1930,99,20200713,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1945,99,20200714,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960,99,20200715,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1975,99,20200716,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990,99,20200717,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005,99,20200718,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,99,20200719,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2035,99,20200720,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2050,99,20200721,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2065,99,20200722,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2080,99,20200723,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2095,99,20200724,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2110,99,20200725,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2125,99,20200726,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2140,99,20200727,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2155,99,20200728,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2170,99,20200729,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2185,99,20200730,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2200,99,20200731,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2215,99,20200801,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
