,pruid,date,numtoday,numdeathstoday,numteststoday,numrecoveredtoday,Class,moving_numtoday,moving_numdeathstoday,moving_numteststoday,moving_numrecoveredtoday,moving_numtoday_loess5%,moving_numtoday_loess15%,moving_numdeathstoday_loess5%,moving_numdeathstoday_loess15%,moving_numteststoday_loess5%,moving_numteststoday_loess15%,moving_numrecoveredtoday_loess5%,moving_numrecoveredtoday_loess15%
66,11,20200311,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8785246121231385,17.63320593972461,0.05810927082079153,0.14935087138871123,226.37403510815795,500.5624286856019,-0.9102277329150267,-1.705617453445493
81,11,20200312,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.936313520196424,18.041567382157304,0.07605202800617988,0.1531593063484082,286.03235407298274,518.1706013420071,-0.5279416094008658,-1.199556177838493
96,11,20200313,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.987874481568518,18.443583565247078,0.09385301031975302,0.15692448639020806,344.82273528140416,535.6546905056207,-0.12695119941590663,-0.6925311637690007
111,11,20200314,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.028771725222612,18.839354572669848,0.11146558706311992,0.160647328162561,402.7769802517309,553.0193981694953,0.2928634387126074,-0.18456222198096617
126,11,20200315,1,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,13.055131145466369,19.22903010388568,0.12885975018045498,0.16432929286529693,459.9442689335391,570.2700649939338,0.7313502184743044,0.32432729983803926
141,11,20200316,0,0.0,42.0,0.0,0.0,0.16666666666666666,0.0,7.0,0.0,15.064604997032209,19.61281356130843,0.14603266415693028,0.16797239505830777,516.3964398691929,587.4125004817531,1.1880092699145968,0.8341118185089741
156,11,20200317,0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,6.0,0.0,17.05704873910421,19.990955531794388,0.16300984210795322,0.17157899920265535,572.2418540232702,604.4528579065922,1.661820648734966,1.3447648022483303
171,11,20200318,0,0.0,0.0,0.0,0.0,0.125,0.0,5.25,0.0,19.03546608303762,20.363743432509445,0.17983370068715246,0.17515147161895592,627.649071177384,621.3975055781877,2.1509413164104987,1.856260052943843
186,11,20200319,1,0.0,0.0,0.0,0.0,0.2222222222222222,0.0,4.666666666666667,0.0,21.008279360091706,20.73149292311759,0.19658004779290109,0.17869218102121356,682.8649014883583,638.252786192897,2.6524890120408626,2.3685729963326017
201,11,20200320,0,0.0,0.0,0.0,0.0,0.2,0.0,4.2,0.0,22.99331294146006,21.09453036841906,0.21338184243680292,0.18220344543245914,738.1407328905697,655.0246732439143,3.1643459047095908,2.8816819961240454
