,pruid,date,numtoday,numdeathstoday,numteststoday,numrecoveredtoday,provinceID,lockdate,label
126,10,2020-03-15,1,0.0,109.0,,,,
127,13,2020-03-15,0,0.0,8.0,,,,
128,12,2020-03-15,0,0.0,170.0,,12.0,2020-03-15,1.0
129,11,2020-03-15,1,0.0,0.0,,11.0,2020-03-15,1.0
130,60,2020-03-15,0,0.0,12.0,,,,
131,61,2020-03-15,0,0.0,15.0,,,,
132,62,2020-03-15,0,0.0,0.0,,,,
133,99,2020-03-15,2,0.0,9.0,,,,
134,1,2020-03-15,54,0.0,4148.0,,,,
135,59,2020-03-16,0,3.0,1550.0,,59.0,2020-03-16,1.0
136,59,2020-03-16,0,3.0,1550.0,,59.0,2020-03-16,1.0
137,59,2020-03-16,0,3.0,1550.0,,59.0,2020-03-16,1.0
138,48,2020-03-16,17,0.0,1555.0,,48.0,2020-03-16,1.0
139,47,2020-03-16,4,0.0,0.0,,47.0,2020-03-16,1.0
140,46,2020-03-16,3,0.0,346.0,,,,
141,35,2020-03-16,42,0.0,0.0,,35.0,2020-03-16,1.0
142,35,2020-03-16,42,0.0,0.0,,35.0,2020-03-16,1.0
143,35,2020-03-16,42,0.0,0.0,,35.0,2020-03-16,1.0
144,35,2020-03-16,42,0.0,0.0,,35.0,2020-03-16,1.0
145,24,2020-03-16,15,0.0,672.0,,24.0,2020-03-16,1.0
146,24,2020-03-16,15,0.0,672.0,,24.0,2020-03-16,1.0
147,24,2020-03-16,15,0.0,672.0,,24.0,2020-03-16,1.0
148,24,2020-03-16,15,0.0,672.0,,24.0,2020-03-16,1.0
149,24,2020-03-16,15,0.0,672.0,,24.0,2020-03-16,1.0
150,24,2020-03-16,15,0.0,672.0,,24.0,2020-03-16,1.0
151,24,2020-03-16,15,0.0,672.0,,24.0,2020-03-16,1.0
152,10,2020-03-16,0,0.0,101.0,,10.0,2020-03-16,1.0
153,13,2020-03-16,4,0.0,28.0,,13.0,2020-03-16,1.0
154,13,2020-03-16,4,0.0,28.0,,13.0,2020-03-16,1.0
155,13,2020-03-16,4,0.0,28.0,,13.0,2020-03-16,1.0
156,12,2020-03-16,3,0.0,207.0,,,,
157,11,2020-03-16,0,0.0,42.0,,11.0,2020-03-16,1.0
158,60,2020-03-16,0,0.0,0.0,,60.0,2020-03-16,1.0
159,61,2020-03-16,0,0.0,15.0,,61.0,2020-03-16,1.0
160,61,2020-03-16,0,0.0,15.0,,61.0,2020-03-16,1.0
161,62,2020-03-16,0,0.0,1.0,,62.0,2020-03-16,1.0
162,99,2020-03-16,0,0.0,2.0,,,,
