,pruid,date,numtoday,numdeathstoday,numteststoday,numrecoveredtoday,Class,moving_numtoday,moving_numdeathstoday,moving_numteststoday,moving_numrecoveredtoday,moving_numtoday_loess5%,moving_numtoday_loess15%,moving_numdeathstoday_loess5%,moving_numdeathstoday_loess15%,moving_numteststoday_loess5%,moving_numteststoday_loess15%,moving_numrecoveredtoday_loess5%,moving_numrecoveredtoday_loess15%
0,35,20200131,3,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,-4.148116743995986,15.760693607381615,-0.021522756938527923,0.13207230586438767,-45.78541925185539,421.5502097344019,-2.385014247367064,-3.920607347430793
3,35,20200208,0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,-3.740896729394177,15.848443064143552,-0.017894343762133908,0.13287606324978646,-33.12595512055849,425.1960573923201,-2.3245718809738194,-3.8203367336839706
6,35,20200216,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-3.3332982614412936,15.93594764451405,-0.014266025956246643,0.13367810161066904,-20.489213963198726,428.836820587276,-2.2635750864019157,-3.7200277955396484
9,35,20200221,0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,-2.9253252927775386,16.02320607230045,-0.01063788590327872,0.13447841295683652,-7.875878802906047,432.4724742107848,-2.202010396268016,-3.6196803306314322
12,35,20200224,1,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,-2.516984127836614,16.110217145164274,-0.0070100162591714,0.13527699001448884,4.7133397355081055,436.10299535698533,-2.139864893903136,-3.519294155881353
15,35,20200225,0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,-2.1082830119154026,16.19697973869177,-0.0033825184847509535,0.13607382623232991,17.277709401317043,439.7283633468881,-2.0771262013563105,-3.41886910699846
18,35,20200226,1,0.0,0.0,0.0,0.0,0.7142857142857143,0.0,0.0,0.0,-1.699231961760152,16.2834928073993,0.00024449860390868565,0.13686891578769445,29.816482233040944,443.34855975260245,-2.0137824681609042,-3.3184050379821772
21,35,20200227,1,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,-1.2898425913848894,16.369755385820795,0.0038709202687693257,0.13766225359267284,42.32890041971287,446.9635684215399,-1.949822360785345,-3.2179018206290757
24,35,20200229,2,0.0,0.0,0.0,0.0,0.8888888888888888,0.0,0.0,0.0,-0.880128005027699,16.45576658874404,0.0074966272694275,0.13845383530026473,54.81420211457347,450.57337550057554,-1.8852350526966208,-3.1173593440441136
27,35,20200301,7,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,-0.47010264765435483,16.541525612020475,0.011121497271756844,0.13924365731052005,67.27162720757869,454.17796946019047,-1.8200102149712056,-3.0167775141553466
31,35,20200303,5,0.0,0.0,0.0,0.0,1.7,0.0,0.0,0.0,0.07705351441202966,16.655477452935912,0.01595314083967125,0.14029401120620316,83.8368646668043,458.97596991413565,-1.7320351134528114,-2.8826070593318995
35,35,20200305,2,0.0,0.0,0.0,0.0,1.9,0.0,0.0,0.0,0.6246904546265508,16.768978164101647,0.020782781712117945,0.14134122713274916,100.3494622819875,463.7646713559494,-1.642887186936543,-2.748366366121588
