,pruid,date,numtoday,numdeathstoday,numteststoday,numrecoveredtoday,Class
63,13,2020-03-11,0,0.0,,,
79,13,2020-03-12,1,0.0,16.0,,
94,13,2020-03-13,0,0.0,75.0,,
109,13,2020-03-14,1,0.0,94.0,,
124,13,2020-03-15,0,0.0,8.0,,
139,13,2020-03-16,4,0.0,28.0,,1.0
154,13,2020-03-17,1,0.0,125.0,,1.0
169,13,2020-03-18,1,0.0,87.0,,1.0
184,13,2020-03-19,3,0.0,106.0,,1.0
199,13,2020-03-20,0,0.0,123.0,,1.0
214,13,2020-03-21,6,0.0,21.0,,1.0
229,13,2020-03-22,0,0.0,230.0,,1.0
244,13,2020-03-23,0,0.0,186.0,,1.0
259,13,2020-03-24,1,0.0,215.0,,1.0
274,13,2020-03-25,8,0.0,277.0,,1.0
289,13,2020-03-26,7,0.0,316.0,,1.0
304,13,2020-03-27,12,0.0,307.0,1.0,1.0
319,13,2020-03-28,6,0.0,330.0,1.0,1.0
334,13,2020-03-29,15,0.0,382.0,0.0,1.0
349,13,2020-03-30,2,0.0,289.0,0.0,1.0
364,13,2020-03-31,2,0.0,295.0,7.0,1.0
379,13,2020-04-01,11,0.0,454.0,5.0,1.0
394,13,2020-04-02,10,0.0,447.0,8.0,1.0
409,13,2020-04-03,4,0.0,457.0,,1.0
424,13,2020-04-04,3,0.0,356.0,,1.0
439,13,2020-04-05,3,0.0,218.0,28.0,1.0
454,13,2020-04-06,2,0.0,271.0,2.0,1.0
469,13,2020-04-07,2,0.0,279.0,,1.0
484,13,2020-04-08,3,0.0,433.0,,1.0
499,13,2020-04-09,3,0.0,395.0,,1.0
514,13,2020-04-10,1,0.0,457.0,,1.0
529,13,2020-04-11,0,0.0,338.0,,1.0
544,13,2020-04-12,2,0.0,267.0,,1.0
559,13,2020-04-13,2,0.0,243.0,,1.0
574,13,2020-04-14,0,0.0,212.0,,1.0
589,13,2020-04-15,1,0.0,263.0,,1.0
604,13,2020-04-16,0,0.0,524.0,,0.0
619,13,2020-04-17,0,0.0,608.0,,0.0
634,13,2020-04-18,1,0.0,408.0,87.0,0.0
649,13,2020-04-19,0,0.0,485.0,5.0,0.0
664,13,2020-04-20,0,0.0,226.0,6.0,0.0
679,13,2020-04-21,0,0.0,293.0,4.0,0.0
694,13,2020-04-22,0,0.0,369.0,2.0,0.0
709,13,2020-04-23,0,0.0,367.0,0.0,0.0
724,13,2020-04-24,0,0.0,304.0,3.0,0.0
739,13,2020-04-25,0,0.0,423.0,0.0,0.0
754,13,2020-04-26,0,0.0,280.0,4.0,0.0
769,13,2020-04-27,0,0.0,208.0,1.0,0.0
784,13,2020-04-28,0,0.0,224.0,2.0,0.0
799,13,2020-04-29,0,0.0,277.0,0.0,0.0
814,13,2020-04-30,0,0.0,365.0,0.0,0.0
829,13,2020-05-01,0,0.0,549.0,2.0,0.0
844,13,2020-05-02,0,0.0,383.0,2.0,0.0
859,13,2020-05-03,0,0.0,341.0,0.0,0.0
874,13,2020-05-04,0,0.0,224.0,0.0,0.0
889,13,2020-05-05,1,0.0,240.0,0.0,0.0
904,13,2020-05-06,1,0.0,397.0,0.0,0.0
919,13,2020-05-07,0,0.0,384.0,0.0,0.0
