,pruid,date,numtoday,numdeathstoday,numteststoday,numrecoveredtoday,Class
29,24,2020-03-01,1,0.0,,,
33,24,2020-03-03,0,0.0,,,
37,24,2020-03-05,1,0.0,,,
41,24,2020-03-06,0,0.0,,,
45,24,2020-03-07,0,0.0,,,
49,24,2020-03-08,1,0.0,,,
54,24,2020-03-09,1,0.0,,,
62,24,2020-03-11,3,0.0,,,
77,24,2020-03-12,6,0.0,131.0,,
92,24,2020-03-13,4,0.0,216.0,,
107,24,2020-03-14,0,0.0,337.0,,
122,24,2020-03-15,7,0.0,279.0,,1.0
137,24,2020-03-16,15,0.0,672.0,,1.0
152,24,2020-03-17,11,0.0,775.0,,1.0
167,24,2020-03-18,24,1.0,1104.0,,1.0
182,24,2020-03-19,47,0.0,1494.0,,1.0
197,24,2020-03-20,18,0.0,1471.0,,1.0
212,24,2020-03-21,82,3.0,3106.0,,1.0
227,24,2020-03-22,0,0.0,3591.0,,1.0
242,24,2020-03-23,407,0.0,4150.0,,1.0
257,24,2020-03-24,385,0.0,3883.0,,1.0
272,24,2020-03-25,326,2.0,4803.0,,1.0
287,24,2020-03-26,290,2.0,3818.0,2.0,1.0
302,24,2020-03-27,392,10.0,5297.0,27.0,1.0
317,24,2020-03-28,477,4.0,5993.0,0.0,1.0
332,24,2020-03-29,342,0.0,6394.0,0.0,1.0
347,24,2020-03-30,590,3.0,5964.0,0.0,1.0
362,24,2020-03-31,732,6.0,7313.0,0.0,1.0
377,24,2020-04-01,449,2.0,8062.0,0.0,1.0
392,24,2020-04-02,907,3.0,7259.0,195.0,1.0
407,24,2020-04-03,583,25.0,6364.0,,1.0
422,24,2020-04-04,896,14.0,6794.0,,1.0
437,24,2020-04-05,947,19.0,7091.0,0.0,1.0
452,24,2020-04-06,636,27.0,5020.0,611.0,1.0
467,24,2020-04-07,760,29.0,3597.0,,1.0
482,24,2020-04-08,691,25.0,4458.0,,1.0
497,24,2020-04-09,881,41.0,5118.0,,1.0
512,24,2020-04-10,765,25.0,4430.0,,1.0
527,24,2020-04-11,615,48.0,5372.0,,1.0
542,24,2020-04-12,554,39.0,5069.0,,1.0
557,24,2020-04-13,711,32.0,5259.0,,1.0
572,24,2020-04-14,691,75.0,6085.0,,1.0
587,24,2020-04-15,612,52.0,6921.0,,1.0
602,24,2020-04-16,997,143.0,6567.0,,1.0
617,24,2020-04-17,941,58.0,6295.0,,1.0
632,24,2020-04-18,723,117.0,6137.0,3315.0,1.0
647,24,2020-04-19,836,72.0,5818.0,240.0,1.0
662,24,2020-04-20,962,62.0,5344.0,292.0,1.0
677,24,2020-04-21,807,102.0,4928.0,201.0,1.0
692,24,2020-04-22,839,93.0,4802.0,243.0,0.0
707,24,2020-04-23,873,109.0,5323.0,193.0,0.0
722,24,2020-04-24,778,97.0,6600.0,240.0,0.0
737,24,2020-04-25,651,106.0,6350.0,333.0,0.0
752,24,2020-04-26,840,69.0,6362.0,285.0,0.0
767,24,2020-04-27,875,84.0,6096.0,175.0,0.0
782,24,2020-04-28,775,83.0,5709.0,324.0,0.0
797,24,2020-04-29,837,79.0,5326.0,207.0,0.0
812,24,2020-04-30,944,98.0,6452.0,251.0,0.0
827,24,2020-05-01,1110,163.0,7125.0,401.0,0.0
842,24,2020-05-02,1008,114.0,6957.0,265.0,0.0
857,24,2020-05-03,2209,69.0,7508.0,293.0,0.0
872,24,2020-05-04,758,75.0,6793.0,320.0,0.0
887,24,2020-05-05,794,118.0,5958.0,345.0,0.0
902,24,2020-05-06,910,112.0,4965.0,361.0,0.0
917,24,2020-05-07,911,121.0,7256.0,389.0,0.0
932,24,2020-05-08,912,94.0,8066.0,255.0,0.0
947,24,2020-05-09,836,61.0,7834.0,340.0,0.0
962,24,2020-05-10,735,142.0,8172.0,258.0,0.0
977,24,2020-05-11,748,85.0,7523.0,177.0,0.0
992,24,2020-05-12,756,118.0,7356.0,353.0,0.0
1007,24,2020-05-13,706,89.0,6334.0,414.0,0.0
1022,24,2020-05-14,793,131.0,8464.0,359.0,0.0
1037,24,2020-05-15,696,50.0,9139.0,210.0,0.0
1052,24,2020-05-16,763,82.0,10014.0,419.0,0.0
1067,24,2020-05-17,737,79.0,10311.0,296.0,0.0
1082,24,2020-05-18,707,34.0,10679.0,291.0,0.0
1097,24,2020-05-19,570,51.0,8530.0,452.0,0.0
1112,24,2020-05-20,578,71.0,6758.0,325.0,0.0
1127,24,2020-05-21,720,82.0,8982.0,505.0,0.0
1142,24,2020-05-22,646,65.0,10134.0,492.0,0.0
1157,24,2020-05-23,697,75.0,11782.0,225.0,0.0
1172,24,2020-05-24,573,44.0,12165.0,287.0,0.0
1187,24,2020-05-25,573,85.0,12091.0,323.0,0.0
1202,24,2020-05-26,614,70.0,10832.0,345.0,0.0
1217,24,2020-05-27,541,89.0,7180.0,320.0,0.0
1232,24,2020-05-28,563,74.0,10063.0,299.0,0.0
1247,24,2020-05-29,530,61.0,12086.0,290.0,0.0
1262,24,2020-05-30,419,76.0,12029.0,162.0,0.0
1277,24,2020-05-31,408,202.0,11891.0,276.0,0.0
1292,24,2020-06-01,295,20.0,11599.0,251.0,0.0
1307,24,2020-06-02,239,52.0,8369.0,206.0,0.0
1322,24,2020-06-03,291,81.0,7046.0,295.0,0.0
1337,24,2020-06-04,259,91.0,9560.0,238.0,0.0
1352,24,2020-06-05,255,50.0,10078.0,428.0,0.0
1367,24,2020-06-06,226,35.0,9367.0,648.0,0.0
1382,24,2020-06-07,225,8.0,10587.0,302.0,0.0
1397,24,2020-06-08,198,6.0,7996.0,280.0,0.0
1412,24,2020-06-09,138,45.0,5717.0,367.0,0.0
1427,24,2020-06-10,156,52.0,5580.0,480.0,0.0
1442,24,2020-06-11,144,24.0,8716.0,458.0,0.0
1457,24,2020-06-12,181,43.0,7938.0,524.0,0.0
1472,24,2020-06-13,158,47.0,7780.0,458.0,0.0
1487,24,2020-06-14,128,27.0,8983.0,461.0,0.0
1502,24,2020-06-15,102,20.0,6897.0,471.0,0.0
1517,24,2020-06-16,92,27.0,4675.0,137.0,0.0
1532,24,2020-06-17,117,29.0,5336.0,199.0,0.0
1547,24,2020-06-18,120,42.0,8521.0,205.0,0.0
1562,24,2020-06-19,167,35.0,8812.0,218.0,0.0
1577,24,2020-06-20,124,33.0,9052.0,229.0,0.0
1592,24,2020-06-21,92,9.0,8602.0,121.0,0.0
1607,24,2020-06-22,69,0.0,7544.0,184.0,0.0
1622,24,2020-06-23,49,7.0,4990.0,114.0,0.0
1637,24,2020-06-24,53,17.0,5024.0,90.0,0.0
1652,24,2020-06-25,142,7.0,7853.0,76.0,0.0
1667,24,2020-06-26,0,0.0,8098.0,0.0,0.0
1682,24,2020-06-27,0,0.0,6346.0,0.0,0.0
1697,24,2020-06-28,0,0.0,8920.0,0.0,0.0
1712,24,2020-06-29,311,37.0,7702.0,816.0,0.0
1727,24,2020-06-30,68,18.0,5673.0,196.0,0.0
1742,24,2020-07-01,0,0.0,5698.0,0.0,0.0
1757,24,2020-07-02,135,38.0,8322.0,236.0,0.0
1772,24,2020-07-03,89,19.0,8239.0,124.0,0.0
1787,24,2020-07-04,102,6.0,6645.0,122.0,0.0
1802,24,2020-07-05,79,8.0,7829.0,66.0,0.0
1817,24,2020-07-06,74,3.0,6280.0,32.0,0.0
1832,24,2020-07-07,60,13.0,5328.0,80.0,0.0
1847,24,2020-07-08,82,13.0,6480.0,76.0,0.0
1862,24,2020-07-09,137,6.0,8443.0,82.0,0.0
1877,24,2020-07-10,100,3.0,10306.0,59.0,1.0
1892,24,2020-07-11,91,8.0,11576.0,98.0,1.0
1907,24,2020-07-12,114,7.0,10658.0,89.0,1.0
1922,24,2020-07-13,100,1.0,9995.0,49.0,1.0
1937,24,2020-07-14,109,5.0,7701.0,114.0,1.0
1952,24,2020-07-15,129,3.0,9107.0,72.0,1.0
1967,24,2020-07-16,142,10.0,11552.0,156.0,1.0
1982,24,2020-07-17,141,1.0,13383.0,23686.0,1.0
1997,24,2020-07-18,158,7.0,13975.0,88.0,1.0
2012,24,2020-07-19,166,1.0,15314.0,23.0,1.0
2027,24,2020-07-20,150,2.0,13823.0,140.0,1.0
2042,24,2020-07-21,180,1.0,10826.0,108.0,1.0
2057,24,2020-07-22,142,4.0,10958.0,75.0,1.0
2072,24,2020-07-23,142,0.0,14146.0,132.0,1.0
2087,24,2020-07-24,163,1.0,15595.0,110.0,1.0
2102,24,2020-07-25,171,3.0,16572.0,88.0,1.0
2117,24,2020-07-26,169,1.0,14486.0,109.0,1.0
2132,24,2020-07-27,145,0.0,12624.0,74.0,1.0
2147,24,2020-07-28,169,3.0,11748.0,0.0,1.0
2162,24,2020-07-29,112,2.0,12537.0,0.0,1.0
2177,24,2020-07-30,122,1.0,14312.0,0.0,1.0
2192,24,2020-07-31,181,1.0,17482.0,0.0,1.0
2207,24,2020-08-01,146,4.0,16454.0,0.0,1.0
2222,24,2020-08-02,141,3.0,16035.0,0.0,1.0
2237,24,2020-08-03,123,2.0,14812.0,0.0,1.0
2252,24,2020-08-04,123,2.0,10203.0,0.0,1.0
2267,24,2020-08-05,155,2.0,11741.0,0.0,1.0
2282,24,2020-08-06,133,0.0,16178.0,0.0,1.0
2297,24,2020-08-07,108,0.0,16369.0,0.0,1.0
2312,24,2020-08-08,126,5.0,16976.0,0.0,1.0
2327,24,2020-08-09,104,3.0,16016.0,0.0,1.0
2342,24,2020-08-10,156,1.0,14072.0,2155.0,0.0
2357,24,2020-08-11,91,1.0,10694.0,94.0,0.0
2372,24,2020-08-12,95,12.0,10724.0,135.0,0.0
2387,24,2020-08-13,104,6.0,15311.0,171.0,0.0
2402,24,2020-08-14,87,3.0,16593.0,157.0,0.0
2417,24,2020-08-15,80,1.0,16994.0,111.0,0.0
2432,24,2020-08-16,67,1.0,15003.0,138.0,0.0
2447,24,2020-08-17,55,1.0,12292.0,83.0,0.0
2462,24,2020-08-18,46,6.0,9589.0,153.0,0.0
2477,24,2020-08-19,64,2.0,11447.0,155.0,0.0
2492,24,2020-08-20,86,1.0,15105.0,145.0,0.0
2507,24,2020-08-21,93,3.0,16422.0,89.0,0.0
2522,24,2020-08-22,104,6.0,16479.0,104.0,0.0
2537,24,2020-08-23,74,1.0,13571.0,106.0,0.0
2552,24,2020-08-24,68,4.0,12281.0,79.0,0.0
2567,24,2020-08-25,62,2.0,8727.0,89.0,0.0
2582,24,2020-08-26,142,1.0,9572.0,72.0,0.0
2597,24,2020-08-27,81,3.0,14882.0,86.0,0.0
2612,24,2020-08-28,50,5.0,15016.0,98.0,0.0
2627,24,2020-08-29,156,0.0,15126.0,129.0,0.0
2642,24,2020-08-30,120,3.0,14498.0,65.0,0.0
2657,24,2020-08-31,140,2.0,11848.0,53.0,0.0
2672,24,2020-09-01,122,2.0,9434.0,85.0,0.0
2687,24,2020-09-02,132,2.0,10618.0,77.0,0.0
2702,24,2020-09-03,187,3.0,15454.0,100.0,0.0
2717,24,2020-09-04,184,0.0,15724.0,109.0,0.0
2732,24,2020-09-05,175,2.0,18480.0,86.0,0.0
2747,24,2020-09-06,205,0.0,16856.0,61.0,0.0
2762,24,2020-09-07,216,1.0,14621.0,89.0,0.0
2777,24,2020-09-08,163,0.0,12497.0,202.0,0.0
2792,24,2020-09-09,180,1.0,12800.0,238.0,0.0
2807,24,2020-09-10,188,2.0,16461.0,224.0,0.0
2822,24,2020-09-11,219,1.0,21644.0,219.0,1.0
2837,24,2020-09-12,244,6.0,22598.0,211.0,1.0
2852,24,2020-09-13,279,0.0,23328.0,214.0,1.0
2867,24,2020-09-14,276,0.0,21153.0,160.0,1.0
2882,24,2020-09-15,292,5.0,18671.0,200.0,1.0
2897,24,2020-09-16,303,3.0,18857.0,176.0,1.0
2912,24,2020-09-17,499,3.0,23440.0,208.0,1.0
2927,24,2020-09-18,297,1.0,25917.0,206.0,0.0
2942,24,2020-09-19,427,5.0,24994.0,272.0,0.0
2957,24,2020-09-20,462,5.0,29510.0,306.0,1.0
2972,24,2020-09-21,586,2.0,22431.0,335.0,1.0
2987,24,2020-09-22,489,1.0,22388.0,319.0,1.0
3002,24,2020-09-23,471,4.0,21581.0,236.0,1.0
3017,24,2020-09-24,582,1.0,24465.0,257.0,1.0
3032,24,2020-09-25,637,4.0,26675.0,313.0,1.0
3047,24,2020-09-26,698,7.0,29552.0,404.0,1.0
3062,24,2020-09-27,896,4.0,27777.0,469.0,1.0
3077,24,2020-09-28,750,1.0,26112.0,500.0,1.0
3092,24,2020-09-29,799,7.0,22383.0,466.0,1.0
3107,24,2020-09-30,838,1.0,23918.0,469.0,0.0
3122,24,2020-10-01,933,16.0,28120.0,580.0,1.0
3137,24,2020-10-02,1052,7.0,28577.0,539.0,1.0
3152,24,2020-10-03,1107,10.0,28481.0,795.0,1.0
3167,24,2020-10-04,1079,11.0,30128.0,826.0,1.0
3182,24,2020-10-05,1191,6.0,26591.0,876.0,1.0
3197,24,2020-10-06,1364,15.0,22166.0,853.0,1.0
3212,24,2020-10-07,900,7.0,20955.0,702.0,0.0
3227,24,2020-10-08,1078,9.0,28173.0,850.0,0.0
3242,24,2020-10-09,1102,21.0,26618.0,1001.0,0.0
3257,24,2020-10-10,1097,14.0,30337.0,1110.0,1.0
3272,24,2020-10-11,942,3.0,26503.0,1143.0,1.0
3287,24,2020-10-12,843,12.0,21832.0,1018.0,1.0
3302,24,2020-10-13,815,5.0,18719.0,877.0,1.0
3317,24,2020-10-14,1203,7.0,16782.0,749.0,0.0
3332,24,2020-10-15,969,28.0,22354.0,984.0,0.0
3347,24,2020-10-16,1055,13.0,27797.0,1045.0,1.0
3362,24,2020-10-17,1279,14.0,26665.0,1090.0,1.0
3377,24,2020-10-18,1094,6.0,23915.0,957.0,1.0
3392,24,2020-10-19,1038,6.0,20107.0,970.0,0.0
3407,24,2020-10-20,787,11.0,16842.0,939.0,0.0
3422,24,2020-10-21,1072,19.0,18389.0,799.0,0.0
3437,24,2020-10-22,1033,20.0,25084.0,766.0,1.0
3452,24,2020-10-23,905,12.0,24881.0,759.0,0.0
3467,24,2020-10-24,1009,26.0,25532.0,1027.0,1.0
3482,24,2020-10-25,879,11.0,24533.0,1009.0,1.0
3497,24,2020-10-26,808,10.0,20718.0,994.0,0.0
3498,24,2020-10-26,808,10.0,20718.0,994.0,1.0
3513,24,2020-10-27,963,19.0,18238.0,964.0,1.0
3528,24,2020-10-28,929,17.0,16880.0,852.0,0.0
3543,24,2020-10-29,1030,25.0,25099.0,804.0,0.0
