,pruid,date,numtoday,numdeathstoday,numteststoday,numrecoveredtoday,moving_numtoday,moving_numdeathstoday,moving_numteststoday,moving_numrecoveredtoday
69,60,20200311,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,60,20200312,0,0.0,32.0,0.0,0.0,0.0,16.0,0.0
97,60,20200313,0,0.0,2.0,0.0,0.0,0.0,11.333333333333334,0.0
112,60,20200314,0,0.0,1.0,0.0,0.0,0.0,8.75,0.0
127,60,20200315,0,0.0,12.0,0.0,0.0,0.0,9.4,0.0
142,60,20200316,0,0.0,0.0,0.0,0.0,0.0,7.833333333333333,0.0
157,60,20200317,0,0.0,26.0,0.0,0.0,0.0,10.428571428571429,0.0
172,60,20200318,0,0.0,0.0,0.0,0.0,0.0,9.125,0.0
187,60,20200319,0,0.0,5.0,0.0,0.0,0.0,8.666666666666666,0.0
202,60,20200320,0,0.0,77.0,0.0,0.0,0.0,15.5,0.0
217,60,20200321,0,0.0,25.0,0.0,0.0,0.0,18.0,0.0
232,60,20200322,0,0.0,0.0,0.0,0.0,0.0,14.8,0.0
247,60,20200323,2,0.0,5.0,0.0,0.2,0.0,15.1,0.0
262,60,20200324,0,0.0,0.0,0.0,0.2,0.0,15.0,0.0
277,60,20200325,1,0.0,0.0,0.0,0.3,0.0,13.8,0.0
292,60,20200326,0,0.0,140.0,0.0,0.3,0.0,27.8,0.0
307,60,20200327,0,0.0,56.0,0.0,0.3,0.0,30.8,0.0
322,60,20200328,1,0.0,66.0,0.0,0.4,0.0,37.4,0.0
337,60,20200329,0,0.0,53.0,0.0,0.4,0.0,42.2,0.0
352,60,20200330,1,0.0,39.0,0.0,0.5,0.0,38.4,0.0
367,60,20200331,0,0.0,0.0,0.0,0.5,0.0,35.9,0.0
382,60,20200401,0,0.0,73.0,3.0,0.5,0.0,43.2,0.3
397,60,20200402,1,0.0,26.0,0.0,0.4,0.0,45.3,0.3
412,60,20200403,0,0.0,3.0,0.0,0.4,0.0,45.6,0.3
427,60,20200404,0,0.0,1.0,0.0,0.3,0.0,45.7,0.3
442,60,20200405,0,0.0,42.0,4.0,0.3,0.0,35.9,0.7
457,60,20200406,1,0.0,8.0,0.0,0.4,0.0,31.1,0.7
472,60,20200407,0,0.0,0.0,0.0,0.3,0.0,24.5,0.7
487,60,20200408,0,0.0,26.0,0.0,0.3,0.0,21.8,0.7
502,60,20200409,1,0.0,2.0,0.0,0.3,0.0,18.1,0.7
517,60,20200410,0,0.0,0.0,0.0,0.3,0.0,18.1,0.7
532,60,20200411,0,0.0,17.0,0.0,0.3,0.0,12.5,0.4
547,60,20200412,0,0.0,5.0,0.0,0.2,0.0,10.4,0.4
562,60,20200413,0,0.0,19.0,0.0,0.2,0.0,12.0,0.4
577,60,20200414,0,0.0,0.0,0.0,0.2,0.0,11.9,0.4
592,60,20200415,0,0.0,0.0,0.0,0.2,0.0,7.7,0.0
607,60,20200416,0,0.0,18.0,0.0,0.1,0.0,8.7,0.0
622,60,20200417,1,0.0,9.0,0.0,0.2,0.0,9.6,0.0
637,60,20200418,0,0.0,8.0,8.0,0.2,0.0,7.8,0.8
652,60,20200419,0,0.0,4.0,0.0,0.1,0.0,8.0,0.8
667,60,20200420,2,0.0,0.0,0.0,0.3,0.0,8.0,0.8
682,60,20200421,0,0.0,0.0,0.0,0.3,0.0,6.3,0.8
697,60,20200422,0,0.0,13.0,0.0,0.3,0.0,7.1,0.8
712,60,20200423,0,0.0,2.0,0.0,0.3,0.0,5.4,0.8
727,60,20200424,0,0.0,13.0,0.0,0.3,0.0,6.7,0.8
742,60,20200425,0,0.0,0.0,0.0,0.3,0.0,6.7,0.8
757,60,20200426,0,0.0,15.0,0.0,0.3,0.0,6.4,0.8
772,60,20200427,0,0.0,0.0,0.0,0.2,0.0,5.5,0.8
787,60,20200428,0,0.0,1.0,0.0,0.2,0.0,4.8,0.0
802,60,20200429,0,0.0,31.0,0.0,0.2,0.0,7.5,0.0
817,60,20200430,0,0.0,1.0,1.0,0.0,0.0,7.6,0.1
832,60,20200501,0,0.0,22.0,2.0,0.0,0.0,9.8,0.3
847,60,20200502,0,0.0,51.0,0.0,0.0,0.0,13.6,0.3
862,60,20200503,0,0.0,1.0,0.0,0.0,0.0,13.5,0.3
877,60,20200504,0,0.0,17.0,0.0,0.0,0.0,13.9,0.3
892,60,20200505,0,0.0,29.0,0.0,0.0,0.0,16.8,0.3
907,60,20200506,0,0.0,6.0,0.0,0.0,0.0,15.9,0.3
922,60,20200507,0,0.0,0.0,0.0,0.0,0.0,15.9,0.3
937,60,20200508,0,0.0,2.0,0.0,0.0,0.0,16.0,0.3
952,60,20200509,0,0.0,39.0,0.0,0.0,0.0,16.8,0.3
967,60,20200510,0,0.0,10.0,0.0,0.0,0.0,17.7,0.2
982,60,20200511,0,0.0,0.0,0.0,0.0,0.0,15.5,0.0
997,60,20200512,0,0.0,17.0,0.0,0.0,0.0,12.1,0.0
1012,60,20200513,0,0.0,4.0,0.0,0.0,0.0,12.4,0.0
1027,60,20200514,0,0.0,0.0,0.0,0.0,0.0,10.7,0.0
1042,60,20200515,0,0.0,3.0,0.0,0.0,0.0,8.1,0.0
