,pruid,date,Class,median_numtoday,median_numdeathstoday,median_numteststoday,median_numrecoveredtoday,std_numtoday,std_numdeathstoday,std_numteststoday,std_numrecoveredtoday,var_numtoday,var_numdeathstoday,var_numteststoday,var_numrecoveredtoday,skew_numtoday,skew_numdeathstoday,skew_numteststoday,skew_numrecoveredtoday,kurt_numtoday,kurt_numdeathstoday,kurt_numteststoday,kurt_numrecoveredtoday
64,10,20200311,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
78,10,20200312,0.0,0.0,0.0,10.5,0.0,0.0,0.0,14.849242404917497,0.0,0.0,0.0,220.5,0.0,,,,,,,,
93,10,20200313,0.0,0.0,0.0,21.0,0.0,0.0,0.0,25.632011235952593,0.0,0.0,0.0,657.0,0.0,,,0.5194702971444699,,,,,
108,10,20200314,1.0,0.0,0.0,36.0,0.0,0.0,0.0,41.641325627314025,0.0,0.0,0.0,1734.0,0.0,,,0.6910223455113952,,,,-0.40083930987416316,
123,10,20200315,1.0,0.0,0.0,51.0,0.0,0.4472135954999579,0.0,46.88603203513814,0.0,0.2,0.0,2198.3,0.0,2.2360679774998578,,0.040788956774888835,,5.000000000002285,,-2.363335375827097,
138,10,20200316,1.0,0.0,0.0,73.5,0.0,0.408248290463863,0.0,45.88245852174881,0.0,0.16666666666666669,0.0,2105.2,0.0,2.4494897427830256,,-0.42773217465754565,,5.999999999997871,,-2.0432550702576306,
153,10,20200317,1.0,0.0,0.0,51.0,0.0,0.37796447300922725,0.0,42.217689815210555,0.0,0.14285714285714288,0.0,1782.3333333333333,0.0,2.6457513110648154,,-0.2364218827547026,,7.0000000000085105,,-1.6090925107876146,
168,10,20200318,1.0,0.0,0.0,73.5,0.0,0.7440238091428449,0.0,48.8757535564853,0.0,0.5535714285714286,0.0,2388.839285714286,0.0,1.9510301759000725,,-0.05523515608897147,,3.2049947970863686,,-1.0682178623843002,
183,10,20200319,1.0,0.0,0.0,96.0,0.0,0.7071067811865476,0.0,69.64812352900192,0.0,0.5,0.0,4850.861111111111,0.0,2.121320343559643,,0.8539195564456507,,3.9999999999999782,,0.9273261890190148,
198,10,20200320,1.0,0.0,0.0,98.5,0.0,0.6992058987801011,0.0,89.67199488506246,0.0,0.48888888888888893,0.0,8041.0666666666675,0.0,1.6577247290292672,,0.9114613816900127,,2.045454545454498,,0.20041311640423945,
213,10,20200321,1.0,0.0,0.0,101.0,0.0,0.8201995322647245,0.0,90.74920485501887,0.0,0.6727272727272728,0.0,8235.418181818182,0.0,1.1533119792619477,,0.5755988597592063,,-0.25444363282190907,,-0.6891672468500565,
228,10,20200322,1.0,0.0,0.0,105.0,0.0,1.0552897060221726,0.0,94.11642532072452,0.0,1.1136363636363635,0.0,8857.901515151516,0.0,1.1487318515866503,,0.3259539524060103,,0.12583645703178503,,-1.2543971320872165,
243,10,20200323,1.0,0.0,0.0,109.0,0.0,4.079341324408346,0.0,90.21320899360069,0.0,16.64102564102564,0.0,8138.423076923077,0.0,3.2384330491757747,,0.28752978407733837,,11.020167438953242,,-1.06979859601302,
258,10,20200324,1.0,0.5,0.0,126.5,0.0,4.620189806290846,0.0,88.11518435709996,0.0,21.346153846153847,0.0,7764.285714285715,0.0,2.2303206007843883,,0.14001887810468774,,4.194231578015362,,-1.088023584568638,
273,10,20200325,1.0,1.0,0.0,144.0,0.0,8.82259005270534,0.0,87.45649258481669,0.0,77.83809523809522,0.0,7648.638095238095,0.0,2.5898819600605507,,-0.01706043432557781,,6.967690403188303,,-1.1702148360103166,
288,10,20200326,1.0,1.0,0.0,144.0,0.0,9.125057077447059,0.0,78.86413875109764,0.0,83.26666666666665,0.0,6219.552380952381,0.0,2.096248150948951,,-0.08470979885511133,,4.4658478346565715,,-1.0427304427772306,
303,10,20200327,1.0,2.0,0.0,178.0,0.0,9.711554237828551,0.0,74.72948038154178,0.0,94.3142857142857,0.0,5584.495238095237,0.0,1.5514049440440552,,-0.15955404638887005,,1.8791293443072463,,-1.1445300007369394,
318,10,20200328,1.0,2.0,0.0,189.0,0.0,9.921117448582665,0.0,70.24935180178838,1.0327955589886444,98.42857142857142,0.0,4934.971428571427,1.0666666666666667,1.179393791201884,,-0.34523110082803105,3.872983346207417,0.674814340342094,,-0.9882980902696925,15.000000000000014
333,10,20200329,1.0,3.0,0.0,213.0,0.0,9.812528434899654,0.0,74.22308715397564,1.0327955589886444,96.28571428571426,0.0,5509.066666666664,1.0666666666666667,0.9394913580668237,,-0.36251253205399386,3.872983346207417,0.24804913583541685,,-0.47815362356750807,15.000000000000014
348,10,20200330,1.0,11.0,0.0,215.0,0.0,9.60059521964282,0.2581988897471611,70.77798958379508,1.245945806357946,92.17142857142855,0.06666666666666667,5009.523809523805,1.5523809523809524,0.7675811102938644,3.8729833462074166,-0.6634523557570889,2.5161361827744955,0.1597243141995932,15.0,0.26677647556762635,5.2442696375475135
363,10,20200331,1.0,11.0,0.0,229.0,0.0,9.361522057768983,0.2581988897471611,67.95152333693129,1.245945806357946,87.6380952380952,0.06666666666666667,4617.409523809517,1.5523809523809524,0.8042199555192565,3.8729833462074166,-0.9493158339655126,2.5161361827744955,0.3312613488304594,15.0,1.3116319865557393,5.2442696375475135
378,10,20200401,1.0,13.0,0.0,229.0,0.0,9.477793594955074,0.2581988897471611,50.80982282234496,1.3972762620115438,89.82857142857141,0.06666666666666667,2581.638095238087,1.9523809523809526,0.5179149025473572,3.8729833462074166,-0.010481932925481736,1.7791246964019207,-0.31469872803420135,15.0,-0.5993955467871108,1.5673362924998777
393,10,20200402,1.0,13.0,0.0,233.0,0.0,9.16515138991168,0.2581988897471611,48.64135023188545,1.3972762620115438,83.99999999999999,0.06666666666666667,2365.9809523809427,1.9523809523809526,0.5112875999642359,3.8729833462074166,-0.10052127095084873,1.7791246964019207,-0.08492188084024595,15.0,-0.6283175942788484,1.5673362924998777
408,10,20200403,1.0,13.0,0.0,233.0,0.0,9.16515138991168,0.2581988897471611,55.52348280554034,1.3972762620115438,83.99999999999999,0.06666666666666667,3082.857142857134,1.9523809523809526,0.5112875999642359,3.8729833462074166,-0.19566903202659822,1.7791246964019207,-0.08492188084024595,15.0,-0.8411928986662298,1.5673362924998777
423,10,20200404,1.0,13.0,0.0,233.0,0.0,8.647598070039585,0.2581988897471611,58.562136312841254,1.3972762620115438,74.78095238095237,0.06666666666666667,3429.5238095238005,1.9523809523809526,0.48402637918716274,3.8729833462074166,-0.08620468633457391,1.7791246964019207,0.3063948216981764,15.0,-0.912984688771902,1.5673362924998777
438,10,20200405,1.0,15.0,0.0,246.0,0.0,8.41314164750317,0.2581988897471611,58.57839679803948,2.9952343099378003,70.78095238095237,0.06666666666666667,3431.4285714285616,8.971428571428572,0.253389305118319,3.8729833462074166,-0.2371322691523906,2.700026546862826,0.20362378273677142,15.0,-0.8767155703486716,7.965075818335587
453,10,20200406,1.0,15.0,0.0,251.0,0.0,7.980929651064347,0.3518657752744984,59.172709282316234,5.845633290878634,63.69523809523808,0.12380952380952381,3501.4095238095138,34.17142857142857,0.32183304203495006,2.4047631387103294,-0.30092854061484153,2.625002703139884,0.6390588486368876,4.349112426035506,-0.9452813665871859,7.039959542700004
468,10,20200407,1.0,13.0,0.0,251.0,0.0,8.60066442616084,0.3518657752744984,53.877727530116864,5.845633290878634,73.97142857142856,0.12380952380952381,2902.8095238095125,34.17142857142857,0.356209925655665,2.4047631387103294,-0.31230524447192615,2.625002703139884,0.081961913435829,4.349112426035506,-0.49676907032121254,7.039959542700004
483,10,20200408,1.0,13.0,0.0,251.0,0.0,8.935216574772836,0.3518657752744984,53.946357836368456,5.845633290878634,79.83809523809522,0.12380952380952381,2910.2095238095126,34.17142857142857,0.3984571138908975,2.4047631387103294,-0.31106848777959323,2.625002703139884,-0.23179222519877238,4.349112426035506,-0.5082261535444897,7.039959542700004
498,10,20200409,1.0,12.0,0.0,253.0,0.0,7.52582854163548,0.41403933560541256,54.525485522171735,5.845633290878634,56.638095238095225,0.17142857142857146,2973.0285714285596,34.17142857142857,0.09848936278674598,1.6720819322526272,-0.5418933835685407,2.625002703139884,-1.2860455275583809,0.8974358974358989,-0.4317845693751292,7.039959542700004
513,10,20200410,1.0,9.0,0.0,253.0,0.0,7.73550872522908,0.41403933560541256,51.59992617196626,5.845633290878634,59.83809523809522,0.17142857142857146,2662.552380952369,34.17142857142857,0.3401998487555872,1.6720819322526272,-0.6873665525314658,2.625002703139884,-1.3184425971805969,0.8974358974358989,0.28279849679755203,7.039959542700004
