,pruid,date,numtoday,numdeathstoday,numteststoday,numrecoveredtoday,Class,moving_numtoday,moving_numdeathstoday,moving_numteststoday,moving_numrecoveredtoday,moving_numtoday_loess5%,moving_numtoday_loess15%,moving_numdeathstoday_loess5%,moving_numdeathstoday_loess15%,moving_numteststoday_loess5%,moving_numteststoday_loess15%,moving_numrecoveredtoday_loess5%,moving_numrecoveredtoday_loess15%
1,59,20200131,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-4.012418920661251,15.789970553142764,-0.020313279900743417,0.1323404154730583,-41.563113944032324,422.76605558755244,-2.364927540668988,-3.887188054480784
4,59,20200208,3,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,-3.6050724848478124,15.877638530542065,-0.01668489005616042,0.13314360078205664,-28.911150197637657,426.41021134927934,-2.304301895772147,-3.786904689631423
7,59,20200216,1,0.0,0.0,0.0,0.0,1.6666666666666667,0.0,0.0,0.0,-3.197348613956527,15.965061198358683,-0.013056621809864203,0.13394506432391343,-16.282133661124696,430.04927403531025,-2.2431172716039818,-3.6865829307547155
10,59,20200221,1,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,-2.7892521135621555,16.052237304266928,-0.009428561133244424,0.13474479834655587,-3.676757226185746,433.68321926867895,-2.1813603857360047,-3.5862225819698312
13,59,20200224,0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,-2.3807899561468804,16.139165671765618,-0.005800803779392673,0.1355427958163377,8.904260612890756,437.31202488311425,-2.1190185023654977,-3.4858234665166457
16,59,20200225,1,0.0,0.0,0.0,0.0,1.1666666666666667,0.0,0.0,0.0,-1.9719710026191808,16.22584520255527,-0.0021734538210930595,0.13633905042415873,21.460181714013245,440.935670947298,-2.056079420582441,-3.385385426255944
19,59,20200226,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.5628058107810412,16.31227487784385,0.0014533777930695047,0.137133556591589,33.99025418377275,444.554139789096,-1.9925314633723739,-3.2849083211740884
22,59,20200227,0,0.0,0.0,0.0,0.0,0.875,0.0,0.0,0.0,-1.1533065109370437,16.39845375878743,0.005079574667133751,0.137926309477008,46.49371822213021,448.1674160197184,-1.928363467278974,-3.184392028891331
25,59,20200229,0,0.0,0.0,0.0,0.0,0.7777777777777778,0.0,0.0,0.0,-0.743486664121077,16.484380987194875,0.008705016373399386,0.13871730498174573,58.96981192169687,451.77548655789985,-1.8635647726569975,-3.0838364441740653
28,59,20200301,1,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,-0.3333611604375359,16.570055785697193,0.012329579858046131,0.13950653975624264,71.41777702791747,455.37834065400756,-1.7981252144523683,-2.98324147845073
32,59,20200303,4,0.0,0.0,0.0,0.0,1.1,0.0,0.0,0.0,0.2139195281817093,16.683894979401114,0.01716075023832307,0.14055610950078348,87.9700159596608,460.1740174843549,-1.7098589107026725,-2.849053475297113
36,59,20200305,9,0.0,0.0,0.0,0.0,1.7,0.0,0.0,0.0,0.7616690601095601,16.797282693218158,0.02198984492177715,0.141602540492999,104.46918813236788,464.96039268708824,-1.620414514985641,-2.7147952062068823
40,59,20200306,0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,1.3098352189158882,16.91021765263868,0.02681657682697591,0.14264583112454596,120.91363438464535,469.7374605799994,-1.5297718768874484,-2.5804665904493715
44,59,20200307,6,0.0,0.0,0.0,0.0,2.1,0.0,0.0,0.0,1.8583581585937812,17.022698774777865,0.03164067118726317,0.1436859822456841,137.30179109726237,474.50522320409993,-1.4379122906231272,-2.4460675929664992
48,59,20200308,0,1.0,0.0,0.0,0.0,2.1,0.1,0.0,0.0,2.4071725830861244,17.1347251945322,0.03646187152292134,0.14472299719137854,153.63221417664212,479.26369042418537,-1.3448184652932484,-2.311598222417481
53,59,20200309,5,0.0,0.0,0.0,0.0,2.5,0.1,0.0,0.0,3.093495227360342,17.27411786260061,0.042483856899670436,0.14601486336030664,173.96208964748203,485.19873065040304,-1.2266914357721062,-2.1434126277695498
57,59,20200311,7,0.0,0.0,0.0,0.0,3.2,0.1,0.0,0.0,3.6427095659119897,17.385119289015172,0.047297163846866754,0.14704483851751146,190.15811586293168,489.9363604864531,-1.130764492456572,-2.008785162778078
72,59,20200312,7,0.0,809.0,0.0,0.0,3.9,0.1,80.9,0.0,5.702099367780643,17.797316381631973,0.06529996886848048,0.15087947307002741,250.34270658316538,507.62085373209305,-0.7595397183165336,-1.503309673098785
87,59,20200313,7,0.0,1252.0,0.0,0.0,4.6,0.1,206.1,0.0,7.757935827196232,18.203130717621093,0.08319231947270425,0.1546705295271122,309.6511160246757,525.1788783861589,-0.36980233709228577,-0.9968608059526243
102,59,20200314,11,0.0,1166.0,0.0,0.0,5.6,0.1,322.7,0.0,9.805751059268736,18.60263416310812,0.1009227989169678,0.15841863431441416,368.1022911330699,542.6146104414665,0.03871768493463837,-0.4894556160549191
117,59,20200315,9,0.0,1541.0,0.0,0.0,6.1,0.1,476.8,0.0,11.841233327455814,18.995946018807594,0.11845036084206143,0.16212491864635892,425.734734317428,559.9330308895862,0.4660364120483547,0.018884513610040364
132,59,20200316,0,3.0,1550.0,0.0,1.0,5.2,0.4,631.8,0.0,13.86100781557391,19.383237399842685,0.13575451436790556,0.16579106794132817,482.60569721613297,577.1396859966497,0.911875990731796,0.5281351859985415
