,pruid,date,numtoday,numdeathstoday,numteststoday,numrecoveredtoday,Class
2,1,2020-01-31,4,0.0,,,
5,1,2020-02-08,3,0.0,,,
8,1,2020-02-16,1,0.0,,,
11,1,2020-02-21,1,0.0,,,
14,1,2020-02-24,1,0.0,,,
17,1,2020-02-25,1,0.0,,,
20,1,2020-02-26,1,0.0,,,
23,1,2020-02-27,1,0.0,,,
26,1,2020-02-29,2,0.0,,,
30,1,2020-03-01,9,0.0,,,
34,1,2020-03-03,9,0.0,,,
38,1,2020-03-05,12,0.0,,,
42,1,2020-03-06,6,0.0,,,
46,1,2020-03-07,6,0.0,,,
51,1,2020-03-08,5,1.0,,,
56,1,2020-03-09,15,0.0,,,
71,1,2020-03-11,26,1.0,,,
86,1,2020-03-12,38,0.0,1893.0,,
101,1,2020-03-13,38,0.0,3150.0,,
116,1,2020-03-14,20,0.0,3320.0,,
131,1,2020-03-15,54,0.0,4148.0,,1.0
146,1,2020-03-16,88,3.0,4519.0,,1.0
161,1,2020-03-17,99,3.0,5031.0,,1.0
176,1,2020-03-18,157,1.0,7286.0,,1.0
191,1,2020-03-19,276,3.0,8608.0,,1.0
206,1,2020-03-20,131,1.0,7267.0,,1.0
221,1,2020-03-21,367,5.0,8127.0,,1.0
236,1,2020-03-22,100,2.0,10535.0,,1.0
251,1,2020-03-23,620,4.0,11147.0,,1.0
266,1,2020-03-24,701,3.0,10591.0,,1.0
281,1,2020-03-25,617,8.0,11070.0,,1.0
296,1,2020-03-26,634,4.0,10911.0,230.0,1.0
311,1,2020-03-27,646,14.0,12217.0,26.0,1.0
326,1,2020-03-28,736,6.0,12487.0,246.0,1.0
341,1,2020-03-29,833,2.0,15442.0,20.0,1.0
356,1,2020-03-30,1179,28.0,12123.0,546.0,1.0
371,1,2020-03-31,1111,7.0,13600.0,186.0,1.0
386,1,2020-04-01,1065,13.0,14021.0,299.0,1.0
401,1,2020-04-02,1670,29.0,16421.0,430.0,1.0
416,1,2020-04-03,1254,49.0,14858.0,,1.0
431,1,2020-04-04,1367,44.0,15061.0,,1.0
446,1,2020-04-05,1608,49.0,12492.0,2335.0,1.0
461,1,2020-04-06,1155,43.0,10808.0,1281.0,1.0
476,1,2020-04-07,1230,57.0,7846.0,,1.0
491,1,2020-04-08,1392,55.0,8727.0,,1.0
506,1,2020-04-09,1476,74.0,10827.0,,1.0
521,1,2020-04-10,1383,60.0,10632.0,,1.0
536,1,2020-04-11,1169,84.0,12410.0,,1.0
551,1,2020-04-12,1066,64.0,12065.0,,1.0
566,1,2020-04-13,1297,63.0,11429.0,,1.0
581,1,2020-04-14,1383,123.0,11169.0,,1.0
596,1,2020-04-15,1318,112.0,12607.0,,1.0
611,1,2020-04-16,1711,183.0,12531.0,,1.0
626,1,2020-04-17,1792,116.0,13897.0,,1.0
641,1,2020-04-18,1469,158.0,13643.0,11178.0,1.0
656,1,2020-04-19,1432,113.0,15916.0,608.0,1.0
671,1,2020-04-20,2045,110.0,23005.0,799.0,1.0
686,1,2020-04-21,1591,144.0,21372.0,603.0,1.0
701,1,2020-04-22,1769,140.0,21125.0,798.0,1.0
716,1,2020-04-23,1920,172.0,24192.0,775.0,1.0
731,1,2020-04-24,1778,156.0,24979.0,780.0,1.0
746,1,2020-04-25,1466,163.0,28763.0,884.0,1.0
761,1,2020-04-26,1541,95.0,26967.0,896.0,1.0
776,1,2020-04-27,1605,147.0,27518.0,947.0,1.0
791,1,2020-04-28,1526,152.0,26977.0,963.0,1.0
806,1,2020-04-29,1571,137.0,23754.0,1096.0,1.0
821,1,2020-04-30,1639,188.0,27778.0,1097.0,1.0
836,1,2020-05-01,1825,207.0,30676.0,1327.0,0.0
851,1,2020-05-02,1653,175.0,34244.0,1050.0,0.0
866,1,2020-05-03,2760,116.0,32322.0,1107.0,0.0
881,1,2020-05-04,1298,172.0,34119.0,1109.0,0.0
896,1,2020-05-05,1274,189.0,28573.0,976.0,0.0
911,1,2020-05-06,1449,189.0,22013.0,1178.0,0.0
926,1,2020-05-07,1426,176.0,27953.0,1076.0,0.0
941,1,2020-05-08,1512,161.0,31518.0,979.0,0.0
956,1,2020-05-09,1268,124.0,33547.0,1023.0,0.0
971,1,2020-05-10,1146,178.0,36299.0,847.0,0.0
986,1,2020-05-11,1133,122.0,34030.0,898.0,0.0
1001,1,2020-05-12,1175,176.0,27720.0,1048.0,0.0
1016,1,2020-05-13,1121,135.0,24113.0,1122.0,0.0
1031,1,2020-05-14,1211,168.0,31373.0,927.0,0.0
1046,1,2020-05-15,1126,95.0,35209.0,804.0,0.0
1061,1,2020-05-16,1251,117.0,37572.0,924.0,0.0
1076,1,2020-05-17,1138,103.0,37854.0,731.0,0.0
1091,1,2020-05-18,1070,60.0,35079.0,688.0,0.0
1106,1,2020-05-19,1040,70.0,23938.0,812.0,0.0
1121,1,2020-05-20,1011,118.0,18688.0,643.0,0.0
1136,1,2020-05-21,1201,122.0,21531.0,1035.0,0.0
1151,1,2020-05-22,1156,98.0,28043.0,879.0,0.0
1166,1,2020-05-23,1141,105.0,31011.0,711.0,0.0
1181,1,2020-05-24,1078,69.0,31265.0,680.0,0.0
1196,1,2020-05-25,1012,121.0,31498.0,653.0,0.0
1211,1,2020-05-26,936,94.0,25700.0,701.0,0.0
1226,1,2020-05-27,872,126.0,23090.0,825.0,0.0
1241,1,2020-05-28,993,112.0,32776.0,676.0,0.0
1256,1,2020-05-29,906,102.0,38885.0,680.0,0.0
1271,1,2020-05-30,772,94.0,40316.0,583.0,0.0
1286,1,2020-05-31,757,222.0,42054.0,776.0,0.0
1301,1,2020-06-01,758,31.0,38455.0,847.0,0.0
1316,1,2020-06-02,705,69.0,31463.0,618.0,0.0
1331,1,2020-06-03,675,103.0,29526.0,691.0,0.0
1346,1,2020-06-04,641,139.0,35691.0,691.0,0.0
1361,1,2020-06-05,609,66.0,41195.0,829.0,0.0
1376,1,2020-06-06,722,70.0,42422.0,1046.0,0.0
1391,1,2020-06-07,642,27.0,44243.0,619.0,0.0
1406,1,2020-06-08,545,35.0,38124.0,600.0,0.0
1421,1,2020-06-09,409,62.0,29988.0,739.0,0.0
1436,1,2020-06-10,472,63.0,27409.0,1067.0,0.0
1451,1,2020-06-11,405,34.0,39165.0,1019.0,0.0
1466,1,2020-06-12,413,55.0,44128.0,865.0,0.0
1481,1,2020-06-13,467,58.0,49817.0,831.0,0.0
1496,1,2020-06-14,377,39.0,47498.0,918.0,0.0
1511,1,2020-06-15,360,34.0,42478.0,770.0,0.0
1526,1,2020-06-16,320,38.0,37620.0,401.0,0.0
1541,1,2020-06-17,386,41.0,36663.0,574.0,0.0
1556,1,2020-06-18,367,46.0,43975.0,479.0,0.0
1571,1,2020-06-19,409,46.0,47073.0,507.0,0.0
1586,1,2020-06-20,390,64.0,50329.0,485.0,0.0
1601,1,2020-06-21,318,20.0,48129.0,398.0,0.0
1616,1,2020-06-22,300,6.0,43795.0,448.0,0.0
1631,1,2020-06-23,326,18.0,37206.0,370.0,0.0
1646,1,2020-06-24,279,30.0,31248.0,387.0,0.0
1661,1,2020-06-25,380,20.0,41658.0,334.0,0.0
1676,1,2020-06-26,172,4.0,47174.0,301.0,0.0
1691,1,2020-06-27,238,8.0,48785.0,247.0,0.0
1706,1,2020-06-28,218,6.0,53518.0,218.0,0.0
1721,1,2020-06-29,668,44.0,47749.0,987.0,0.0
1736,1,2020-06-30,286,25.0,42926.0,416.0,0.0
1751,1,2020-07-01,0,0.0,39588.0,0.0,0.0
1766,1,2020-07-02,567,51.0,45262.0,751.0,0.0
1781,1,2020-07-03,319,21.0,44515.0,348.0,0.0
1796,1,2020-07-04,226,11.0,41339.0,297.0,0.0
1811,1,2020-07-05,219,10.0,39247.0,249.0,0.0
1826,1,2020-07-06,399,9.0,40586.0,331.0,0.0
1841,1,2020-07-07,232,18.0,32124.0,313.0,0.0
1856,1,2020-07-08,267,26.0,30869.0,364.0,0.0
1871,1,2020-07-09,371,12.0,42052.0,327.0,0.0
1886,1,2020-07-10,321,10.0,48749.0,327.0,0.0
1901,1,2020-07-11,221,14.0,52860.0,365.0,0.0
1916,1,2020-07-12,244,10.0,53483.0,201.0,0.0
1931,1,2020-07-13,565,7.0,51819.0,374.0,0.0
1946,1,2020-07-14,331,8.0,40591.0,329.0,0.0
