,pruid,date,numtoday,numdeathstoday,numteststoday,numrecoveredtoday,Class
68,62,2020-03-11,0,0.0,,,
84,62,2020-03-12,0,0.0,-23.0,,
99,62,2020-03-13,0,0.0,0.0,,
114,62,2020-03-14,0,0.0,1.0,,
129,62,2020-03-15,0,0.0,0.0,,
144,62,2020-03-16,0,0.0,1.0,,1.0
159,62,2020-03-17,0,0.0,0.0,,1.0
174,62,2020-03-18,0,0.0,0.0,,1.0
189,62,2020-03-19,0,0.0,2.0,,1.0
204,62,2020-03-20,0,0.0,10.0,,1.0
219,62,2020-03-21,0,0.0,3.0,,1.0
234,62,2020-03-22,0,0.0,0.0,,1.0
249,62,2020-03-23,0,0.0,13.0,,1.0
264,62,2020-03-24,0,0.0,0.0,,1.0
279,62,2020-03-25,0,0.0,2.0,,1.0
294,62,2020-03-26,0,0.0,21.0,,1.0
309,62,2020-03-27,0,0.0,1.0,,1.0
324,62,2020-03-28,0,0.0,16.0,,1.0
339,62,2020-03-29,0,0.0,9.0,,1.0
354,62,2020-03-30,0,0.0,17.0,,1.0
369,62,2020-03-31,0,0.0,0.0,,1.0
384,62,2020-04-01,0,0.0,1.0,,1.0
399,62,2020-04-02,0,0.0,0.0,,1.0
414,62,2020-04-03,0,0.0,39.0,,1.0
429,62,2020-04-04,0,0.0,27.0,,1.0
444,62,2020-04-05,0,0.0,0.0,0.0,1.0
459,62,2020-04-06,0,0.0,12.0,0.0,1.0
474,62,2020-04-07,0,0.0,2.0,,1.0
489,62,2020-04-08,0,0.0,10.0,,1.0
504,62,2020-04-09,0,0.0,12.0,,1.0
519,62,2020-04-10,0,0.0,6.0,,1.0
534,62,2020-04-11,0,0.0,10.0,,1.0
549,62,2020-04-12,0,0.0,0.0,,1.0
564,62,2020-04-13,0,0.0,0.0,,1.0
579,62,2020-04-14,0,0.0,0.0,,1.0
594,62,2020-04-15,0,0.0,8.0,,1.0
609,62,2020-04-16,0,0.0,6.0,,1.0
624,62,2020-04-17,0,0.0,11.0,,1.0
639,62,2020-04-18,0,0.0,0.0,0.0,1.0
654,62,2020-04-19,0,0.0,1.0,0.0,1.0
669,62,2020-04-20,0,0.0,3.0,0.0,1.0
684,62,2020-04-21,0,0.0,0.0,0.0,1.0
699,62,2020-04-22,0,0.0,17.0,0.0,1.0
714,62,2020-04-23,0,0.0,0.0,0.0,1.0
729,62,2020-04-24,0,0.0,3.0,0.0,1.0
744,62,2020-04-25,0,0.0,13.0,0.0,1.0
759,62,2020-04-26,0,0.0,11.0,0.0,1.0
774,62,2020-04-27,0,0.0,15.0,0.0,1.0
789,62,2020-04-28,0,0.0,6.0,0.0,1.0
804,62,2020-04-29,0,0.0,17.0,0.0,1.0
819,62,2020-04-30,0,0.0,1.0,0.0,1.0
834,62,2020-05-01,0,0.0,7.0,0.0,1.0
849,62,2020-05-02,0,0.0,8.0,0.0,1.0
864,62,2020-05-03,0,0.0,16.0,0.0,1.0
879,62,2020-05-04,0,0.0,12.0,0.0,1.0
894,62,2020-05-05,0,0.0,9.0,0.0,1.0
909,62,2020-05-06,0,0.0,17.0,0.0,1.0
924,62,2020-05-07,0,0.0,1.0,0.0,1.0
939,62,2020-05-08,0,0.0,60.0,0.0,1.0
954,62,2020-05-09,0,0.0,17.0,0.0,1.0
969,62,2020-05-10,0,0.0,1.0,0.0,1.0
984,62,2020-05-11,0,0.0,39.0,0.0,1.0
999,62,2020-05-12,0,0.0,2.0,0.0,1.0
1014,62,2020-05-13,0,0.0,15.0,0.0,1.0
1029,62,2020-05-14,0,0.0,0.0,0.0,1.0
1044,62,2020-05-15,0,0.0,7.0,0.0,1.0
1059,62,2020-05-16,0,0.0,16.0,0.0,1.0
1074,62,2020-05-17,0,0.0,6.0,0.0,1.0
1089,62,2020-05-18,0,0.0,0.0,0.0,1.0
1104,62,2020-05-19,0,0.0,5.0,0.0,1.0
1119,62,2020-05-20,0,0.0,19.0,0.0,1.0
1134,62,2020-05-21,0,0.0,30.0,0.0,1.0
1149,62,2020-05-22,0,0.0,3.0,0.0,1.0
1164,62,2020-05-23,0,0.0,11.0,0.0,1.0
1179,62,2020-05-24,0,0.0,8.0,0.0,1.0
1194,62,2020-05-25,0,0.0,1.0,0.0,1.0
1209,62,2020-05-26,0,0.0,0.0,0.0,1.0
1224,62,2020-05-27,0,0.0,8.0,0.0,1.0
1239,62,2020-05-28,0,0.0,5.0,0.0,1.0
1254,62,2020-05-29,0,0.0,13.0,0.0,1.0
1269,62,2020-05-30,0,0.0,3.0,0.0,1.0
1284,62,2020-05-31,0,0.0,17.0,0.0,1.0
1299,62,2020-06-01,0,0.0,7.0,0.0,0.0
1314,62,2020-06-02,0,0.0,6.0,0.0,0.0
1329,62,2020-06-03,0,0.0,21.0,0.0,0.0
1344,62,2020-06-04,0,0.0,3.0,0.0,0.0
1359,62,2020-06-05,0,0.0,17.0,0.0,0.0
1374,62,2020-06-06,0,0.0,7.0,0.0,0.0
1389,62,2020-06-07,0,0.0,10.0,0.0,0.0
1404,62,2020-06-08,0,0.0,11.0,0.0,0.0
1419,62,2020-06-09,0,0.0,1.0,0.0,0.0
1434,62,2020-06-10,0,0.0,17.0,0.0,0.0
1449,62,2020-06-11,0,0.0,6.0,0.0,0.0
1464,62,2020-06-12,0,0.0,12.0,0.0,0.0
1479,62,2020-06-13,0,0.0,16.0,0.0,0.0
1494,62,2020-06-14,0,0.0,5.0,0.0,0.0
1509,62,2020-06-15,0,0.0,15.0,0.0,0.0
1524,62,2020-06-16,0,0.0,0.0,0.0,0.0
1539,62,2020-06-17,0,0.0,22.0,0.0,0.0
1554,62,2020-06-18,0,0.0,23.0,0.0,0.0
1569,62,2020-06-19,0,0.0,7.0,0.0,0.0
1584,62,2020-06-20,0,0.0,5.0,0.0,0.0
1599,62,2020-06-21,0,0.0,10.0,0.0,0.0
1614,62,2020-06-22,0,0.0,24.0,0.0,0.0
1629,62,2020-06-23,0,0.0,20.0,0.0,0.0
1644,62,2020-06-24,0,0.0,18.0,0.0,0.0
1659,62,2020-06-25,0,0.0,11.0,0.0,0.0
1674,62,2020-06-26,0,0.0,10.0,0.0,0.0
1689,62,2020-06-27,0,0.0,4.0,0.0,0.0
1704,62,2020-06-28,0,0.0,17.0,0.0,0.0
1719,62,2020-06-29,0,0.0,0.0,0.0,0.0
1734,62,2020-06-30,0,0.0,5.0,0.0,0.0
1749,62,2020-07-01,0,0.0,29.0,0.0,0.0
1764,62,2020-07-02,0,0.0,18.0,0.0,0.0
1779,62,2020-07-03,0,0.0,0.0,0.0,0.0
1794,62,2020-07-04,0,0.0,14.0,0.0,0.0
1809,62,2020-07-05,0,0.0,5.0,0.0,0.0
1824,62,2020-07-06,0,0.0,20.0,0.0,0.0
1839,62,2020-07-07,0,0.0,0.0,0.0,0.0
1854,62,2020-07-08,0,0.0,8.0,0.0,0.0
1869,62,2020-07-09,0,0.0,6.0,0.0,0.0
