,pruid,date,Class,median_numtoday,median_numdeathstoday,median_numteststoday,median_numrecoveredtoday,std_numtoday,std_numdeathstoday,std_numteststoday,std_numrecoveredtoday,var_numtoday,var_numdeathstoday,var_numteststoday,var_numrecoveredtoday,skew_numtoday,skew_numdeathstoday,skew_numteststoday,skew_numrecoveredtoday,kurt_numtoday,kurt_numdeathstoday,kurt_numteststoday,kurt_numrecoveredtoday
66,11,20200311,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
81,11,20200312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
96,11,20200313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
111,11,20200314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
126,11,20200315,0.0,0.0,0.0,0.0,0.0,0.4472135954999579,0.0,0.0,0.0,0.2,0.0,0.0,0.0,2.2360679774997894,,,,4.999999999999986,,,
141,11,20200316,0.0,0.0,0.0,0.0,0.0,0.408248290463863,0.0,17.146428199482248,0.0,0.16666666666666669,0.0,294.0,0.0,2.4494897427831783,,2.449489742783178,,6.000000000000014,,6.0,
156,11,20200317,0.0,0.0,0.0,0.0,0.0,0.37796447300922725,0.0,15.874507866387544,0.0,0.14285714285714288,0.0,252.0,0.0,2.6457513110645907,,2.64575131106459,,7.000000000000004,,7.0,
171,11,20200318,0.0,0.0,0.0,0.0,0.0,0.3535533905932738,0.0,14.849242404917497,0.0,0.12500000000000003,0.0,220.5,0.0,2.82842712474619,,2.82842712474619,,8.0,,8.0,
186,11,20200319,0.0,0.0,0.0,0.0,0.0,0.44095855184409843,0.0,14.0,0.0,0.19444444444444445,0.0,196.0,0.0,1.619847741468117,,3.0000000000036398,,0.7346938775510246,,9.000000000334683,
201,11,20200320,0.0,0.0,0.0,0.0,0.0,0.4216370213557839,0.0,13.281566172707192,0.0,0.17777777777777778,0.0,176.39999999999998,0.0,1.778781183844713,,3.162277660167783,,1.406249999999994,,10.00000000008043,
216,11,20200321,0.0,0.0,0.0,0.0,0.0,0.40451991747794525,0.0,12.66347647226607,0.0,0.16363636363636364,0.0,160.36363636363635,0.0,1.9227181262840607,,3.3166247903543695,,2.037037037037037,,11.000000000035856,
231,11,20200322,0.0,0.0,0.0,0.0,0.0,0.45226701686664544,0.0,12.124355652982139,0.0,0.20454545454545456,0.0,146.99999999999997,0.0,1.32664991614216,,3.464101615137754,,-0.32592592592592573,,12.0,
246,11,20200323,0.0,0.0,0.0,0.0,0.0,0.4385290096535146,0.0,11.64870412072981,0.0,0.1923076923076923,0.0,135.69230769230768,0.0,1.4511323592170857,,3.6055512754657655,,0.09454545454546158,,13.000000000241318,
261,11,20200324,0.0,0.0,0.0,0.0,0.0,0.42581531362632,0.0,11.224972160321823,0.0,0.18131868131868129,0.0,125.99999999999999,0.0,1.5656239814139448,,3.74165738677394,,0.5013774104683226,,14.0,
276,11,20200325,0.0,0.0,0.0,0.0,0.0,0.6172133998483675,0.0,10.844353369380768,0.0,0.3809523809523809,0.0,117.6,0.0,1.7915509142233272,,3.8729833462121674,,2.625,,15.00000000020364,
291,11,20200326,0.0,0.0,0.0,0.0,0.0,1.121223821162776,0.0,52.0025640393497,0.2581988897471611,1.257142857142857,0.0,2704.266666666667,0.06666666666666667,2.3435306385993258,,3.621111262247722,3.872983346207415,5.8852511125238385,,13.42473563344552,14.999999999999982
