,pruid,date,numtoday,numdeathstoday,numteststoday,numrecoveredtoday,moving_numtoday,moving_numdeathstoday,moving_numteststoday,moving_numrecoveredtoday
65,12,20200311,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,12,20200312,0,0.0,13.0,0.0,0.0,0.0,6.5,0.0
95,12,20200313,0,0.0,0.0,0.0,0.0,0.0,4.333333333333333,0.0
110,12,20200314,0,0.0,150.0,0.0,0.0,0.0,40.75,0.0
125,12,20200315,0,0.0,170.0,0.0,0.0,0.0,66.6,0.0
140,12,20200316,3,0.0,207.0,0.0,0.5,0.0,90.0,0.0
155,12,20200317,2,0.0,105.0,0.0,0.7142857142857143,0.0,92.14285714285714,0.0
170,12,20200318,2,0.0,333.0,0.0,0.875,0.0,122.25,0.0
185,12,20200319,7,0.0,216.0,0.0,1.5555555555555556,0.0,132.66666666666666,0.0
200,12,20200320,1,0.0,177.0,0.0,1.5,0.0,137.1,0.0
215,12,20200321,6,0.0,237.0,0.0,2.1,0.0,160.8,0.0
230,12,20200322,7,0.0,311.0,0.0,2.8,0.0,190.6,0.0
245,12,20200323,13,0.0,207.0,0.0,4.1,0.0,211.3,0.0
260,12,20200324,10,0.0,266.0,0.0,5.1,0.0,222.9,0.0
275,12,20200325,17,0.0,222.0,0.0,6.8,0.0,228.1,0.0
290,12,20200326,5,0.0,314.0,2.0,7.0,0.0,238.8,0.2
305,12,20200327,17,0.0,474.0,0.0,8.5,0.0,275.7,0.2
320,12,20200328,20,0.0,388.0,2.0,10.3,0.0,281.2,0.4
335,12,20200329,12,0.0,611.0,0.0,10.8,0.0,320.7,0.4
350,12,20200330,5,0.0,534.0,6.0,11.2,0.0,356.4,1.0
365,12,20200331,20,0.0,323.0,0.0,12.6,0.0,365.0,1.0
380,12,20200401,26,0.0,762.0,1.0,14.5,0.0,410.1,1.1
395,12,20200402,20,0.0,875.0,5.0,15.2,0.0,476.9,1.6
410,12,20200403,14,0.0,894.0,0.0,15.6,0.0,539.7,1.6
425,12,20200404,29,0.0,828.0,0.0,16.8,0.0,600.3,1.6
440,12,20200405,26,0.0,785.0,50.0,18.9,0.0,647.4,6.4
455,12,20200406,31,0.0,592.0,14.0,20.3,0.0,659.2,7.8
470,12,20200407,17,0.0,650.0,0.0,20.0,0.0,685.4,7.6
485,12,20200408,32,1.0,531.0,0.0,22.0,0.1,677.4,7.6
500,12,20200409,31,1.0,712.0,0.0,24.6,0.2,695.2,7.0
515,12,20200410,34,0.0,980.0,0.0,26.0,0.2,760.9,7.0
530,12,20200411,21,0.0,915.0,0.0,25.5,0.2,776.2,6.9
545,12,20200412,17,0.0,885.0,0.0,25.2,0.2,777.2,6.4
560,12,20200413,29,1.0,778.0,0.0,26.7,0.3,765.6,6.4
575,12,20200414,43,0.0,947.0,0.0,28.1,0.3,777.5,6.4
590,12,20200415,32,0.0,1476.0,0.0,28.7,0.3,846.6,1.4
605,12,20200416,30,0.0,885.0,0.0,28.6,0.3,875.9,0.0
620,12,20200417,27,1.0,1069.0,0.0,29.6,0.4,917.8,0.0
635,12,20200418,43,3.0,966.0,184.0,30.7,0.6,961.3,18.4
650,12,20200419,26,2.0,1310.0,16.0,30.2,0.7,1021.1,20.0
665,12,20200420,46,0.0,856.0,48.0,31.4,0.7,1008.7,24.8
680,12,20200421,16,1.0,874.0,38.0,30.9,0.8,1004.6,28.6
695,12,20200422,35,2.0,516.0,44.0,32.7,1.0,967.7,33.0
710,12,20200423,55,4.0,851.0,28.0,35.3,1.3,975.0,35.8
725,12,20200424,23,0.0,921.0,34.0,33.3,1.3,972.4,39.2
740,12,20200425,15,6.0,888.0,20.0,31.6,1.9,913.6,41.2
755,12,20200426,8,2.0,965.0,27.0,29.4,2.1,921.6,43.9
770,12,20200427,27,0.0,673.0,70.0,29.4,2.0,882.0,50.9
785,12,20200428,15,3.0,645.0,13.0,26.6,2.0,849.9,33.8
800,12,20200429,20,1.0,483.0,7.0,26.0,1.9,767.2,32.9
815,12,20200430,12,0.0,905.0,16.0,22.6,1.9,772.1,29.7
830,12,20200501,12,1.0,901.0,47.0,22.2,1.9,774.8,30.6
845,12,20200502,4,2.0,812.0,17.0,19.1,1.9,804.4,27.9
860,12,20200503,8,6.0,868.0,15.0,14.4,2.1,806.1,26.6
875,12,20200504,14,1.0,734.0,14.0,13.5,2.2,787.4,24.6
890,12,20200505,6,3.0,455.0,14.0,12.6,1.9,744.1,24.0
905,12,20200506,7,0.0,454.0,9.0,12.5,1.7,693.0,22.2
920,12,20200507,9,3.0,764.0,47.0,10.7,2.0,702.1,19.9
935,12,20200508,1,2.0,875.0,14.0,9.3,1.9,725.1,20.0
950,12,20200509,3,1.0,840.0,21.0,7.6,1.9,760.8,21.4
965,12,20200510,7,0.0,598.0,6.0,7.1,1.9,730.1,20.4
980,12,20200511,1,1.0,676.0,18.0,6.0,1.9,707.6,17.5
995,12,20200512,1,0.0,291.0,97.0,5.7,1.7,655.5,25.5
1010,12,20200513,4,3.0,427.0,6.0,5.3,1.4,611.4,24.6
1025,12,20200514,2,0.0,502.0,39.0,4.1,1.3,588.2,27.1
1040,12,20200515,8,4.0,554.0,9.0,4.3,1.4,598.1,26.6
1055,12,20200516,3,0.0,473.0,12.0,3.9,1.4,600.0,26.9
1070,12,20200517,3,0.0,665.0,8.0,3.3,1.1,590.1,23.0
1085,12,20200518,3,0.0,377.0,8.0,3.5,0.9,540.3,22.4
1100,12,20200519,1,1.0,237.0,10.0,3.3,0.9,480.0,21.3
1115,12,20200520,1,1.0,384.0,0.0,2.7,1.0,458.6,20.7
1130,12,20200521,1,1.0,353.0,3.0,2.7,1.0,426.3,19.2
1145,12,20200522,2,0.0,580.0,2.0,2.8,1.0,455.2,9.7
1160,12,20200523,1,0.0,427.0,8.0,2.5,0.7,455.2,9.9
1175,12,20200524,1,0.0,561.0,4.0,2.4,0.7,461.1,6.4
1190,12,20200525,1,0.0,494.0,1.0,1.7,0.3,455.1,5.6
1205,12,20200526,1,1.0,489.0,2.0,1.5,0.4,456.7,4.6
1220,12,20200527,1,0.0,573.0,-1.0,1.3,0.4,447.5,3.7
1235,12,20200528,2,0.0,533.0,2.0,1.2,0.4,463.1,3.1
1250,12,20200529,0,0.0,1136.0,1.0,1.1,0.3,553.0,2.2
1265,12,20200530,1,1.0,1033.0,0.0,1.1,0.3,617.9,2.2
1280,12,20200531,0,0.0,694.0,3.0,1.0,0.2,652.0,2.2
1295,12,20200601,1,0.0,578.0,3.0,0.9,0.2,651.8,2.3
1310,12,20200602,0,0.0,626.0,8.0,0.8,0.2,671.7,2.3
1325,12,20200603,1,0.0,532.0,1.0,0.8,0.2,668.8,2.0
1340,12,20200604,0,1.0,639.0,2.0,0.7,0.3,683.3,2.1
