,pruid,date,numtoday,numdeathstoday,numteststoday,numrecoveredtoday,moving_numtoday,moving_numdeathstoday,moving_numteststoday,moving_numrecoveredtoday
1,59,20200131,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0
4,59,20200208,3,0.0,0.0,0.0,2.0,0.0,0.0,0.0
7,59,20200216,1,0.0,0.0,0.0,1.6666666666666667,0.0,0.0,0.0
10,59,20200221,1,0.0,0.0,0.0,1.5,0.0,0.0,0.0
13,59,20200224,0,0.0,0.0,0.0,1.2,0.0,0.0,0.0
16,59,20200225,1,0.0,0.0,0.0,1.1666666666666667,0.0,0.0,0.0
19,59,20200226,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
22,59,20200227,0,0.0,0.0,0.0,0.875,0.0,0.0,0.0
25,59,20200229,0,0.0,0.0,0.0,0.7777777777777778,0.0,0.0,0.0
28,59,20200301,1,0.0,0.0,0.0,0.8,0.0,0.0,0.0
32,59,20200303,4,0.0,0.0,0.0,1.1,0.0,0.0,0.0
36,59,20200305,9,0.0,0.0,0.0,1.7,0.0,0.0,0.0
40,59,20200306,0,0.0,0.0,0.0,1.6,0.0,0.0,0.0
44,59,20200307,6,0.0,0.0,0.0,2.1,0.0,0.0,0.0
48,59,20200308,0,1.0,0.0,0.0,2.1,0.1,0.0,0.0
53,59,20200309,5,0.0,0.0,0.0,2.5,0.1,0.0,0.0
57,59,20200311,7,0.0,0.0,0.0,3.2,0.1,0.0,0.0
72,59,20200312,7,0.0,809.0,0.0,3.9,0.1,80.9,0.0
87,59,20200313,7,0.0,1252.0,0.0,4.6,0.1,206.1,0.0
102,59,20200314,11,0.0,1166.0,0.0,5.6,0.1,322.7,0.0
117,59,20200315,9,0.0,1541.0,0.0,6.1,0.1,476.8,0.0
132,59,20200316,0,3.0,1550.0,0.0,5.2,0.4,631.8,0.0
147,59,20200317,30,3.0,1810.0,0.0,8.2,0.7,812.8,0.0
162,59,20200318,83,0.0,3517.0,0.0,15.9,0.7,1164.5,0.0
177,59,20200319,85,1.0,3056.0,0.0,24.4,0.7,1470.1,0.0
192,59,20200320,0,1.0,1146.0,0.0,23.9,0.8,1584.7,0.0
207,59,20200321,153,1.0,837.0,0.0,38.5,0.9,1668.4,0.0
222,59,20200322,0,0.0,1511.0,0.0,37.8,0.9,1738.6,0.0
237,59,20200323,48,3.0,1975.0,0.0,41.9,1.2,1810.9,0.0
252,59,20200324,145,0.0,2144.0,0.0,55.3,1.2,1908.7,0.0
267,59,20200325,42,1.0,1971.0,0.0,58.6,1.3,1951.7,0.0
282,59,20200326,66,0.0,1889.0,186.0,65.2,1.0,1985.6,18.6
297,59,20200327,0,0.0,2754.0,0.0,62.2,0.7,2080.0,18.6
312,59,20200328,159,2.0,2673.0,210.0,69.8,0.9,1995.6,39.6
327,59,20200329,0,1.0,2186.0,0.0,61.3,0.9,1908.6,39.6
342,59,20200330,76,2.0,1783.0,73.0,68.9,1.0,1972.3,46.9
357,59,20200331,10,0.0,1595.0,38.0,54.6,0.9,2048.1,50.7
372,59,20200401,96,6.0,1000.0,99.0,64.2,1.5,1997.0,60.6
387,59,20200402,55,6.0,1089.0,35.0,64.9,1.8,1908.4,64.1
402,59,20200403,53,4.0,1187.0,0.0,55.7,2.2,1812.7,64.1
417,59,20200404,29,3.0,1145.0,64.0,54.4,2.4,1730.1,70.5
432,59,20200405,0,0.0,1215.0,-1.0,47.8,2.4,1662.7,51.8
447,59,20200406,63,1.0,1247.0,79.0,54.1,2.5,1512.0,59.7
462,59,20200407,25,4.0,763.0,0.0,40.7,2.7,1321.0,38.7
477,59,20200408,45,5.0,792.0,55.0,45.2,3.1,1181.6,44.2
492,59,20200409,34,2.0,1124.0,20.0,41.0,3.1,1115.7,38.9
507,59,20200410,40,5.0,1203.0,21.0,44.0,3.6,1076.5,37.2
522,59,20200411,35,3.0,1190.0,26.0,37.9,3.3,1095.5,29.9
537,59,20200412,0,0.0,1540.0,0.0,32.4,2.7,1140.6,26.4
552,59,20200413,45,11.0,980.0,21.0,31.6,3.4,1119.9,28.5
567,59,20200414,27,3.0,826.0,16.0,31.4,3.4,1088.0,23.7
582,59,20200415,44,3.0,821.0,13.0,35.8,3.7,1048.6,25.1
597,59,20200416,0,0.0,696.0,0.0,29.5,3.6,993.5,17.2
612,59,20200417,14,2.0,1339.0,0.0,28.4,3.4,1051.1,17.2
627,59,20200418,43,1.0,1478.0,11.0,28.2,3.0,1119.7,12.8
642,59,20200419,0,0.0,1346.0,0.0,24.8,2.8,1141.9,10.8
657,59,20200420,81,8.0,1271.0,73.0,28.9,3.1,1148.7,16.0
672,59,20200421,25,1.0,971.0,2.0,27.9,2.9,1126.8,13.6
687,59,20200422,71,3.0,1208.0,38.0,35.0,3.2,1093.6,17.4
702,59,20200423,29,4.0,1547.0,13.0,33.4,2.5,1150.3,16.6
717,59,20200424,29,4.0,1727.0,22.0,33.6,2.6,1240.4,17.2
732,59,20200425,95,2.0,2276.0,23.0,38.7,2.5,1385.9,18.2
747,59,20200426,0,0.0,2505.0,0.0,38.7,2.5,1566.8,18.2
762,59,20200427,50,3.0,2552.0,53.0,42.3,2.6,1688.1,23.5
777,59,20200428,55,2.0,2272.0,41.0,43.5,2.7,1767.5,26.5
792,59,20200429,34,4.0,2170.0,74.0,46.9,3.1,1849.9,33.9
807,59,20200430,25,2.0,2694.0,17.0,41.3,2.5,1992.2,28.3
822,59,20200501,33,1.0,2702.0,35.0,42.1,2.5,2165.3,31.6
837,59,20200502,26,2.0,2683.0,19.0,37.6,2.4,2312.8,29.7
