,pruid,date,numtoday,numdeathstoday,numteststoday,numrecoveredtoday,Class
50,48,2020-03-08,1,0.0,,,
55,48,2020-03-09,6,0.0,,,
58,48,2020-03-11,7,0.0,,,
73,48,2020-03-12,5,0.0,784.0,,
88,48,2020-03-13,4,0.0,1334.0,,
103,48,2020-03-14,6,0.0,1147.0,,
118,48,2020-03-15,10,0.0,1587.0,,1.0
133,48,2020-03-16,17,0.0,1555.0,,1.0
148,48,2020-03-17,18,0.0,1834.0,,1.0
163,48,2020-03-18,23,0.0,1485.0,,1.0
178,48,2020-03-19,49,1.0,2083.0,,1.0
193,48,2020-03-20,49,0.0,2878.0,,1.0
208,48,2020-03-21,31,0.0,2869.0,,1.0
223,48,2020-03-22,33,0.0,3593.0,,1.0
238,48,2020-03-23,42,0.0,3507.0,,1.0
253,48,2020-03-24,57,1.0,2854.0,,1.0
268,48,2020-03-25,61,0.0,2728.0,,1.0
283,48,2020-03-26,67,0.0,3143.0,27.0,1.0
298,48,2020-03-27,56,0.0,1645.0,0.0,1.0
313,48,2020-03-28,0,0.0,1316.0,26.0,1.0
328,48,2020-03-29,79,0.0,3697.0,20.0,1.0
343,48,2020-03-30,69,6.0,2145.0,21.0,1.0
358,48,2020-03-31,64,1.0,1929.0,26.0,1.0
373,48,2020-04-01,0,0.0,2549.0,22.0,1.0
388,48,2020-04-02,214,4.0,4771.0,32.0,1.0
403,48,2020-04-03,107,5.0,3610.0,,1.0
418,48,2020-04-04,0,0.0,4009.0,,1.0
433,48,2020-04-05,175,5.0,1723.0,240.0,1.0
448,48,2020-04-06,98,1.0,1807.0,121.0,1.0
463,48,2020-04-07,25,2.0,1185.0,,1.0
478,48,2020-04-08,50,3.0,941.0,,1.0
493,48,2020-04-09,28,3.0,1705.0,,1.0
508,48,2020-04-10,49,7.0,1288.0,,1.0
523,48,2020-04-11,69,1.0,2291.0,,1.0
538,48,2020-04-12,82,4.0,2851.0,,1.0
553,48,2020-04-13,81,2.0,2240.0,,1.0
568,48,2020-04-14,138,2.0,2305.0,,1.0
583,48,2020-04-15,126,0.0,2136.0,,1.0
598,48,2020-04-16,162,2.0,2572.0,,1.0
613,48,2020-04-17,239,0.0,3092.0,,1.0
628,48,2020-04-18,165,1.0,3099.0,1162.0,1.0
643,48,2020-04-19,0,0.0,5238.0,0.0,1.0
658,48,2020-04-20,346,8.0,3800.0,68.0,1.0
673,48,2020-04-21,187,2.0,4370.0,43.0,1.0
688,48,2020-04-22,306,5.0,4010.0,37.0,1.0
703,48,2020-04-23,319,1.0,4313.0,47.0,1.0
718,48,2020-04-24,297,5.0,4057.0,40.0,1.0
733,48,2020-04-25,216,1.0,4471.0,74.0,1.0
748,48,2020-04-26,247,0.0,4531.0,78.0,1.0
763,48,2020-04-27,216,2.0,4664.0,115.0,1.0
