,pruid,date,Class
164,1.0,2020-08-26,0.0
165,1.0,2020-08-27,0.0
166,1.0,2020-08-28,0.0
167,1.0,2020-08-29,0.0
168,1.0,2020-08-30,0.0
169,1.0,2020-08-31,0.0
170,1.0,2020-09-01,0.0
171,1.0,2020-09-02,0.0
172,1.0,2020-09-03,0.0
173,1.0,2020-09-04,0.0
174,1.0,2020-09-05,0.0
175,1.0,2020-09-06,0.0
176,1.0,2020-09-07,0.0
177,1.0,2020-09-08,0.0
178,1.0,2020-09-09,0.0
179,1.0,2020-09-10,0.0
180,1.0,2020-09-11,0.0
181,1.0,2020-09-12,0.0
182,1.0,2020-09-13,0.0
183,1.0,2020-09-14,0.0
184,1.0,2020-09-15,0.0
185,1.0,2020-09-16,0.0
186,1.0,2020-09-17,0.0
187,1.0,2020-09-18,0.0
188,1.0,2020-09-19,0.0
189,1.0,2020-09-20,0.0
190,1.0,2020-09-21,0.0
191,1.0,2020-09-22,0.0
192,1.0,2020-09-23,0.0
193,1.0,2020-09-24,0.0
194,1.0,2020-09-25,0.0
195,1.0,2020-09-26,0.0
196,1.0,2020-09-27,0.0
197,1.0,2020-09-28,0.0
198,1.0,2020-09-29,0.0
199,1.0,2020-09-30,0.0
200,1.0,2020-10-01,0.0
201,1.0,2020-10-02,0.0
202,1.0,2020-10-03,0.0
203,1.0,2020-10-04,0.0
204,1.0,2020-10-05,0.0
205,1.0,2020-10-06,0.0
206,1.0,2020-10-07,0.0
207,1.0,2020-10-08,0.0
208,1.0,2020-10-09,0.0
209,1.0,2020-10-10,0.0
210,1.0,2020-10-11,0.0
211,1.0,2020-10-12,0.0
212,1.0,2020-10-13,0.0
213,1.0,2020-10-14,0.0
214,1.0,2020-10-15,0.0
215,1.0,2020-10-16,0.0
216,1.0,2020-10-17,0.0
217,1.0,2020-10-18,0.0
218,1.0,2020-10-19,0.0
219,1.0,2020-10-20,0.0
220,1.0,2020-10-21,0.0
221,1.0,2020-10-22,0.0
222,1.0,2020-10-23,0.0
223,1.0,2020-10-24,0.0
224,1.0,2020-10-25,0.0
225,1.0,2020-10-26,0.0
226,1.0,2020-10-27,0.0
227,1.0,2020-10-28,0.0
228,1.0,2020-10-29,0.0
229,1.0,2020-10-30,0.0
230,1.0,2020-10-31,0.0
231,1.0,2020-11-01,0.0
232,1.0,2020-11-02,0.0
233,1.0,2020-11-03,0.0
234,1.0,2020-11-04,0.0
235,1.0,2020-11-05,0.0
236,1.0,2020-11-06,0.0
237,1.0,2020-11-07,0.0
238,1.0,2020-11-08,0.0
239,1.0,2020-11-09,0.0
240,1.0,2020-11-10,0.0
241,1.0,2020-11-11,0.0
242,1.0,2020-11-12,0.0
243,1.0,2020-11-13,0.0
244,1.0,2020-11-14,0.0
245,1.0,2020-11-15,0.0
246,1.0,2020-11-16,0.0
247,1.0,2020-11-17,0.0
248,1.0,2020-11-18,0.0
249,1.0,2020-11-19,0.0
250,1.0,2020-11-20,0.0
251,1.0,2020-11-21,0.0
252,1.0,2020-11-22,0.0
253,1.0,2020-11-23,0.0
254,1.0,2020-11-24,0.0
255,1.0,2020-11-25,0.0
256,1.0,2020-11-26,0.0
257,1.0,2020-11-27,0.0
258,1.0,2020-11-28,0.0
259,1.0,2020-11-29,0.0
260,1.0,2020-11-30,1.0
261,1.0,2020-12-01,1.0
262,1.0,2020-12-02,1.0
263,1.0,2020-12-03,1.0
264,1.0,2020-12-04,1.0
265,1.0,2020-12-05,1.0
266,1.0,2020-12-06,1.0
267,1.0,2020-12-07,1.0
268,1.0,2020-12-08,1.0
269,1.0,2020-12-09,1.0
270,1.0,2020-12-10,1.0
271,1.0,2020-12-11,1.0
272,1.0,2020-12-12,1.0
273,1.0,2020-12-13,1.0
274,1.0,2020-12-14,1.0
275,1.0,2020-12-15,1.0
276,1.0,2020-12-16,1.0
277,1.0,2020-12-17,1.0
