,pruid,date,Class,median_numtoday,median_numdeathstoday,median_numteststoday,median_numrecoveredtoday,std_numtoday,std_numdeathstoday,std_numteststoday,std_numrecoveredtoday,var_numtoday,var_numdeathstoday,var_numteststoday,var_numrecoveredtoday,skew_numtoday,skew_numdeathstoday,skew_numteststoday,skew_numrecoveredtoday,kurt_numtoday,kurt_numdeathstoday,kurt_numteststoday,kurt_numrecoveredtoday
60,46,20200311,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
75,46,20200312,0.0,0.5,0.0,52.0,0.0,0.7071067811865476,0.0,73.53910524340094,0.0,0.5,0.0,5408.0,0.0,,,,,,,,
90,46,20200313,1.0,1.0,0.0,104.0,0.0,1.0,0.0,97.57219549304676,0.0,1.0,0.0,9520.333333333334,0.0,-8.594724931765895e-10,,-0.1994578308089686,,,,,
105,46,20200314,1.0,1.0,0.0,149.5,0.0,0.816496580927726,0.0,127.98535072421375,0.0,0.6666666666666666,0.0,16380.25,0.0,0.0,,0.009745009424824019,,1.5,,-0.8146678458103036,
120,46,20200315,1.0,1.0,0.0,195.0,0.0,0.8366600265340756,0.0,163.3303401086277,0.0,0.7,0.0,26676.8,0.0,0.5122408321929615,,0.13261412710998183,,-0.6122450731082125,,-0.9438722217756386,
135,46,20200316,1.0,1.0,0.0,247.5,0.0,1.1690451944500122,0.0,157.25955190915008,0.0,1.3666666666666667,0.0,24730.566666666666,0.0,0.6676284275036214,,-0.35564600840487837,,-0.4461629511115035,,-1.1590738662397413,
150,46,20200317,1.0,1.0,0.0,267.0,0.0,1.1547005383792515,0.0,144.34499018142677,0.0,1.3333333333333333,0.0,20835.476190476187,0.0,0.9093266737812735,,-0.5184724530277891,,-0.15000012033331203,,-0.47836523969028805,
165,46,20200318,1.0,1.0,0.0,283.5,0.0,2.6958963523950885,0.0,147.88678101845343,0.0,7.267857142857143,0.0,21870.5,0.0,2.042416245435674,,-0.665949945022707,,4.494022903850913,,-0.48558955226514894,
180,46,20200319,1.0,1.0,0.0,300.0,0.0,2.5221243250702594,0.0,168.33506599768344,0.0,6.361111111111111,0.0,28336.694444444445,0.0,2.083371829654601,,-0.3207574368139923,,4.932204079961402,,-0.2908442896868796,
195,46,20200320,1.0,1.0,0.0,323.0,0.0,2.4517567397911053,0.0,166.94456831202652,0.0,6.01111111111111,0.0,27870.48888888889,0.0,2.1859915062061486,,-0.5222459100888566,,5.397890532951051,,-0.32316827226261274,
210,46,20200321,1.0,1.0,0.0,300.0,0.0,2.327698824629556,0.0,158.84990056367963,0.0,5.418181818181817,0.0,25233.29090909091,0.0,2.2052292871409325,,-0.4503026638528947,,5.744185698706236,,-0.11905841320194573,
225,46,20200322,1.0,1.0,0.0,283.5,0.0,2.274696116900546,0.0,155.4922535340295,0.0,5.174242424242423,0.0,24177.840909090908,0.0,2.2894953998670684,,-0.24552903219699876,,6.154995293784591,,-0.3216065344276697,
240,46,20200323,1.0,1.0,0.0,269.0,0.0,2.1838568563966754,0.0,148.98369382466333,0.0,4.769230769230768,0.0,22196.141025641027,0.0,2.4066893794534,,-0.21427594246994056,,6.839357669370778,,-0.08763824899010304,
255,46,20200324,1.0,1.0,0.0,268.0,0.0,2.103111248383433,0.0,143.28439406445347,0.0,4.423076923076922,0.0,20530.417582417584,0.0,2.518008582772361,,-0.17778069557086293,,7.518061526710009,,0.12952864784874968,
270,46,20200325,1.0,1.0,0.0,269.0,0.0,3.8110116142317807,0.0,138.0894465123792,0.0,14.523809523809522,0.0,19068.69523809524,0.0,2.527023792843637,,-0.1683295783283736,,6.503127778351481,,0.35980485907408255,
285,46,20200326,1.0,1.0,0.0,278.0,0.0,3.7758631936476266,0.0,113.81543120751414,0.2581988897471611,14.257142857142854,0.0,12953.952380952382,0.06666666666666667,2.552949185837498,,0.2968837593187777,3.8729833528094315,6.633397827358469,,0.09533263330892976,15.000000728271877
300,46,20200327,1.0,1.0,0.0,300.0,0.0,3.7581657126595047,0.2581988897471611,144.68570206123474,0.2581988897471611,14.123809523809522,0.06666666666666667,20933.952380952385,0.06666666666666667,2.4709167011261295,3.8729833462073926,1.4289664065127106,3.8729833528094315,6.349526002127511,14.999999999999273,2.418444706204232,15.000000728271877
315,46,20200328,1.0,1.0,0.0,346.0,0.0,6.9020355865567105,0.2581988897471611,151.7114115053722,0.2581988897471611,47.63809523809524,0.06666666666666667,23016.352380952387,0.06666666666666667,2.4588949833229674,3.8729833462073926,1.087052890271985,3.8729833528094315,6.084096610814018,14.999999999999273,0.7481164474733638,15.000000728271877
330,46,20200329,1.0,2.0,0.0,352.0,0.0,6.916508890914205,0.2581988897471611,203.60706789116654,0.2581988897471611,47.83809523809524,0.06666666666666667,41455.8380952381,0.06666666666666667,2.231898223173793,3.8729833462073926,1.267733798303808,3.8729833528094315,5.163927079130749,14.999999999999273,1.2429303254553656,15.000000728271877
345,46,20200330,1.0,2.0,0.0,346.0,0.0,8.408046033130296,0.2581988897471611,210.7691583112627,0.3518657752744984,70.6952380952381,0.06666666666666667,44423.63809523811,0.12380952380952381,1.6109002881390784,3.8729833462073926,1.2894973896411677,2.404763140707854,1.4981268492833681,14.999999999999273,1.1199695017977656,4.349113129278596
360,46,20200331,1.0,2.0,0.0,352.0,0.0,8.364892621631707,0.2581988897471611,294.0633232744915,0.5936168397046637,69.97142857142858,0.06666666666666667,86473.2380952381,0.3523809523809524,1.5299924067422592,3.8729833462073926,1.4567422908259329,2.272968451990786,1.3359982151163434,14.999999999999273,1.7018751071689757,4.784794773510346
375,46,20200401,1.0,3.0,0.0,378.0,0.0,9.296696802013683,0.2581988897471611,290.14022882212043,0.5936168397046637,86.42857142857143,0.06666666666666667,84181.3523809524,0.3523809523809524,1.0985588824535935,3.8729833462073926,1.4517703373423585,2.272968451990786,-0.3194580025605332,14.999999999999273,1.7781355417429188,4.784794773510346
390,46,20200402,1.0,3.0,0.0,378.0,0.0,12.437654043075733,0.2581988897471611,332.8739501172579,1.8309508328682538,154.69523809523812,0.06666666666666667,110805.0666666667,3.3523809523809525,1.2624355486720171,3.8729833462073926,1.0582792334058562,3.2740020135031127,0.6948503981558091,14.999999999999273,-0.042780802911390005,11.367038512944433
405,46,20200403,1.0,7.0,0.0,378.0,0.0,12.282391577259817,0.3518657752744984,388.8006589255636,1.8309508328682538,150.8571428571429,0.12380952380952381,151165.95238095243,3.3523809523809525,1.095291346003214,2.4047631387103356,0.872860585466198,3.2740020135031127,0.44827757469444224,4.349112426035831,-0.7696196973725998,11.367038512944433
420,46,20200404,1.0,8.0,0.0,378.0,0.0,11.899579824514817,0.3518657752744984,387.68451828037416,1.8309508328682538,141.60000000000005,0.12380952380952381,150299.28571428577,3.3523809523809525,1.0364955095966912,2.4047631387103356,0.7787312173074892,3.2740020135031127,0.52411152956498,4.349112426035831,-0.8691049573170161,11.367038512944433
435,46,20200405,1.0,9.0,0.0,567.0,0.0,11.621818561080133,0.3518657752744984,377.8054046854331,4.564876256602718,135.0666666666667,0.12380952380952381,142736.92380952387,20.83809523809524,1.0217909609849385,2.4047631387103356,0.7037751420839495,3.062590651598067,0.6606037055850132,4.349112426035831,-0.8353657890779249,9.710871639252623
450,46,20200406,1.0,9.0,0.0,567.0,0.0,11.549067164968452,0.3518657752744984,361.2305292165867,4.564876256602718,133.38095238095244,0.12380952380952381,130487.4952380953,20.83809523809524,1.0434773940388649,2.4047631387103356,0.735202974747321,3.062590651598067,0.7005251536634904,4.349112426035831,-0.7155157842137476,9.710871639252623
465,46,20200407,1.0,12.0,0.0,567.0,0.0,11.115411866070504,0.41403933560541256,351.2743873926696,4.564876256602718,123.55238095238099,0.17142857142857146,123393.69523809532,20.83809523809524,1.0082176884449323,1.6720819322526241,0.7493883253705653,3.062590651598067,0.886318752980653,0.8974358974359179,-0.614053212978661,9.710871639252623
480,46,20200408,1.0,12.0,0.0,606.0,0.0,10.906529280774016,0.41403933560541256,337.5587144694768,4.564876256602718,118.95238095238099,0.17142857142857146,113945.88571428577,20.83809523809524,1.0688533015326345,1.6720819322526241,0.6056594111088661,3.062590651598067,1.0314338062797366,0.8974358974359179,-0.644676926083919,9.710871639252623
495,46,20200409,1.0,9.0,0.0,606.0,0.0,11.22369941558614,0.41403933560541256,324.85831343760293,4.564876256602718,125.97142857142863,0.17142857142857146,105532.92380952385,20.83809523809524,1.1429550218202458,1.6720819322526241,0.6629148195602941,3.062590651598067,0.9491590170479578,0.8974358974359179,-0.499098403264763,9.710871639252623
510,46,20200410,1.0,9.0,0.0,606.0,0.0,10.924851529992571,0.4577377082170635,314.33441397582266,4.585692033768887,119.35238095238103,0.20952380952380958,98806.12380952387,21.028571428571432,1.214177883083061,1.17635390048791,0.6723453864332806,3.066398541590917,1.1558002076645952,-0.7342657342657464,-0.3357730803086423,9.706454713050526
