,pruid,date,numtoday,numdeathstoday,numteststoday,numrecoveredtoday,Class,moving_numtoday,moving_numdeathstoday,moving_numteststoday,moving_numrecoveredtoday,moving_numtoday_loess5%,moving_numtoday_loess15%,moving_numdeathstoday_loess5%,moving_numdeathstoday_loess15%,moving_numteststoday_loess5%,moving_numteststoday_loess15%,moving_numrecoveredtoday_loess5%,moving_numrecoveredtoday_loess15%
65,12,20200311,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7412266939481755,17.605754664839175,0.05690934058706056,0.1490954244862913,222.36558437741206,499.3840400948749,-0.9350560550158702,-1.7393202068992382
80,12,20200312,0,0.0,13.0,0.0,0.0,0.0,0.0,6.5,0.0,6.7992716431343,18.014541532790368,0.07485967325948938,0.15290676351671006,282.0824031360564,517.0006313639343,-0.5540064994132078,-1.233323773502026
95,12,20200313,0,0.0,0.0,0.0,1.0,0.0,0.0,4.333333333333333,0.0,8.851387622446131,18.416978141942057,0.09267169354818398,0.15667480457608127,340.92984089882765,534.4928546942283,-0.1542695724491079,-0.7263624389633284
110,12,20200314,0,0.0,150.0,0.0,1.0,0.0,0.0,40.75,0.0,10.89312755434148,18.813161419733934,0.11029799666867487,0.1604004295892646,398.9385088187065,551.8653610734807,0.2642915904858387,-0.2184557314417645
125,12,20200315,0,0.0,170.0,0.0,1.0,0.0,0.0,66.6,0.0,12.920550541702745,19.203237572911537,0.1277071726652147,0.1640850627180692,456.15632952825734,569.1234543287239,0.7015446140526822,0.29037319647068127
140,12,20200316,3,0.0,207.0,0.0,1.0,0.5,0.0,90.0,0.0,14.931181893353237,19.587406497321016,0.14489430843842202,0.16773068412123493,512.6533112613057,586.2729169407902,1.1570168278018156,0.8000988704786873
155,12,20200317,2,0.0,105.0,0.0,1.0,0.7142857142857143,0.0,92.14285714285714,0.0,16.92471194927066,19.965916001404207,0.16188336789072985,0.17133964663383913,568.5347677831686,603.3198831457096,1.6297309871407641,1.3106947821552168
170,12,20200318,2,0.0,333.0,0.0,1.0,0.875,0.0,122.25,0.0,18.90387958953849,20.339051270959253,0.17871564433231735,0.17491432145516075,623.9643648367133,620.2707118820383,2.117909982574865,1.822134671168702
185,12,20200319,7,0.0,216.0,0.0,1.0,1.5555555555555556,0.0,132.66666666666666,0.0,20.876644459341914,20.70712648214044,0.19546373241043105,0.17845707462400393,679.1840680534884,637.1317587912499,2.618730502361907,2.334393814479709
200,12,20200320,1,0.0,177.0,0.0,1.0,1.5,0.0,137.1,0.0,22.86000901304822,21.070467951363984,0.2122562138598319,0.18197023277615337,734.45271032058,653.909028576297,3.129832582139364,2.8474503382814436
