,pruid,date,numtoday,numdeathstoday,numteststoday,numrecoveredtoday,Class
66,11,2020-03-11,0,0.0,,,
81,11,2020-03-12,0,0.0,0.0,,
96,11,2020-03-13,0,0.0,0.0,,
111,11,2020-03-14,0,0.0,0.0,,
126,11,2020-03-15,1,0.0,0.0,,
141,11,2020-03-16,0,0.0,42.0,,
156,11,2020-03-17,0,0.0,0.0,,
171,11,2020-03-18,0,0.0,0.0,,
186,11,2020-03-19,1,0.0,0.0,,
201,11,2020-03-20,0,0.0,0.0,,
216,11,2020-03-21,0,0.0,0.0,,
231,11,2020-03-22,1,0.0,0.0,,
246,11,2020-03-23,0,0.0,0.0,,
261,11,2020-03-24,0,0.0,0.0,,
276,11,2020-03-25,2,0.0,0.0,,
291,11,2020-03-26,4,0.0,200.0,1.0,
306,11,2020-03-27,2,0.0,0.0,0.0,
321,11,2020-03-28,0,0.0,147.0,0.0,
336,11,2020-03-29,0,0.0,69.0,0.0,
351,11,2020-03-30,7,0.0,0.0,0.0,
366,11,2020-03-31,3,0.0,55.0,0.0,
381,11,2020-04-01,0,0.0,0.0,2.0,
396,11,2020-04-02,1,0.0,74.0,0.0,
411,11,2020-04-03,0,0.0,0.0,,
426,11,2020-04-04,0,0.0,102.0,,
441,11,2020-04-05,0,0.0,0.0,6.0,
456,11,2020-04-06,0,0.0,186.0,2.0,
471,11,2020-04-07,0,0.0,0.0,,
486,11,2020-04-08,2,0.0,13.0,,
501,11,2020-04-09,1,0.0,100.0,,
516,11,2020-04-10,0,0.0,408.0,,
531,11,2020-04-11,0,0.0,88.0,,
546,11,2020-04-12,0,0.0,68.0,,
561,11,2020-04-13,0,0.0,70.0,,
576,11,2020-04-14,0,0.0,72.0,,
591,11,2020-04-15,1,0.0,70.0,,
606,11,2020-04-16,0,0.0,35.0,,
621,11,2020-04-17,0,0.0,113.0,,
636,11,2020-04-18,0,0.0,83.0,23.0,
651,11,2020-04-19,0,0.0,67.0,0.0,
666,11,2020-04-20,0,0.0,73.0,0.0,
681,11,2020-04-21,0,0.0,153.0,0.0,
696,11,2020-04-22,0,0.0,28.0,1.0,
711,11,2020-04-23,0,0.0,63.0,0.0,
