,pruid,date,numtoday,numdeathstoday,numteststoday,numrecoveredtoday,Class
0,35,2020-01-31,3,0.0,,,
3,35,2020-02-08,0,0.0,,,
6,35,2020-02-16,0,0.0,,,
9,35,2020-02-21,0,0.0,,,
12,35,2020-02-24,1,0.0,,,
15,35,2020-02-25,0,0.0,,,
18,35,2020-02-26,1,0.0,,,
21,35,2020-02-27,1,0.0,,,
24,35,2020-02-29,2,0.0,,,
27,35,2020-03-01,7,0.0,,,
31,35,2020-03-03,5,0.0,,,
35,35,2020-03-05,2,0.0,,,
39,35,2020-03-06,6,0.0,,,
43,35,2020-03-07,0,0.0,,,
47,35,2020-03-08,3,0.0,,,
52,35,2020-03-09,3,0.0,,,
61,35,2020-03-11,8,1.0,,,
76,35,2020-03-12,17,0.0,0.0,,1.0
91,35,2020-03-13,20,0.0,0.0,,1.0
106,35,2020-03-14,0,0.0,0.0,,1.0
121,35,2020-03-15,24,0.0,0.0,,1.0
136,35,2020-03-16,42,0.0,0.0,,1.0
151,35,2020-03-17,32,0.0,0.0,,1.0
166,35,2020-03-18,12,0.0,0.0,,1.0
181,35,2020-03-19,69,1.0,0.0,,1.0
196,35,2020-03-20,53,0.0,0.0,,1.0
211,35,2020-03-21,66,1.0,0.0,,1.0
226,35,2020-03-22,48,2.0,0.0,,1.0
241,35,2020-03-23,78,1.0,0.0,,1.0
256,35,2020-03-24,85,2.0,0.0,,1.0
271,35,2020-03-25,100,5.0,0.0,,1.0
286,35,2020-03-26,170,2.0,0.0,8.0,1.0
301,35,2020-03-27,135,3.0,0.0,0.0,1.0
316,35,2020-03-28,0,0.0,0.0,0.0,1.0
331,35,2020-03-29,362,1.0,0.0,0.0,1.0
346,35,2020-03-30,351,14.0,0.0,423.0,1.0
361,35,2020-03-31,260,0.0,0.0,103.0,1.0
376,35,2020-04-01,426,4.0,0.0,155.0,1.0
391,35,2020-04-02,401,16.0,0.0,142.0,1.0
406,35,2020-04-03,462,14.0,0.0,,1.0
421,35,2020-04-04,375,27.0,0.0,,1.0
436,35,2020-04-05,408,25.0,0.0,1219.0,1.0
451,35,2020-04-06,309,13.0,0.0,405.0,1.0
466,35,2020-04-07,379,21.0,0.0,,1.0
481,35,2020-04-08,550,21.0,0.0,,1.0
496,35,2020-04-09,483,26.0,0.0,,1.0
511,35,2020-04-10,478,22.0,0.0,,1.0
526,35,2020-04-11,411,31.0,0.0,,1.0
541,35,2020-04-12,401,21.0,0.0,,1.0
556,35,2020-04-13,421,17.0,0.0,,1.0
571,35,2020-04-14,483,43.0,0.0,,1.0
586,35,2020-04-15,494,56.0,0.0,,1.0
601,35,2020-04-16,514,38.0,0.0,,1.0
616,35,2020-04-17,564,55.0,0.0,,1.0
631,35,2020-04-18,485,36.0,0.0,4875.0,1.0
646,35,2020-04-19,568,39.0,0.0,334.0,1.0
661,35,2020-04-20,606,31.0,9643.0,306.0,1.0
676,35,2020-04-21,551,38.0,8743.0,291.0,1.0
691,35,2020-04-22,510,37.0,9330.0,415.0,1.0
706,35,2020-04-23,634,54.0,10361.0,459.0,1.0
721,35,2020-04-24,640,50.0,10214.0,407.0,1.0
736,35,2020-04-25,476,48.0,12295.0,422.0,0.0
