,pruid,date,numtoday,numdeathstoday,numteststoday,numrecoveredtoday,Class,moving_numtoday,moving_numdeathstoday,moving_numteststoday,moving_numrecoveredtoday,moving_numtoday_loess5%,moving_numtoday_loess15%,moving_numdeathstoday_loess5%,moving_numdeathstoday_loess15%,moving_numteststoday_loess5%,moving_numteststoday_loess15%,moving_numrecoveredtoday_loess5%,moving_numrecoveredtoday_loess15%
67,61,20200311,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0158145030617165,17.66062875846779,0.059308801020298535,0.14960612382596544,230.37858199037757,501.7402486834863,-0.8853178281057517,-1.6719103479771562
83,61,20200312,0,0.0,5.0,0.0,0.0,0.0,0.0,2.5,0.0,7.210312611036908,18.095534443922705,0.07843482219617447,0.15366381491258563,293.9206473862033,520.5088868459733,-0.47556209650606607,-1.1320081365886017
98,61,20200313,0,0.0,19.0,0.0,0.0,0.0,0.0,8.0,0.0,9.260703886071923,18.49671112117107,0.0962131020817942,0.15742328526048543,352.5973407232151,537.9767707718801,-0.0720631743754582,-0.6248560302937447
113,61,20200314,0,0.0,26.0,0.0,0.0,0.0,0.0,12.5,0.0,11.299863153441683,18.891659591972555,0.1137978202497846,0.16114058017542124,410.44339118636253,555.3259525099652,0.35025637619348116,-0.11676293355467841
128,61,20200315,0,0.0,15.0,0.0,0.0,0.0,0.0,13.0,0.0,13.32406388815487,19.280536613682006,0.13116192232315174,0.16481723521627947,467.5105587307941,572.5618441027148,0.7912040647664479,0.3922474330880203
143,61,20200316,0,0.0,15.0,0.0,1.0,0.0,0.0,13.333333333333334,0.0,15.331220461353563,19.663552500819698,0.14830674449885858,0.16845533086648404,523.8745345863928,589.6903075856023,1.2502233461670675,0.9021492858326646
158,61,20200317,0,0.0,34.0,0.0,1.0,0.0,0.0,16.285714285714285,0.0,17.321529797109747,20.040963249624085,0.16526070152713812,0.1720572496384889,579.6500871889895,606.7175325535712,1.7262046932756554,1.412916063266245
173,61,20200318,0,0.0,7.0,0.0,1.0,0.0,0.0,15.125,0.0,19.29855545160215,20.41306063818523,0.182068721516212,0.17562534898190715,635.0158677422744,623.6499028708892,2.2171690339900954,1.924521708904703
188,61,20200319,0,0.0,2.0,0.0,1.0,0.0,0.0,13.666666666666666,0.0,21.27169607175422,20.78016305169152,0.19881333851392535,0.17916200177042155,690.2276809420676,640.493730347384,2.720132829898934,2.436941963546981
203,61,20200320,0,0.0,68.0,0.0,1.0,0.0,0.0,19.1,0.0,23.260550723357134,21.142596809038395,0.21563670965471224,0.1826695082978753,745.5157295881824,657.2549262750593,3.233617975628086,2.950155684039889
218,61,20200321,1,0.0,19.0,0.0,1.0,0.1,0.0,21.0,0.0,25.30496355566929,21.500690103014716,0.23277326381302138,0.1861501083804278,800.370202822691,673.9390352003135,3.773684329199808,3.464146209928168
233,61,20200322,0,0.0,45.0,0.0,1.0,0.1,0.0,25.0,0.0,27.163007493125345,21.85476962262129,0.24763630767594474,0.18960599438755568,841.5929913066904,690.5512514244418,4.560534125417006,3.9789028058136258
248,61,20200323,0,0.0,71.0,0.0,1.0,0.1,0.0,30.2,0.0,28.81281589108434,22.205163738452686,0.2600365621542814,0.19303926330216858,873.5259151476349,707.0961444991348,5.449252444824442,4.494422215413415
263,61,20200324,0,0.0,39.0,0.0,1.0,0.1,0.0,31.5,0.0,30.293817475109847,22.55220493317221,0.2705016755495872,0.19645184920417338,899.5847604757961,723.5775471908547,6.350948174991017,5.010710373729364
278,61,20200325,0,0.0,85.0,0.0,1.0,0.1,0.0,38.5,0.0,31.56103648264834,22.896202431349455,0.278992364722623,0.19984548706152314,919.9163216407769,739.9986254131965,7.227045102799842,5.527784336995469
293,61,20200326,0,0.0,27.0,0.0,1.0,0.1,0.0,39.7,0.0,32.57202417966917,23.23744268062036,0.2856716550600234,0.2032216253624073,935.237146102347,756.361868815481,8.035784822013264,6.045672742893778
308,61,20200327,0,0.0,44.0,0.0,1.0,0.1,0.0,40.7,0.0,33.30066167955027,23.576179720972828,0.2908980626260627,0.2065815202366413,946.438642920229,772.6690362993075,8.740050561598949,6.564400070134345
323,61,20200328,0,0.0,36.0,0.0,1.0,0.1,0.0,43.6,0.0,33.74905012606642,23.912637841471142,0.2950245314502949,0.20992613536412186,954.3671302266353,788.921063570778,9.314242238519801,7.083978032090719
338,61,20200329,0,0.0,140.0,0.0,1.0,0.1,0.0,57.4,0.0,33.952018319443845,24.24701662337015,0.2982257966961985,0.21325621683594032,959.7986328784725,805.1180384198466,9.744533343164923,7.604403776497207
353,61,20200330,0,0.0,72.0,0.0,1.0,0.1,0.0,57.8,0.0,33.963882478562624,24.579489904802994,0.3005329313016224,0.2165724599193031,963.3127529513355,821.2590184769033,10.028873933313152,8.125662067728218
368,61,20200331,0,0.0,29.0,0.0,1.0,0.0,0.0,58.8,0.0,33.83191402862887,24.910186612440675,0.30199721614057257,0.21987505227387408,965.402508486446,837.3422146158281,10.17502689658573,8.64773143655456
383,61,20200401,1,0.0,77.0,0.0,1.0,0.1,0.0,62.0,0.0,33.59926585627748,25.239210508791096,0.3025714041564169,0.22316379886411056,966.5190556674476,853.3649618807164,10.193644822942579,9.170577933697432
398,61,20200402,0,0.0,71.0,0.0,1.0,0.1,0.0,62.0,0.0,33.29768814177152,25.566634841422946,0.30217344158707554,0.22643837802019118,966.9961959774105,869.3236687592649,10.088155938894086,9.694126873732088
413,61,20200403,2,0.0,11.0,0.0,1.0,0.3,0.0,59.2,0.0,32.93622718085779,25.892471460115214,0.3006202723922014,0.22969801065502224,967.1079557716597,885.2135769890473,9.85249849982127,10.218244614779751
428,61,20200404,0,0.0,139.0,0.0,1.0,0.3,0.0,64.6,0.0,32.523721540879734,26.216679285863787,0.29796427206065423,0.23294143069476939,967.2326876206829,901.0285954718785,9.512449853210821,10.74276283569634
443,61,20200405,0,0.0,40.0,1.0,1.0,0.3,0.0,65.9,0.1,32.061184698690106,26.539181638980388,0.29438764050269317,0.23616710895196383,967.7645890100608,916.7612442648976,9.141540366532173,11.267507877867923
458,61,20200406,1,0.0,51.0,0.0,1.0,0.4,0.0,66.6,0.1,31.56166267418732,26.85985785308136,0.2901069614644353,0.2393735649915937,969.1172040292757,932.402737390642,8.811616616145244,11.79227596778989
473,61,20200407,0,0.0,45.0,0.0,1.0,0.4,0.0,67.5,0.1,31.047106585642503,27.178524499900945,0.28544241949839533,0.2425592443235991,971.8979782423381,947.9428122866641,8.586295521714236,12.316798925390115
488,61,20200408,0,0.0,13.0,0.0,1.0,0.4,0.0,54.8,0.1,30.533578774359086,27.494939620159247,0.2809091435617736,0.2457220523025581,976.7494805798141,963.3695351367012,8.518185158681604,12.840772575933157
503,61,20200409,0,0.0,0.0,0.0,1.0,0.4,0.0,47.6,0.1,30.047051818173593,27.808808070612372,0.27706122877907197,0.24885922144366882,984.1673091439029,978.6689252816087,8.638058585878177,13.363880151096296
518,61,20200410,0,0.0,28.0,0.0,1.0,0.4,0.0,47.5,0.1,29.60530438266436,28.119767924036385,0.27433879688654306,0.25196688418852986,994.4734397454582,993.8239970268115,8.948547856649878,13.885799527053898
533,61,20200411,0,0.0,86.0,0.0,1.0,0.3,0.0,48.4,0.1,29.238873943437415,28.427347331312685,0.2727282758111123,0.2550398567955754,1007.7979380040673,1008.8136203275108,9.44239311574593,14.40621382144435
548,61,20200412,0,0.0,22.0,0.0,1.0,0.3,0.0,43.5,0.1,28.985853326122427,28.730878659064135,0.27194237911503805,0.2580712369261735,1024.112013729218,1023.6105392532794,10.10492630918569,14.924823659664124
563,61,20200413,0,0.0,36.0,0.0,1.0,0.1,0.0,46.0,0.1,28.8716417266677,29.029352084282884,0.27194106396820983,0.2610517580548593,1043.139369736267,1038.1785126182453,10.92901712428374,15.44137006694419
578,61,20200414,0,0.0,1.0,0.0,1.0,0.1,0.0,32.2,0.1,28.89676877097996,29.32118557257752,0.27247818501061793,0.26396835802356744,1064.40688392942,1052.4679990741708,11.91697155937198,15.9556619874073
593,61,20200415,0,0.0,8.0,0.0,1.0,0.1,0.0,29.0,0.0,29.0647225368738,29.60385453652444,0.2735922650134708,0.26680102860722266,1087.1025831203408,1066.4093412123882,13.060071579624664,16.46761500867501
608,61,20200416,0,0.0,1.0,0.0,1.0,0.0,0.0,24.0,0.0,29.35629776399222,29.873285500111162,0.27528432849808243,0.269518804699833,1110.454541898592,1079.9028966969836,14.327339433933705,16.977305452030695
623,61,20200417,0,0.0,41.0,0.0,1.0,0.0,0.0,23.6,0.0,29.72502746231019,30.123008906440038,0.2771766883977009,0.27207434582222156,1133.8342684985832,1092.8071849425266,15.69059705452601,17.485035190788484
638,61,20200418,0,0.0,16.0,3.0,1.0,0.0,0.0,23.9,0.3,30.12484379155941,30.343207839662103,0.2792105810961697,0.27439772601705387,1156.6877162789428,1104.9302376066078,17.147670968428926,17.991376226581455
653,61,20200419,0,0.0,19.0,0.0,1.0,0.0,0.0,25.8,0.3,30.50409757738002,30.52032285188373,0.2815941042496878,0.2763943810300495,1178.4172961116317,1116.0407705106343,18.69202925740125,18.496981400207726
668,61,20200420,0,0.0,23.0,2.0,1.0,0.0,0.0,25.3,0.5,30.815904267014165,30.6391770538691,0.2845753242229699,0.27796253702584195,1198.6550341365098,1125.9354248118138,20.28185892986154,19.002136416057304
683,61,20200421,0,0.0,24.0,0.0,1.0,0.0,0.0,19.1,0.5,31.025743084944956,30.61082073572375,0.28850151503419724,0.27809496297841135,1217.0966837643928,1132.4014234039632,21.87332979631437,19.439939176649542
698,61,20200422,0,0.0,19.0,0.0,1.0,0.0,0.0,18.8,0.5,31.127087143435634,30.558112353670193,0.29352357124613027,0.2778931002842493,1233.4589910175414,1138.2016122925556,23.437077384520567,19.860504186675836
