,pruid,date,Class,median_numtoday,median_numdeathstoday,median_numteststoday,median_numrecoveredtoday,std_numtoday,std_numdeathstoday,std_numteststoday,std_numrecoveredtoday,var_numtoday,var_numdeathstoday,var_numteststoday,var_numrecoveredtoday,skew_numtoday,skew_numdeathstoday,skew_numteststoday,skew_numrecoveredtoday,kurt_numtoday,kurt_numdeathstoday,kurt_numteststoday,kurt_numrecoveredtoday
59,47,20200311,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
74,47,20200312,0.0,0.5,0.0,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.5,0.0,0.0,0.0,,,,,,,,
89,47,20200313,0.0,0.0,0.0,0.0,0.0,0.5773502691896258,0.0,0.0,0.0,0.33333333333333337,0.0,0.0,0.0,1.7320507993513716,,,,,,,
104,47,20200314,0.0,0.5,0.0,0.0,0.0,0.5773502691896257,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,,,,-6.0,,,
119,47,20200315,0.0,0.0,0.0,0.0,0.0,0.5477225575051661,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.6085806239775289,,,,-3.33332786990767,,,
134,47,20200316,0.0,0.5,0.0,0.0,0.0,1.5491933384829668,0.0,0.0,0.0,2.4,0.0,0.0,0.0,1.936491673103708,,,,3.9583333333333335,,,
149,47,20200317,0.0,1.0,0.0,0.0,0.0,1.4142135623730951,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.9798989874165707,,,,4.400000023797839,,,
164,47,20200318,0.0,1.0,0.0,0.0,0.0,1.3093073414159542,0.0,67.5286976033153,0.0,1.7142857142857142,0.0,4560.125,0.0,2.036700308869263,,2.82842712474619,,4.9,,8.000000000032202,
179,47,20200319,0.0,1.0,0.0,0.0,0.0,3.8658045015810676,0.0,289.35402191778843,0.0,14.944444444444446,0.0,83725.75,0.0,2.504220909593002,,2.758658819507668,,6.501367154261932,,7.766227820446413,
194,47,20200320,0.0,1.0,0.0,0.0,0.0,3.8355066303046734,0.0,309.91190504543204,0.0,14.711111111111112,0.0,96045.38888888889,0.0,1.9778619750096724,,1.842169585831813,,3.8378180045217625,,2.4024039720882606,
209,47,20200321,0.0,1.0,0.0,0.0,0.0,5.89915248150105,0.0,314.1953069495006,0.0,34.8,0.0,98718.6909090909,0.0,1.7646537733129297,,1.3597857817332637,,2.4367485798195156,,0.5447727237522757,
224,47,20200322,0.0,1.0,0.0,0.0,0.0,5.741924500522187,0.0,349.8715240389439,0.0,32.96969696969697,0.0,122410.08333333331,0.0,1.535660571295003,,0.9629354475182917,,1.7769436632563875,,-0.8456524340863489,
239,47,20200323,0.0,1.0,0.0,0.0,0.0,6.116392434291346,0.0,350.254815666303,0.0,37.410256410256416,0.0,122678.43589743588,0.0,1.102453287912925,,0.6936071054544658,,-0.01601106710192074,,-1.360493057818523,
254,47,20200324,0.0,2.5,0.0,95.5,0.0,5.881615984863904,0.0,357.76968618323207,0.0,34.5934065934066,0.0,127999.14835164834,0.0,1.0908799973498047,,0.458525619198911,,0.15116948557728146,,-1.7350218971555116,
269,47,20200325,0.0,4.0,0.0,191.0,0.0,6.1116594270607845,0.0,347.77383181492837,0.0,37.352380952380955,0.0,120946.63809523809,0.0,0.8082113976388395,,0.3517909822636153,,-0.712544342033429,,-1.7182067358891617,
284,47,20200326,0.0,6.0,0.0,488.0,0.0,5.948189000103509,0.0,338.8797651647192,0.7745966692414833,35.38095238095239,0.0,114839.49523809522,0.5999999999999999,0.6137130841364825,,0.11538773264917468,3.872983345549186,-0.8715309135379488,,-1.7300295489471336,14.99999977169536
299,47,20200327,0.0,6.0,0.0,513.0,0.0,5.792441709018828,0.0,331.18822155269663,0.7745966692414833,33.55238095238096,0.0,109685.63809523809,0.5999999999999999,0.4172521343399149,,-0.17111620165857516,3.872983345549186,-0.9043926633845734,,-1.6568339595389574,14.99999977169536
314,47,20200328,0.0,8.0,0.0,532.0,0.0,8.00773435647122,0.0,318.0780377442587,0.7745966692414833,64.12380952380953,0.0,101173.63809523809,0.5999999999999999,1.31311914331564,,-0.46744951946395674,3.872983345549186,2.2780670836031995,,-1.340552319810492,14.99999977169536
329,47,20200329,0.0,8.0,0.0,583.0,0.0,8.081725416907314,0.0,297.5334795087293,0.7988086367179801,65.31428571428572,0.0,88526.17142857141,0.6380952380952379,1.2731088075664696,,-0.7839547448417391,3.3258483893231876,2.175574636037535,,-0.6899538226462698,11.391178385740869
344,47,20200330,0.0,9.0,0.0,619.0,0.0,11.21775803082306,0.5163977794943222,277.1752067521466,2.6313132697969515,125.83809523809524,0.26666666666666666,76826.09523809522,6.923809523809523,1.6037761236715047,3.8729833462074166,-1.0606957149118048,3.367467259147817,2.612990612117185,15.000000000000009,0.29587442463520774,11.783729358177856
359,47,20200331,0.0,9.0,0.0,619.0,0.0,11.050964189780435,0.5163977794943222,232.6916005196168,3.0425553170226594,122.12380952380954,0.26666666666666666,54145.380952380925,9.257142857142854,1.5981660431801439,3.8729833462074166,-1.3012502145844027,2.2985908274257527,2.7181882707798515,15.000000000000009,1.9963666511710665,4.569044355318279
374,47,20200401,0.0,9.0,0.0,619.0,0.0,10.675740188456658,0.5606119105813882,172.25437999822063,3.585685828003181,113.9714285714286,0.31428571428571433,29671.571428571395,12.857142857142856,1.6849115222434252,2.918888460051856,-0.6872923165399145,1.608961589488607,3.0901029424800126,8.388429752066127,1.4529749010250508,1.0729344728750378
389,47,20200402,0.0,9.0,0.0,619.0,0.0,10.199439760524665,0.5606119105813882,141.02910878187345,3.680062111277083,104.02857142857145,0.31428571428571433,19889.20952380949,13.542857142857141,1.7751493549922719,2.918888460051856,0.34509188424525944,1.2295525086171843,3.4930283491213605,8.388429752066127,-0.7549090724061486,-0.08325835374896484
404,47,20200403,0.0,9.0,0.0,619.0,0.0,10.195704043977589,0.5606119105813882,140.53987741156283,3.680062111277083,103.95238095238096,0.31428571428571433,19751.45714285711,13.542857142857141,1.7320048076671488,2.918888460051856,0.33459376546929886,1.2295525086171843,3.3812815270551426,8.388429752066127,-0.7724019708525597,-0.08325835374896484
419,47,20200404,0.0,11.0,0.0,645.0,0.0,10.019029512929503,0.5606119105813882,141.7424559174977,3.680062111277083,100.3809523809524,0.31428571428571433,20090.923809523778,13.542857142857141,1.741322168316781,2.918888460051856,0.1308191097164679,1.2295525086171843,3.548728879867654,8.388429752066127,-0.9373446028249044,-0.08325835374896484
434,47,20200405,0.0,11.0,0.0,645.0,0.0,10.019029512929503,0.5606119105813882,140.52395152564176,14.012579382554128,100.3809523809524,0.31428571428571433,19746.98095238092,196.352380952381,1.741322168316781,2.918888460051856,0.11117735215167637,3.4541177499311173,3.548728879867654,8.388429752066127,-0.8696336325271247,12.606691984991052
449,47,20200406,0.0,11.0,0.0,645.0,1.0,10.231603700579607,0.5606119105813882,143.9625281933097,14.794786726604555,104.6857142857143,0.31428571428571433,20725.20952380949,218.88571428571433,1.6697631725573472,2.918888460051856,0.16474007280473058,2.7344303011591387,3.2623104463296166,8.388429752066127,-0.8619201144604048,7.931979010201813
464,47,20200407,0.0,9.0,0.0,650.0,1.0,10.361099408478859,0.5606119105813882,143.85071627012684,14.794786726604555,107.35238095238095,0.31428571428571433,20693.02857142854,218.88571428571433,1.744516398379851,2.918888460051856,0.11569606616220779,2.7344303011591387,3.3336402233064413,8.388429752066127,-0.863696055307685,7.931979010201813
479,47,20200408,0.0,11.0,0.0,645.0,1.0,10.201307105791232,0.5606119105813882,143.66289907776655,14.794786726604555,104.06666666666668,0.31428571428571433,20639.02857142854,218.88571428571433,1.7399480895821222,2.918888460051856,0.3733734157343441,2.7344303011591387,3.45285741159596,8.388429752066127,-0.737420274739045,7.931979010201813
494,47,20200409,0.0,9.0,0.0,650.0,1.0,10.324727599312245,0.5606119105813882,153.46418847033047,14.794786726604555,106.60000000000001,0.31428571428571433,23551.257142857114,218.88571428571433,1.8164074498577614,2.918888460051856,0.18968505033004443,2.7344303011591387,3.5475836990892438,8.388429752066127,-0.964119387801886,7.931979010201813
509,47,20200410,0.0,9.0,0.0,665.0,0.0,10.390013520317524,0.5606119105813882,178.14034060925368,14.884315810370902,107.95238095238096,0.31428571428571433,31733.98095238092,221.54285714285717,1.8165008925985113,2.918888460051856,0.3459578190583744,2.7228025494073433,3.496917405074431,8.388429752066127,-0.4066828831300627,7.853536714476972
524,47,20200411,0.0,9.0,0.0,668.0,0.0,10.59424821486146,0.5936168397046637,190.36386211673675,14.884315810370902,112.23809523809526,0.3523809523809524,36238.399999999965,221.54285714285717,1.7807064295390176,2.272968452080367,0.13023207229523026,2.7228025494073433,3.289918932944211,4.784795190200593,-0.9471168810515462,7.853536714476972
539,47,20200412,0.0,9.0,0.0,717.0,0.0,9.414780679234926,0.5936168397046637,191.47505121580517,14.884315810370902,88.63809523809526,0.3523809523809524,36662.695238095206,221.54285714285717,2.507878718037421,2.272968452080367,-0.03880929693472072,2.7228025494073433,7.972607985091585,4.784795190200593,-1.018690130204344,7.853536714476972
554,47,20200413,0.0,9.0,0.0,814.0,0.0,9.261800709416738,0.5936168397046637,192.55433370498676,14.918189600363073,85.7809523809524,0.3523809523809524,37077.1714285714,222.55238095238096,2.6459991708709136,2.272968452080367,-0.21525199281463067,2.7160059019840337,8.444459592655777,4.784795190200593,-1.036243999551613,7.816071602591317
569,47,20200414,0.0,9.0,0.0,717.0,0.0,4.626013402488155,0.3518657752744984,197.310077458468,15.023156728705127,21.400000000000038,0.12380952380952381,38931.26666666664,225.69523809523812,0.289320371863229,2.40476313871033,0.05683133883508023,2.8024326373294697,-0.06096314379726664,4.349112426035505,-1.2345443164554313,8.147602970462376
584,47,20200415,0.0,7.0,0.0,717.0,0.0,4.825527358301301,0.3518657752744984,203.21011879567502,15.127080730549812,23.285714285714327,0.12380952380952381,41294.35238095235,228.82857142857142,0.4268826551284533,2.40476313871033,0.05371536826433725,2.8441848041398528,-0.3397279071992497,4.349112426035505,-1.346186178456138,8.287323316344587
599,47,20200416,0.0,7.0,0.0,717.0,0.0,5.139019732354007,0.2581988897471611,194.38565006805652,15.194923964459784,26.409523809523854,0.06666666666666667,37785.78095238092,230.88571428571427,0.5051536044293611,3.872983346207415,0.019817537860668376,2.936448161937552,-0.5449252934481749,14.999999999999982,-1.1311217172997878,8.680811385023807
614,47,20200417,0.0,7.0,0.0,717.0,0.0,5.077494695315046,0.2581988897471611,174.72282812118925,15.268080616576718,25.780952380952435,0.06666666666666667,30528.06666666664,233.1142857142857,0.8178826365817916,3.872983346207415,0.170826705878069,2.9806312491794733,0.04361606261459245,14.999999999999982,-1.094503450082438,8.856325412317895
