,pruid,date,Class,median_numtoday,median_numdeathstoday,median_numteststoday,median_numrecoveredtoday,std_numtoday,std_numdeathstoday,std_numteststoday,std_numrecoveredtoday,var_numtoday,var_numdeathstoday,var_numteststoday,var_numrecoveredtoday,skew_numtoday,skew_numdeathstoday,skew_numteststoday,skew_numrecoveredtoday,kurt_numtoday,kurt_numdeathstoday,kurt_numteststoday,kurt_numrecoveredtoday
68,62,20200311,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
84,62,20200312,0.0,0.0,0.0,-11.5,0.0,0.0,0.0,16.263455967290593,0.0,0.0,0.0,264.5,0.0,,,,,,,,
99,62,20200313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.279056191361391,0.0,0.0,0.0,176.33333333333331,0.0,,,-1.732050807568885,,,,,
114,62,20200314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.676186592091328,0.0,0.0,0.0,136.33333333333331,0.0,,,-1.99013296258217,,,,3.9683765639851494,
129,62,20200315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.406728592598155,0.0,0.0,0.0,108.29999999999998,0.0,,,-2.226256935795971,,,,4.966173269592815,
144,62,20200316,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.565563234854494,0.0,0.0,0.0,91.49999999999999,0.0,,,-2.4349641214872833,,,,5.94531935859536,
159,62,20200317,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.831760866327846,0.0,0.0,0.0,77.99999999999999,0.0,,,-2.629785993661976,,,,6.936752136752308,
174,62,20200318,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.245128431816138,0.0,0.0,0.0,67.98214285714285,0.0,,,-2.81125319931301,,,,7.928622215764043,
189,62,20200319,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.865183475997944,0.0,0.0,0.0,61.86111111111111,0.0,,,-2.952360988690478,,,,8.795532571166833,
204,62,20200320,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.345990387938123,0.0,0.0,0.0,69.65555555555555,0.0,,,-2.259388561983115,,,,7.030685036200727,
219,62,20200321,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.004544163956327,0.0,0.0,0.0,64.07272727272728,0.0,,,-2.4020951710043708,,,,7.748107754061419,
234,62,20200322,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.63365752917481,0.0,0.0,0.0,58.27272727272727,0.0,,,-2.4933506988845333,,,,8.432905877857783,
249,62,20200323,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.21193627811964,0.0,0.0,0.0,67.43589743589745,0.0,,,-1.8214951465011475,,,,6.355494813099418,
264,62,20200324,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.891085525403382,0.0,0.0,0.0,62.26923076923077,0.0,,,-1.8536017835241445,,,,6.813679961596849,
279,62,20200325,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.613897068612668,0.0,0.0,0.0,57.971428571428575,0.0,,,-1.9398923468153089,,,,7.403783535819304,
294,62,20200326,1.0,0.0,0.0,1.0,0.0,0.0,0.0,9.250482612892615,0.0,0.0,0.0,85.57142857142857,0.0,,,-0.7259121674682731,,,,4.331411262252946,
309,62,20200327,1.0,0.0,0.0,1.0,0.0,0.0,0.0,6.185235877243717,0.0,0.0,0.0,38.25714285714286,0.0,,,2.0966429459998057,,,,3.912137490463656,
324,62,20200328,1.0,0.0,0.0,1.0,0.0,0.0,0.0,6.862597037218351,0.0,0.0,0.0,47.095238095238095,0.0,,,1.4904953841762785,,,,1.0031172798901342,
339,62,20200329,1.0,0.0,0.0,2.0,0.0,0.0,0.0,6.8681459340515305,0.0,0.0,0.0,47.17142857142857,0.0,,,1.2507477716026052,,,,0.422481177233273,
354,62,20200330,1.0,0.0,0.0,2.0,0.0,0.0,0.0,7.33549751615552,0.0,0.0,0.0,53.80952380952381,0.0,,,0.8596540937842145,,,,-0.7694994487857776,
369,62,20200331,1.0,0.0,0.0,2.0,0.0,0.0,0.0,7.391758602531284,0.0,0.0,0.0,54.63809523809524,0.0,,,0.8505114669247982,,,,-0.7901883729742437,
384,62,20200401,1.0,0.0,0.0,2.0,0.0,0.0,0.0,7.33549751615552,0.0,0.0,0.0,53.80952380952381,0.0,,,0.8596540937842145,,,,-0.7694994487857776,
399,62,20200402,1.0,0.0,0.0,2.0,0.0,0.0,0.0,7.33549751615552,0.0,0.0,0.0,53.80952380952381,0.0,,,0.8596540937842145,,,,-0.7694994487857776,
414,62,20200403,1.0,0.0,0.0,3.0,0.0,0.0,0.0,11.05311849983653,0.0,0.0,0.0,122.17142857142858,0.0,,,1.5975632302987575,,,,2.8286027638997884,
429,62,20200404,1.0,0.0,0.0,3.0,0.0,0.0,0.0,12.014673568282285,0.0,0.0,0.0,144.35238095238097,0.0,,,1.2027135641842457,,,,0.8480344827339474,
444,62,20200405,1.0,0.0,0.0,2.0,0.0,0.0,0.0,12.162393248197885,0.0,0.0,0.0,147.92380952380952,0.0,,,1.1867161837469424,,,,0.7666410538521666,
