,pruid,date,numtoday,numdeathstoday,numteststoday,numrecoveredtoday,Class,moving_numtoday,moving_numdeathstoday,moving_numteststoday,moving_numrecoveredtoday,moving_numtoday_loess5%,moving_numtoday_loess15%,moving_numdeathstoday_loess5%,moving_numdeathstoday_loess15%,moving_numteststoday_loess5%,moving_numteststoday_loess15%,moving_numrecoveredtoday_loess5%,moving_numrecoveredtoday_loess15%
69,60,20200311,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.290365122030781,17.71538906648511,0.061706605809290244,0.15011604573692242,238.37595473421845,504.0941866811132,-0.8352527019001648,-1.6044830958021752
82,60,20200312,0,0.0,32.0,0.0,0.0,0.0,0.0,16.0,0.0,7.073327616539983,18.06856501139682,0.07724374951843202,0.15341165674800578,289.97843234790764,519.340019393426,-0.501793498574746,-1.1657842971018966
97,60,20200313,0,0.0,2.0,0.0,0.0,0.0,0.0,11.333333333333334,0.0,9.124313657865443,18.470161212501765,0.0950334837746208,0.15717397983302772,348.71189704223445,536.8159953485685,-0.09954906528144726,-0.6586956920373381
112,60,20200314,0,0.0,1.0,0.0,0.0,0.0,0.0,8.75,0.0,11.164350576160409,18.86552061235773,0.11263219676796757,0.16089404485096317,406.6119342880313,554.1729280782577,0.3215183978210501,-0.15066462022983695
127,60,20200315,0,0.0,12.0,0.0,0.0,0.0,0.0,9.4,0.0,13.189635717387912,19.254796427848504,0.13001133167187987,0.16457335013389351,463.7290023556001,571.4161943075416,0.7612367729550427,0.35828538131870563
142,60,20200316,0,0.0,0.0,0.0,1.0,0.0,0.0,7.833333333333333,0.0,15.197951061570324,19.638195535437767,0.1471701383206032,0.16821394372140766,520.1368333656159,588.5516300584992,1.2190782443067436,0.8681286262613264
157,60,20200317,0,0.0,26.0,0.0,1.0,0.0,0.0,10.428571428571429,0.0,17.18932080932709,20.01597125059891,0.16413561441606006,0.17181819996747957,575.9469380936631,605.5854070521415,1.6939787872817362,1.3788385651525144
172,60,20200318,0,0.0,0.0,0.0,1.0,0.0,0.0,9.125,0.0,19.167023442805096,20.388413188613512,0.18095138256457824,0.17538848055382297,631.3328749703059,622.523901939982,2.184028010138825,1.8903890678275947
187,60,20200319,0,0.0,5.0,0.0,1.0,0.0,0.0,8.666666666666666,0.0,21.139960808540202,20.75583841386247,0.19769656595875967,0.17892715651020957,686.5460831254142,639.3734428004217,2.6862898580141987,2.4027557146330962
202,60,20200320,0,0.0,77.0,0.0,1.0,0.0,0.0,15.5,0.0,23.126821616455214,21.118573287535536,0.21450864467351202,0.18243653704191087,741.8284956184781,656.1399719252408,3.198938401163914,2.915917112824015
217,60,20200321,0,0.0,25.0,0.0,1.0,0.0,0.0,18.0,0.0,25.165833996935405,21.476945662540622,0.23161541100093863,0.1859188603929308,796.7723000627144,672.8290533683944,3.7358378344470085,3.429856259234786
232,60,20200322,0,0.0,0.0,0.0,1.0,0.0,0.0,14.8,0.0,27.04797359624725,21.831282723220784,0.24674392971095874,0.189376328712012,839.2608678714382,689.4459118596008,4.502395506832327,3.9445619765729067
247,60,20200323,2,0.0,5.0,0.0,1.0,0.2,0.0,15.1,0.0,28.707648699295092,22.181912028415923,0.25926956512718147,0.1928110427138876,871.578355201747,705.9951659378913,5.389228755199159,4.460030458715527
262,60,20200324,0,0.0,0.0,0.0,1.0,0.2,0.0,15.0,0.0,30.20123285582504,22.529166831410677,0.26986528192751724,0.19622495106786006,898.0306429205318,722.4806958118068,6.291165737618129,4.9762669706458
277,60,20200325,1,0.0,0.0,0.0,1.0,0.3,0.0,13.8,0.0,31.484139305402678,22.873358064036356,0.27848699667333615,0.19961980355001888,918.7274213367862,738.905710196173,7.170286002809309,5.493287761709745
292,60,20200326,0,0.0,140.0,0.0,1.0,0.3,0.0,27.8,0.0,32.513249129742306,23.214773822158396,0.28527488917765703,0.20299706751694938,934.3534590070321,755.2727463408411,7.984756600581803,6.011120953987383
307,60,20200327,0,0.0,56.0,0.0,1.0,0.3,0.0,30.8,0.0,33.26103392362737,23.55367047111397,0.290587801001241,0.20635801164414183,945.8030461396587,771.5836132026401,8.69694044295422,6.52979186209656
322,60,20200328,1,0.0,66.0,0.0,1.0,0.4,0.0,37.4,0.0,33.72738708466156,23.890274116691135,0.2947785694162156,0.20970362093263026,953.9238008563626,787.8393043345815,9.280344846996233,7.049313019012591
337,60,20200329,0,0.0,53.0,0.0,1.0,0.4,0.0,42.2,0.0,33.945031312301445,24.224785657670484,0.2980410713155875,0.21303464932989707,959.5014584866415,804.0399659842445,9.720434018280967,7.5696826330922
352,60,20200330,1,0.0,39.0,0.0,1.0,0.5,0.0,38.4,0.0,33.968049439718726,24.557381502694984,0.3004048941172429,0.21635179930117873,963.127722899452,820.1847274358878,10.014336638575077,8.090886016028318
367,60,20200331,0,0.0,0.0,0.0,1.0,0.5,0.0,35.9,0.0,33.844337710610894,24.888193287489372,0.3019267249352124,0.21965530870909344,965.2979023237185,836.2718474751911,10.169357010418048,8.612902132021317
382,60,20200401,0,0.0,73.0,3.0,1.0,0.5,0.0,43.2,0.3,33.617128616725296,25.217325841404026,0.30256133358283543,0.2229449838527767,966.4667959574963,852.2987263454069,10.19624963244616,9.135698547398414
397,60,20200402,1,0.0,26.0,0.0,1.0,0.4,0.0,45.3,0.3,33.319651732594515,25.54485576583235,0.3022340725263787,0.22622052659804523,966.9785242247473,868.261835436496,10.099138829303458,9.659204092798769
412,60,20200403,0,0.0,3.0,0.0,1.0,0.4,0.0,45.6,0.3,32.962083952910675,25.87079898990784,0.3007609486133082,0.22948119012189633,967.1040600114455,884.1565051118815,9.872216738915657,10.183289095233485
427,60,20200404,0,0.0,1.0,0.0,1.0,0.3,0.0,45.7,0.3,32.552635625286555,26.19511747664544,0.29817081995182526,0.23272573761401621,967.215118236123,899.9767331570654,9.5369116484568,10.707785937821912
442,60,20200405,0,0.0,42.0,4.0,1.0,0.3,0.0,35.9,0.7,32.09350780111616,26.51773664586475,0.29465114601897036,0.23595264607550878,967.7092635287264,915.7151328242611,9.165792974366639,11.232521589019711
457,60,20200406,1,0.0,8.0,0.0,1.0,0.4,0.0,31.1,0.7,31.59550420492285,26.838539567885114,0.29040840307210974,0.23916042877464078,968.989915887505,931.3630042126417,8.831037657940252,11.75729576858534
472,60,20200407,0,0.0,0.0,0.0,1.0,0.3,0.0,24.5,0.7,31.08164495170698,27.157347144158877,0.28575541675133165,0.24234755076882786,971.6547136992559,946.9101929318904,8.596945430109727,12.28184439300629
487,60,20200408,0,0.0,26.0,0.0,1.0,0.3,0.0,21.8,0.7,30.567209774774906,27.47392094342971,0.28119554417580583,0.24551196137725217,976.3508920966265,962.3448807665245,8.51707492809288,12.805864385509237
502,60,20200409,1,0.0,2.0,0.0,1.0,0.3,0.0,18.1,0.7,30.078248539356874,27.787969530573317,0.2772850597591683,0.24865094445210248,983.5857657850938,977.6532488203682,8.624080001993553,13.329039724351482
517,60,20200410,0,0.0,0.0,0.0,1.0,0.3,0.0,18.1,0.7,29.63288165110421,28.09913643115437,0.27448367677463353,0.25176072194856247,993.6926895557632,992.8185459815402,8.922039475672742,13.851048284783017
532,60,20200411,0,0.0,17.0,0.0,1.0,0.3,0.0,12.5,0.4,29.260179557149595,28.406959150374654,0.27280655599760073,0.2548361982808571,1006.8159609985171,1007.8199653018145,9.4040411163773,14.371572514669282
547,60,20200412,0,0.0,5.0,0.0,1.0,0.2,0.0,10.4,0.4,28.998517986173606,28.710786954277456,0.27197066704174794,0.2578706097220233,1022.9352329723588,1022.6307410654304,10.055748966758363,14.89031130396102
562,60,20200413,0,0.0,19.0,0.0,1.0,0.2,0.0,12.0,0.4,28.87486212025521,29.009638937680684,0.27191974995128215,0.2608548722368031,1041.7952435435639,1037.2153413018086,10.868985132903727,15.407002133916553
577,60,20200414,0,0.0,0.0,0.0,1.0,0.2,0.0,11.9,0.4,28.89073935812812,29.3019805548842,0.2724278792937794,0.26377625996642157,1062.9345183158512,1051.525292695636,11.846068927796576,15.921448419131368
592,60,20200415,0,0.0,0.0,0.0,1.0,0.2,0.0,7.7,0.0,29.04917938058902,29.58536599403908,0.2734956968450772,0.26661534198970194,1085.5625201423709,1065.492550224533,12.979604366178004,16.4335571007762
607,60,20200416,0,0.0,18.0,0.0,1.0,0.1,0.0,8.7,0.0,29.333984907153255,29.855849143083017,0.27516184482998474,0.26934203608123913,1108.890590641893,1079.0198343522902,14.239629146851708,16.943391834182968
622,60,20200417,1,0.0,9.0,0.0,1.0,0.2,0.0,9.6,0.0,29.698902581361406,30.107150154016974,0.2770479358847463,0.27191028817285984,1132.286029319416,1091.9688079098548,15.596966035852956,17.451237490114323
637,60,20200418,0,0.0,8.0,8.0,1.0,0.2,0.0,7.8,0.8,30.09827031485749,30.329700335333108,0.27906579058436287,0.27425183941668996,1155.1929073954716,1104.1508853735347,17.047519347140476,17.95764911450796
652,60,20200419,0,0.0,4.0,0.0,1.0,0.1,0.0,8.0,0.8,30.480457479925704,30.510167673458604,0.281419453031825,0.27627356757606697,1177.0131088469034,1115.336204793381,18.58706909478713,18.46328807896569
667,60,20200420,2,0.0,0.0,0.0,1.0,0.3,0.0,8.0,0.8,30.79800374605509,30.633318541395173,0.28435170556176725,0.277872873119628,1197.3579733759955,1125.3154798472424,20.17549552911253,18.968480169537656
682,60,20200421,0,0.0,0.0,0.0,1.0,0.3,0.0,6.3,0.8,31.01525664460895,30.613764412317796,0.2882035675990671,0.2780993712704064,1215.9305074930937,1131.9981433314435,21.767745170901694,19.41143997079358
697,60,20200422,0,0.0,13.0,0.0,1.0,0.3,0.0,7.1,0.8,31.12343325427062,30.562092400407764,0.2931580304907506,0.2779143455562293,1232.4362293079012,1137.8287985081563,23.334451548437976,19.83287557897524
712,60,20200423,0,0.0,2.0,0.0,1.0,0.3,0.0,5.4,0.8,31.139643775347505,30.496386951690134,0.29902683728513574,0.2774820739990771,1246.737263609005,1143.233117718927,24.838887679826044,20.240987494267532
727,60,20200424,0,0.0,13.0,0.0,0.0,0.3,0.0,6.7,0.8,31.08920333767142,30.4199349359983,0.30541545013600124,0.27681169033216524,1258.6932773916365,1148.276110262282,26.248016976007783,20.635126012628
742,60,20200425,0,0.0,0.0,0.0,0.0,0.3,0.0,6.7,0.8,30.991284836680318,30.336119749668825,0.31191782297434945,0.27591528215799666,1268.1578718851688,1153.0178375943044,27.530618140725082,21.01486832565739
757,60,20200426,0,0.0,15.0,0.0,0.0,0.3,0.0,6.4,0.8,30.856790496201608,30.248487039290353,0.3180055847795544,0.27481590092732733,1274.8933771789157,1157.5088546905831,28.65241877493559,21.38015558585957
772,60,20200427,0,0.0,0.0,0.0,0.0,0.2,0.0,5.5,0.8,30.685827119698477,30.16064641491552,0.3230950771512878,0.27354161470631394,1278.6387590069364,1161.7864768528084,29.596309192929994,21.730988334079424
787,60,20200428,0,0.0,1.0,0.0,0.0,0.2,0.0,4.8,0.0,30.46914516438263,30.07625576928397,0.32668881792793447,0.27211422161266985,1279.1623046335803,1165.8793728362946,30.38133725872842,22.067077421133398
