,pruid,date,numtoday,numdeathstoday,numteststoday,numrecoveredtoday,Class
1,59,2020-01-31,1,0.0,,,
4,59,2020-02-08,3,0.0,,,
7,59,2020-02-16,1,0.0,,,
10,59,2020-02-21,1,0.0,,,
13,59,2020-02-24,0,0.0,,,
16,59,2020-02-25,1,0.0,,,
19,59,2020-02-26,0,0.0,,,
22,59,2020-02-27,0,0.0,,,
25,59,2020-02-29,0,0.0,,,
28,59,2020-03-01,1,0.0,,,
32,59,2020-03-03,4,0.0,,,
36,59,2020-03-05,9,0.0,,,
40,59,2020-03-06,0,0.0,,,
44,59,2020-03-07,6,0.0,,,
48,59,2020-03-08,0,1.0,,,
53,59,2020-03-09,5,0.0,,,
57,59,2020-03-11,7,0.0,,,
72,59,2020-03-12,7,0.0,809.0,,
87,59,2020-03-13,7,0.0,1252.0,,
102,59,2020-03-14,11,0.0,1166.0,,
117,59,2020-03-15,9,0.0,1541.0,,
132,59,2020-03-16,0,3.0,1550.0,,1.0
147,59,2020-03-17,30,3.0,1810.0,,1.0
162,59,2020-03-18,83,0.0,3517.0,,1.0
177,59,2020-03-19,85,1.0,3056.0,,1.0
192,59,2020-03-20,0,1.0,1146.0,,1.0
207,59,2020-03-21,153,1.0,837.0,,1.0
222,59,2020-03-22,0,0.0,1511.0,,1.0
237,59,2020-03-23,48,3.0,1975.0,,1.0
252,59,2020-03-24,145,0.0,2144.0,,1.0
267,59,2020-03-25,42,1.0,1971.0,,1.0
282,59,2020-03-26,66,0.0,1889.0,186.0,1.0
297,59,2020-03-27,0,0.0,2754.0,0.0,1.0
312,59,2020-03-28,159,2.0,2673.0,210.0,1.0
327,59,2020-03-29,0,1.0,2186.0,0.0,1.0
342,59,2020-03-30,76,2.0,1783.0,73.0,1.0
357,59,2020-03-31,10,0.0,1595.0,38.0,1.0
372,59,2020-04-01,96,6.0,1000.0,99.0,1.0
387,59,2020-04-02,55,6.0,1089.0,35.0,1.0
402,59,2020-04-03,53,4.0,1187.0,0.0,0.0
417,59,2020-04-04,29,3.0,1145.0,64.0,0.0
432,59,2020-04-05,0,0.0,1215.0,-1.0,0.0
447,59,2020-04-06,63,1.0,1247.0,79.0,0.0
462,59,2020-04-07,25,4.0,763.0,0.0,0.0
477,59,2020-04-08,45,5.0,792.0,55.0,1.0
492,59,2020-04-09,34,2.0,1124.0,20.0,1.0
507,59,2020-04-10,40,5.0,1203.0,21.0,1.0
522,59,2020-04-11,35,3.0,1190.0,26.0,1.0
537,59,2020-04-12,0,0.0,1540.0,0.0,1.0
552,59,2020-04-13,45,11.0,980.0,21.0,1.0
567,59,2020-04-14,27,3.0,826.0,16.0,1.0
582,59,2020-04-15,44,3.0,821.0,13.0,0.0
597,59,2020-04-16,0,0.0,696.0,0.0,1.0
612,59,2020-04-17,14,2.0,1339.0,0.0,1.0
627,59,2020-04-18,43,1.0,1478.0,11.0,1.0
642,59,2020-04-19,0,0.0,1346.0,0.0,1.0
657,59,2020-04-20,81,8.0,1271.0,73.0,1.0
672,59,2020-04-21,25,1.0,971.0,2.0,1.0
687,59,2020-04-22,71,3.0,1208.0,38.0,1.0
702,59,2020-04-23,29,4.0,1547.0,13.0,0.0
717,59,2020-04-24,29,4.0,1727.0,22.0,0.0
732,59,2020-04-25,95,2.0,2276.0,23.0,0.0
747,59,2020-04-26,0,0.0,2505.0,0.0,0.0
762,59,2020-04-27,50,3.0,2552.0,53.0,0.0
777,59,2020-04-28,55,2.0,2272.0,41.0,0.0
792,59,2020-04-29,34,4.0,2170.0,74.0,0.0
807,59,2020-04-30,25,2.0,2694.0,17.0,0.0
822,59,2020-05-01,33,1.0,2702.0,35.0,0.0
837,59,2020-05-02,26,2.0,2683.0,19.0,0.0
852,59,2020-05-03,0,0.0,2803.0,0.0,0.0
867,59,2020-05-04,53,3.0,2581.0,41.0,0.0
882,59,2020-05-05,8,4.0,2484.0,55.0,0.0
897,59,2020-05-06,23,3.0,1716.0,22.0,0.0
912,59,2020-05-07,33,2.0,1905.0,18.0,0.0
927,59,2020-05-08,27,1.0,2365.0,67.0,0.0
942,59,2020-05-09,15,2.0,2340.0,80.0,0.0
957,59,2020-05-10,0,0.0,2219.0,0.0,0.0
972,59,2020-05-11,23,1.0,1825.0,60.0,0.0
987,59,2020-05-12,7,1.0,1354.0,113.0,0.0
1002,59,2020-05-13,16,1.0,1206.0,27.0,0.0
1017,59,2020-05-14,16,3.0,1735.0,26.0,0.0
1032,59,2020-05-15,15,5.0,2064.0,23.0,0.0
1047,59,2020-05-16,21,1.0,2000.0,24.0,0.0
1062,59,2020-05-17,0,0.0,1967.0,0.0,0.0
1077,59,2020-05-18,16,2.0,1691.0,34.0,0.0
1092,59,2020-05-19,2,3.0,1553.0,9.0,0.0
1107,59,2020-05-20,21,3.0,1151.0,26.0,0.0
1122,59,2020-05-21,12,3.0,1179.0,19.0,0.0
1137,59,2020-05-22,28,3.0,1700.0,22.0,1.0
1152,59,2020-05-23,10,2.0,1958.0,15.0,1.0
1167,59,2020-05-24,0,0.0,1867.0,0.0,1.0
1182,59,2020-05-25,13,4.0,1856.0,45.0,1.0
1197,59,2020-05-26,11,0.0,1597.0,20.0,1.0
1212,59,2020-05-27,9,1.0,1200.0,22.0,1.0
1227,59,2020-05-28,8,2.0,1655.0,9.0,0.0
1242,59,2020-05-29,4,0.0,2063.0,17.0,1.0
1257,59,2020-05-30,11,0.0,2038.0,11.0,1.0
1272,59,2020-05-31,0,0.0,1804.0,0.0,1.0
1287,59,2020-06-01,24,1.0,1900.0,26.0,0.0
1302,59,2020-06-02,4,0.0,1295.0,22.0,0.0
1317,59,2020-06-03,22,1.0,1251.0,14.0,0.0
1332,59,2020-06-04,9,0.0,1604.0,22.0,0.0
1347,59,2020-06-05,0,1.0,1927.0,7.0,0.0
1362,59,2020-06-06,0,0.0,1853.0,0.0,0.0
1377,59,2020-06-07,0,0.0,2046.0,0.0,0.0
1392,59,2020-06-08,27,0.0,1703.0,37.0,0.0
1407,59,2020-06-09,10,0.0,1382.0,10.0,0.0
1422,59,2020-06-10,11,0.0,1059.0,9.0,0.0
1437,59,2020-06-11,14,0.0,1503.0,16.0,0.0
1452,59,2020-06-12,15,1.0,1886.0,10.0,0.0
1467,59,2020-06-13,0,0.0,1917.0,0.0,0.0
1482,59,2020-06-14,0,0.0,1949.0,0.0,0.0
1497,59,2020-06-15,36,0.0,1774.0,41.0,0.0
1512,59,2020-06-16,11,0.0,1256.0,21.0,0.0
1527,59,2020-06-17,19,0.0,943.0,6.0,0.0
1542,59,2020-06-18,8,0.0,1555.0,3.0,0.0
1557,59,2020-06-19,7,0.0,2116.0,19.0,0.0
1572,59,2020-06-20,0,0.0,1852.0,0.0,0.0
1587,59,2020-06-21,0,0.0,2142.0,0.0,0.0
1602,59,2020-06-22,32,1.0,1699.0,27.0,1.0
1617,59,2020-06-23,13,1.0,1369.0,20.0,1.0
1632,59,2020-06-24,14,1.0,1119.0,25.0,1.0
1647,59,2020-06-25,20,2.0,1673.0,1.0,1.0
1662,59,2020-06-26,9,1.0,2271.0,28.0,1.0
1677,59,2020-06-27,0,0.0,2081.0,0.0,1.0
1692,59,2020-06-28,0,0.0,1684.0,0.0,1.0
1707,59,2020-06-29,26,0.0,1752.0,32.0,1.0
1722,59,2020-06-30,12,0.0,1166.0,13.0,1.0
1737,59,2020-07-01,0,0.0,1336.0,0.0,1.0
1752,59,2020-07-02,24,3.0,1706.0,13.0,1.0
1767,59,2020-07-03,7,0.0,1719.0,5.0,1.0
1782,59,2020-07-04,0,0.0,1596.0,0.0,1.0
1797,59,2020-07-05,0,0.0,2060.0,0.0,1.0
1812,59,2020-07-06,31,6.0,2092.0,21.0,1.0
1827,59,2020-07-07,12,0.0,1419.0,16.0,1.0
1842,59,2020-07-08,18,3.0,1347.0,15.0,1.0
1857,59,2020-07-09,20,0.0,1830.0,7.0,1.0
1872,59,2020-07-10,25,1.0,2356.0,12.0,1.0
1887,59,2020-07-11,0,0.0,2559.0,0.0,1.0
1902,59,2020-07-12,0,0.0,2712.0,0.0,1.0
1917,59,2020-07-13,62,2.0,2456.0,39.0,1.0
1932,59,2020-07-14,13,0.0,1963.0,12.0,1.0
1947,59,2020-07-15,21,0.0,1471.0,23.0,1.0
1962,59,2020-07-16,21,0.0,2234.0,36.0,1.0
1977,59,2020-07-17,28,0.0,2662.0,13.0,1.0
1992,59,2020-07-18,0,0.0,3199.0,0.0,1.0
2007,59,2020-07-19,0,0.0,2997.0,0.0,1.0
2022,59,2020-07-20,102,0.0,2493.0,56.0,1.0
2037,59,2020-07-21,28,0.0,2205.0,15.0,1.0
2052,59,2020-07-22,34,0.0,1282.0,15.0,1.0
2067,59,2020-07-23,30,1.0,2895.0,10.0,1.0
2082,59,2020-07-24,27,1.0,3060.0,36.0,1.0
2097,59,2020-07-25,0,0.0,2568.0,0.0,1.0
2112,59,2020-07-26,0,0.0,2797.0,0.0,1.0
2127,59,2020-07-27,81,2.0,2853.0,109.0,1.0
2142,59,2020-07-28,23,1.0,1874.0,33.0,1.0
2157,59,2020-07-29,39,0.0,1677.0,33.0,0.0
2172,59,2020-07-30,29,0.0,2400.0,46.0,0.0
2187,59,2020-07-31,50,1.0,3875.0,13.0,0.0
2202,59,2020-08-01,0,0.0,3035.0,0.0,0.0
2217,59,2020-08-02,0,0.0,2313.0,0.0,0.0
2232,59,2020-08-03,0,0.0,2032.0,0.0,0.0
2247,59,2020-08-04,146,0.0,1868.0,105.0,0.0
2262,59,2020-08-05,47,0.0,1294.0,15.0,0.0
2277,59,2020-08-06,47,0.0,1751.0,27.0,0.0
2292,59,2020-08-07,53,0.0,2661.0,38.0,0.0
2307,59,2020-08-08,0,0.0,3147.0,0.0,0.0
2322,59,2020-08-09,0,0.0,2948.0,0.0,0.0
2337,59,2020-08-10,131,0.0,2785.0,72.0,0.0
2352,59,2020-08-11,46,0.0,2786.0,19.0,0.0
2367,59,2020-08-12,85,1.0,1898.0,25.0,0.0
2382,59,2020-08-13,78,0.0,3015.0,31.0,0.0
2397,59,2020-08-14,84,0.0,3664.0,33.0,0.0
2412,59,2020-08-15,0,0.0,3594.0,0.0,0.0
2427,59,2020-08-16,0,0.0,4089.0,0.0,0.0
2442,59,2020-08-17,236,2.0,3859.0,120.0,0.0
2457,59,2020-08-18,83,0.0,2762.0,51.0,0.0
2472,59,2020-08-19,68,0.0,2609.0,45.0,0.0
2487,59,2020-08-20,80,2.0,3361.0,96.0,0.0
2502,59,2020-08-21,90,2.0,4157.0,44.0,0.0
2517,59,2020-08-22,0,0.0,4432.0,0.0,0.0
2532,59,2020-08-23,0,0.0,3899.0,0.0,0.0
2547,59,2020-08-24,269,1.0,5006.0,179.0,0.0
2562,59,2020-08-25,58,0.0,2901.0,46.0,0.0
2577,59,2020-08-26,62,0.0,1914.0,85.0,0.0
2592,59,2020-08-27,68,1.0,4355.0,54.0,0.0
2607,59,2020-08-28,124,0.0,4439.0,57.0,0.0
2622,59,2020-08-29,0,0.0,5430.0,0.0,0.0
2637,59,2020-08-30,0,0.0,5479.0,0.0,0.0
2652,59,2020-08-31,294,4.0,4737.0,156.0,0.0
