,pruid,date,numtoday,numdeathstoday,numteststoday,numrecoveredtoday,moving_numtoday,moving_numdeathstoday,moving_numteststoday,moving_numrecoveredtoday
66,11,20200311,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,11,20200312,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,11,20200313,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,11,20200314,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,11,20200315,1,0.0,0.0,0.0,0.2,0.0,0.0,0.0
141,11,20200316,0,0.0,42.0,0.0,0.16666666666666666,0.0,7.0,0.0
156,11,20200317,0,0.0,0.0,0.0,0.14285714285714285,0.0,6.0,0.0
171,11,20200318,0,0.0,0.0,0.0,0.125,0.0,5.25,0.0
186,11,20200319,1,0.0,0.0,0.0,0.2222222222222222,0.0,4.666666666666667,0.0
201,11,20200320,0,0.0,0.0,0.0,0.2,0.0,4.2,0.0
216,11,20200321,0,0.0,0.0,0.0,0.2,0.0,4.2,0.0
231,11,20200322,1,0.0,0.0,0.0,0.3,0.0,4.2,0.0
246,11,20200323,0,0.0,0.0,0.0,0.3,0.0,4.2,0.0
261,11,20200324,0,0.0,0.0,0.0,0.3,0.0,4.2,0.0
276,11,20200325,2,0.0,0.0,0.0,0.4,0.0,4.2,0.0
291,11,20200326,4,0.0,200.0,1.0,0.8,0.0,20.0,0.1
306,11,20200327,2,0.0,0.0,0.0,1.0,0.0,20.0,0.1
321,11,20200328,0,0.0,147.0,0.0,1.0,0.0,34.7,0.1
336,11,20200329,0,0.0,69.0,0.0,0.9,0.0,41.6,0.1
351,11,20200330,7,0.0,0.0,0.0,1.6,0.0,41.6,0.1
366,11,20200331,3,0.0,55.0,0.0,1.9,0.0,47.1,0.1
381,11,20200401,0,0.0,0.0,2.0,1.8,0.0,47.1,0.3
396,11,20200402,1,0.0,74.0,0.0,1.9,0.0,54.5,0.3
411,11,20200403,0,0.0,0.0,0.0,1.9,0.0,54.5,0.3
426,11,20200404,0,0.0,102.0,0.0,1.7,0.0,64.7,0.3
441,11,20200405,0,0.0,0.0,6.0,1.3,0.0,44.7,0.8
456,11,20200406,0,0.0,186.0,2.0,1.1,0.0,63.3,1.0
471,11,20200407,0,0.0,0.0,0.0,1.1,0.0,48.6,1.0
486,11,20200408,2,0.0,13.0,0.0,1.3,0.0,43.0,1.0
501,11,20200409,1,0.0,100.0,0.0,0.7,0.0,53.0,1.0
516,11,20200410,0,0.0,408.0,0.0,0.4,0.0,88.3,1.0
531,11,20200411,0,0.0,88.0,0.0,0.4,0.0,97.1,0.8
546,11,20200412,0,0.0,68.0,0.0,0.3,0.0,96.5,0.8
561,11,20200413,0,0.0,70.0,0.0,0.3,0.0,103.5,0.8
576,11,20200414,0,0.0,72.0,0.0,0.3,0.0,100.5,0.8
591,11,20200415,1,0.0,70.0,0.0,0.4,0.0,107.5,0.2
606,11,20200416,0,0.0,35.0,0.0,0.4,0.0,92.4,0.0
621,11,20200417,0,0.0,113.0,0.0,0.4,0.0,103.7,0.0
636,11,20200418,0,0.0,83.0,23.0,0.2,0.0,110.7,2.3
651,11,20200419,0,0.0,67.0,0.0,0.1,0.0,107.4,2.3
666,11,20200420,0,0.0,73.0,0.0,0.1,0.0,73.9,2.3
681,11,20200421,0,0.0,153.0,0.0,0.1,0.0,80.4,2.3
696,11,20200422,0,0.0,28.0,1.0,0.1,0.0,76.4,2.4
711,11,20200423,0,0.0,63.0,0.0,0.1,0.0,75.7,2.4
726,11,20200424,0,0.0,14.0,0.0,0.1,0.0,69.9,2.4
741,11,20200425,0,0.0,122.0,0.0,0.0,0.0,75.1,2.4
756,11,20200426,0,0.0,168.0,0.0,0.0,0.0,88.4,2.4
771,11,20200427,0,0.0,54.0,0.0,0.0,0.0,82.5,2.4
786,11,20200428,1,0.0,38.0,0.0,0.1,0.0,78.0,0.1
801,11,20200429,0,0.0,69.0,0.0,0.1,0.0,78.2,0.1
816,11,20200430,0,0.0,31.0,0.0,0.1,0.0,74.0,0.1
831,11,20200501,0,0.0,84.0,0.0,0.1,0.0,67.1,0.1
846,11,20200502,0,0.0,112.0,0.0,0.1,0.0,75.5,0.0
861,11,20200503,0,0.0,97.0,0.0,0.1,0.0,78.9,0.0
876,11,20200504,0,0.0,67.0,1.0,0.1,0.0,84.2,0.1
891,11,20200505,0,0.0,52.0,0.0,0.1,0.0,77.2,0.1
906,11,20200506,0,0.0,57.0,1.0,0.1,0.0,66.1,0.2
921,11,20200507,0,0.0,146.0,0.0,0.1,0.0,75.3,0.2
936,11,20200508,0,0.0,113.0,1.0,0.0,0.0,82.8,0.3
951,11,20200509,0,0.0,96.0,0.0,0.0,0.0,85.5,0.3
966,11,20200510,0,0.0,117.0,0.0,0.0,0.0,94.1,0.3
981,11,20200511,0,0.0,110.0,0.0,0.0,0.0,96.7,0.3
996,11,20200512,0,0.0,69.0,0.0,0.0,0.0,92.4,0.3
1011,11,20200513,0,0.0,64.0,0.0,0.0,0.0,89.1,0.3
1026,11,20200514,0,0.0,119.0,0.0,0.0,0.0,94.3,0.2
1041,11,20200515,0,0.0,170.0,0.0,0.0,0.0,106.1,0.2
1056,11,20200516,0,0.0,107.0,0.0,0.0,0.0,111.1,0.1
1071,11,20200517,0,0.0,163.0,0.0,0.0,0.0,112.8,0.1
1086,11,20200518,0,0.0,150.0,0.0,0.0,0.0,116.5,0.0
1101,11,20200519,0,0.0,70.0,0.0,0.0,0.0,113.9,0.0
1116,11,20200520,0,0.0,72.0,0.0,0.0,0.0,109.4,0.0
1131,11,20200521,0,0.0,82.0,0.0,0.0,0.0,106.6,0.0
1146,11,20200522,0,0.0,190.0,0.0,0.0,0.0,118.7,0.0
1161,11,20200523,0,0.0,115.0,0.0,0.0,0.0,123.8,0.0
1176,11,20200524,0,0.0,135.0,0.0,0.0,0.0,125.4,0.0
1191,11,20200525,0,0.0,179.0,0.0,0.0,0.0,126.3,0.0
1206,11,20200526,0,0.0,102.0,0.0,0.0,0.0,125.8,0.0
1221,11,20200527,0,0.0,71.0,0.0,0.0,0.0,116.6,0.0
1236,11,20200528,0,0.0,78.0,0.0,0.0,0.0,109.4,0.0
1251,11,20200529,0,0.0,127.0,0.0,0.0,0.0,115.1,0.0
1266,11,20200530,0,0.0,152.0,0.0,0.0,0.0,123.1,0.0
1281,11,20200531,0,0.0,279.0,0.0,0.0,0.0,142.8,0.0
1296,11,20200601,0,0.0,134.0,0.0,0.0,0.0,137.2,0.0
1311,11,20200602,0,0.0,136.0,0.0,0.0,0.0,139.3,0.0
1326,11,20200603,0,0.0,93.0,0.0,0.0,0.0,135.1,0.0
1341,11,20200604,0,0.0,114.0,0.0,0.0,0.0,128.6,0.0
1356,11,20200605,0,0.0,131.0,0.0,0.0,0.0,131.5,0.0
1371,11,20200606,0,0.0,149.0,0.0,0.0,0.0,139.3,0.0
1386,11,20200607,0,0.0,186.0,0.0,0.0,0.0,150.1,0.0
1401,11,20200608,0,0.0,86.0,0.0,0.0,0.0,146.0,0.0
1416,11,20200609,0,0.0,247.0,0.0,0.0,0.0,155.5,0.0
1431,11,20200610,0,0.0,50.0,0.0,0.0,0.0,132.6,0.0
1446,11,20200611,0,0.0,240.0,0.0,0.0,0.0,143.2,0.0
1461,11,20200612,0,0.0,145.0,0.0,0.0,0.0,144.1,0.0
1476,11,20200613,0,0.0,231.0,0.0,0.0,0.0,157.9,0.0
1491,11,20200614,0,0.0,131.0,0.0,0.0,0.0,159.6,0.0
1506,11,20200615,0,0.0,266.0,0.0,0.0,0.0,173.1,0.0
1521,11,20200616,0,0.0,118.0,0.0,0.0,0.0,170.0,0.0
1536,11,20200617,0,0.0,125.0,0.0,0.0,0.0,163.9,0.0
1551,11,20200618,0,0.0,166.0,0.0,0.0,0.0,171.9,0.0
1566,11,20200619,0,0.0,247.0,0.0,0.0,0.0,171.9,0.0
1581,11,20200620,0,0.0,123.0,0.0,0.0,0.0,179.2,0.0
1596,11,20200621,0,0.0,204.0,0.0,0.0,0.0,175.6,0.0
1611,11,20200622,0,0.0,157.0,0.0,0.0,0.0,176.8,0.0
1626,11,20200623,0,0.0,163.0,0.0,0.0,0.0,170.0,0.0
1641,11,20200624,0,0.0,99.0,0.0,0.0,0.0,166.8,0.0
1656,11,20200625,0,0.0,117.0,0.0,0.0,0.0,151.9,0.0
1671,11,20200626,0,0.0,151.0,0.0,0.0,0.0,155.2,0.0
1686,11,20200627,0,0.0,118.0,0.0,0.0,0.0,154.5,0.0
1701,11,20200628,0,0.0,287.0,0.0,0.0,0.0,166.6,0.0
1716,11,20200629,0,0.0,469.0,0.0,0.0,0.0,188.8,0.0
1731,11,20200630,0,0.0,110.0,0.0,0.0,0.0,187.5,0.0
1746,11,20200701,0,0.0,151.0,0.0,0.0,0.0,182.2,0.0
1761,11,20200702,0,0.0,107.0,0.0,0.0,0.0,177.2,0.0
1776,11,20200703,0,0.0,323.0,0.0,0.0,0.0,193.2,0.0
1791,11,20200704,3,0.0,115.0,0.0,0.3,0.0,194.8,0.0
1806,11,20200705,2,0.0,187.0,0.0,0.5,0.0,201.8,0.0
1821,11,20200706,0,0.0,324.0,0.0,0.5,0.0,219.1,0.0
1836,11,20200707,0,0.0,306.0,0.0,0.5,0.0,237.9,0.0
1851,11,20200708,0,0.0,245.0,0.0,0.5,0.0,233.7,0.0
1866,11,20200709,1,0.0,173.0,0.0,0.6,0.0,204.1,0.0
1881,11,20200710,0,0.0,300.0,0.0,0.6,0.0,223.1,0.0
1896,11,20200711,0,0.0,273.0,0.0,0.6,0.0,235.3,0.0
1911,11,20200712,1,0.0,207.0,0.0,0.7,0.0,245.3,0.0
1926,11,20200713,1,0.0,459.0,0.0,0.8,0.0,258.9,0.0
1941,11,20200714,1,0.0,191.0,0.0,0.6,0.0,266.5,0.0
1956,11,20200715,0,0.0,89.0,0.0,0.4,0.0,256.7,0.0
1971,11,20200716,0,0.0,506.0,0.0,0.4,0.0,274.9,0.0
1986,11,20200717,0,0.0,731.0,2.0,0.4,0.0,317.4,0.2
2001,11,20200718,0,0.0,340.0,0.0,0.4,0.0,326.9,0.2
2016,11,20200719,0,0.0,401.0,0.0,0.3,0.0,349.7,0.2
2031,11,20200720,0,0.0,299.0,2.0,0.3,0.0,349.6,0.4
2046,11,20200721,0,0.0,195.0,2.0,0.3,0.0,341.8,0.6
2061,11,20200722,0,0.0,151.0,1.0,0.2,0.0,336.2,0.7
2076,11,20200723,0,0.0,258.0,0.0,0.1,0.0,316.1,0.7
2091,11,20200724,0,0.0,130.0,0.0,0.0,0.0,310.0,0.7
2106,11,20200725,0,0.0,416.0,0.0,0.0,0.0,342.7,0.7
2121,11,20200726,0,0.0,238.0,0.0,0.0,0.0,315.9,0.7
2136,11,20200727,0,0.0,241.0,0.0,0.0,0.0,266.9,0.5
2151,11,20200728,0,0.0,154.0,2.0,0.0,0.0,248.3,0.7
2166,11,20200729,0,0.0,83.0,0.0,0.0,0.0,216.5,0.7
2181,11,20200730,0,0.0,141.0,0.0,0.0,0.0,200.7,0.5
2196,11,20200731,0,0.0,349.0,0.0,0.0,0.0,216.1,0.3
2211,11,20200801,0,0.0,228.0,0.0,0.0,0.0,223.8,0.2
2226,11,20200802,0,0.0,171.0,0.0,0.0,0.0,215.1,0.2
2241,11,20200803,0,0.0,186.0,0.0,0.0,0.0,220.7,0.2
2256,11,20200804,0,0.0,256.0,0.0,0.0,0.0,204.7,0.2
2271,11,20200805,0,0.0,98.0,0.0,0.0,0.0,190.7,0.2
2286,11,20200806,0,0.0,160.0,0.0,0.0,0.0,182.6,0.2
2301,11,20200807,0,0.0,311.0,0.0,0.0,0.0,198.3,0.0
2316,11,20200808,0,0.0,177.0,0.0,0.0,0.0,207.7,0.0
2331,11,20200809,0,0.0,204.0,0.0,0.0,0.0,214.0,0.0
2346,11,20200810,0,0.0,223.0,0.0,0.0,0.0,201.4,0.0
2361,11,20200811,0,0.0,358.0,0.0,0.0,0.0,214.4,0.0
2376,11,20200812,5,0.0,189.0,0.0,0.5,0.0,216.2,0.0
2391,11,20200813,0,0.0,117.0,0.0,0.5,0.0,209.3,0.0
2406,11,20200814,0,0.0,459.0,0.0,0.5,0.0,229.6,0.0
2421,11,20200815,0,0.0,264.0,0.0,0.5,0.0,246.2,0.0
2436,11,20200816,0,0.0,296.0,0.0,0.5,0.0,259.8,0.0
2451,11,20200817,0,0.0,372.0,0.0,0.5,0.0,265.9,0.0
2466,11,20200818,3,0.0,146.0,4.0,0.8,0.0,262.8,0.4
2481,11,20200819,0,0.0,124.0,0.0,0.8,0.0,254.8,0.4
2496,11,20200820,0,0.0,281.0,0.0,0.8,0.0,260.6,0.4
2511,11,20200821,0,0.0,436.0,0.0,0.8,0.0,268.4,0.4
2526,11,20200822,0,0.0,311.0,0.0,0.3,0.0,280.6,0.4
2541,11,20200823,0,0.0,479.0,0.0,0.3,0.0,316.8,0.4
2556,11,20200824,0,0.0,321.0,0.0,0.3,0.0,303.0,0.4
