,pruid,date,numtoday,numdeathstoday,numteststoday,numrecoveredtoday,Class,moving_numtoday,moving_numdeathstoday,moving_numteststoday,moving_numrecoveredtoday,moving_numtoday_loess5%,moving_numtoday_loess15%,moving_numdeathstoday_loess5%,moving_numdeathstoday_loess15%,moving_numteststoday_loess5%,moving_numteststoday_loess15%,moving_numrecoveredtoday_loess5%,moving_numrecoveredtoday_loess15%
64,10,20200311,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.603922031812924,17.578274925544537,0.05570902436000384,0.14883978302334014,218.35323357587987,498.2050820075881,-0.9598029426909501,-1.7730186047899186
78,10,20200312,0,0.0,21.0,0.0,0.0,0.0,0.0,10.5,0.0,6.5251099235151555,17.960405086100916,0.07247312738416824,0.1524010998205389,274.1708529708887,514.6590304859084,-0.6058869229155972,-1.3008460889064097
93,10,20200313,0,0.0,51.0,0.0,0.0,0.0,0.0,24.0,0.0,8.578276060116186,18.36368382361739,0.09030657895178322,0.1561748744639921,333.13280536285885,532.1675841464508,-0.20865504390293807,-0.7940123739889658
108,10,20200314,0,0.0,96.0,0.0,1.0,0.0,0.0,42.0,0.0,10.621647291885006,18.76069356792287,0.10795989856715879,0.1599060847601363,391.250943321083,549.555758646613,0.20739756048260224,-0.2862304442490883
123,10,20200315,1,0.0,109.0,0.0,1.0,0.2,0.0,55.4,0.0,12.651163062994463,19.151573620969472,0.12539901337773798,0.1635960810762039,448.57073055171907,566.8287817807359,0.6421770577021281,0.22247695527919212
138,10,20200316,0,0.0,101.0,0.0,1.0,0.16666666666666666,0.0,63.0,0.0,14.664103600660868,19.536516781976236,0.1426149046888305,0.16724677246056863,505.15869473207664,583.9923804715784,1.0952630803085772,0.7320845852281072
153,10,20200317,0,0.0,49.0,0.0,1.0,0.14285714285714285,0.0,61.0,0.0,16.65983854051134,19.915765145558968,0.15962825506635905,0.17086048330229447,561.1143454935997,601.0526490712967,1.5657598141273856,1.2425660009667663
168,10,20200318,2,0.0,144.0,0.0,1.0,0.375,0.0,71.375,0.0,18.64060558910225,20.28959934290495,0.1764782945494696,0.17443959461127898,616.5919071064901,618.0159250362963,2.0520174541862954,1.7538948348927623
183,10,20200319,0,0.0,229.0,0.0,1.0,0.3333333333333333,0.0,88.88888888888889,0.0,20.613487838138035,20.658330366720147,0.1932315217572155,0.1779864664457502,671.8231755991146,634.8885848417658,2.551342128501675,2.266046083874836
198,10,20200320,1,0.0,282.0,0.0,1.0,0.4,0.0,108.2,0.0,22.5939570726449,21.02228422931371,0.21000814267132428,0.18150344160844367,727.0767622650831,651.6766948335869,3.0610169211845637,2.778997417096421
213,10,20200321,2,0.0,213.0,0.0,1.0,0.6,0.0,129.5,0.0,24.613873014591885,21.381787540348746,0.22700817383055027,0.18499275738084228,782.2566074019547,668.3859007168875,3.5878547384542374,3.2927305239997597
228,10,20200322,3,0.0,246.0,0.0,1.0,0.9,0.0,152.0,0.0,26.58204292737026,21.737169196778325,0.24310061464585175,0.188456648482439,829.6852907710613,685.0215361405108,4.271357716563867,3.8072325278546004
243,10,20200323,15,0.0,144.0,0.0,1.0,2.4,0.0,161.3,0.0,28.27976124408553,22.088754248741797,0.25611666717029785,0.19189722967337183,863.5273480617113,701.5884086943164,5.149992633196129,4.322497497993433
258,10,20200324,11,0.0,189.0,0.0,1.0,3.5,0.0,170.6,0.0,29.821663741422636,22.436877353818932,0.26723257796628935,0.19531650674611725,891.5559547093256,718.0905918525893,6.051173110473273,4.838528103367611
273,10,20200325,32,0.0,215.0,0.0,1.0,6.6,0.0,181.2,0.0,31.165320940518995,22.781856462495803,0.2763818057899689,0.19871628349152068,913.7436837811439,734.5314661176283,6.940484341487575,5.355337462316542
288,10,20200326,15,0.0,178.0,0.0,1.0,8.1,0.0,188.9,0.0,32.265625854743156,23.123985735710136,0.2836226889245498,0.2020981078463186,930.6315053595488,750.9137561297958,7.776155178093542,5.87295098880172
303,10,20200327,20,0.0,260.0,0.0,1.0,10.1,0.0,210.0,0.0,33.089881194072504,23.463530978623947,0.2892976789390212,0.2054632932627858,943.1114503976755,767.2394674052942,8.518787090195552,6.391396811749171
318,10,20200328,18,0.0,251.0,4.0,1.0,11.7,0.0,220.7,0.4,33.62942483328593,23.800725625834076,0.29375483964303395,0.20881291267222143,952.0372384896241,783.5098235908938,9.138364843459268,6.910690718239156
333,10,20200329,15,0.0,316.0,0.0,1.0,13.2,0.0,229.4,0.4,33.90833758657273,24.135776283330333,0.297261846683013,0.21214776073868286,958.2260134277597,799.7251968028977,9.617488435456389,7.430835149945942
348,10,20200330,13,1.0,233.0,3.0,1.0,14.4,0.1,224.5,0.7,33.978129771420775,24.468868280644532,0.2998576046852808,0.2154685521533778,962.322913307097,815.885008624632,9.949964507066722,7.951817991443531
363,10,20200331,4,0.0,289.0,0.0,1.0,14.6,0.1,232.1,0.7,33.8893531327635,24.80014504003521,0.3016062612097966,0.21877571907454596,964.8349337208465,831.98771158042,10.140968445665417,8.473619806077204
378,10,20200401,23,0.0,190.0,3.0,1.0,16.6,0.1,226.5,1.0,33.68553479227174,25.129715935805734,0.30248036380926674,0.22206909803434097,966.2294602198604,848.0309635901682,10.201173728009135,8.996212912070604
393,10,20200402,8,0.0,297.0,0.0,1.0,15.9,0.1,241.8,1.0,33.40494467567901,25.457669045229608,0.302425912320395,0.22534846341715192,966.8911775507246,864.0114784940894,10.137313702184569,9.519539330385692
408,10,20200403,0,0.0,132.0,0.0,1.0,14.8,0.1,236.1,1.0,33.06320718880864,25.78403711795963,0.30127157095868057,0.22861319610731615,967.0888493477654,879.92493137928,9.945715516567875,10.04348582286878
423,10,20200404,12,0.0,317.0,0.0,1.0,12.8,0.1,246.3,1.0,32.66617970796722,26.10879503198325,0.2989552973815265,0.23186218504840658,967.1638684824791,895.7656736349595,9.632957197944913,10.56788950397663
438,10,20200405,22,0.0,253.0,11.0,1.0,13.5,0.1,253.8,2.1,32.22102214198338,26.431876484535454,0.2956734294155489,0.23509394796435892,967.5231721392136,911.5266944859,9.264219102203512,11.092579027733992
453,10,20200406,9,1.0,268.0,21.0,1.0,12.4,0.2,254.6,4.2,31.730374903315074,26.753178493911296,0.291594815782969,0.2383069713884973,968.5429208458428,927.1996330367283,8.913003515471855,11.61736593076021
468,10,20200407,2,0.0,217.0,0.0,1.0,10.8,0.2,251.2,3.8,31.21984133737344,27.072539330077067,0.28701058722205686,0.24149977463921965,970.7738266210525,942.774757230428,8.64629934165808,12.142003717692994
483,10,20200408,4,0.0,188.0,0.0,1.0,9.7,0.2,238.4,3.8,30.703056323697105,27.389735085812934,0.28236954098979145,0.24467047912690204,974.8714608789443,958.2407005782691,8.520981054051683,12.666195046076796
498,10,20200409,4,1.0,283.0,0.0,1.0,8.8,0.2,243.4,3.5,30.205143763364998,27.704488741016824,0.2782337827934935,0.24781655573094133,981.3897691014445,973.5842497388712,8.57668144143629,13.189627093079181
513,10,20200410,3,0.0,228.0,0.0,1.0,8.7,0.2,237.3,3.5,29.746501659245546,28.01646390298518,0.2751161295825242,0.25093456936749664,990.7074160888645,988.7895442032541,8.824253396184682,13.71197820979581
528,10,20200411,2,0.0,179.0,0.0,1.0,6.6,0.2,236.2,3.2,29.350418500356774,28.325232125341216,0.27315729918738674,0.25401976828513667,1003.0253488636642,1003.8369883159122,9.2582112283651,14.23292865213283
543,10,20200412,1,0.0,370.0,0.0,1.0,5.9,0.2,243.5,3.2,29.055604247337172,28.63020426789404,0.2721219625701405,0.2570659133052468,1018.3554997004027,1018.7016569440794,9.866178634517837,14.752171332596946
558,10,20200413,2,0.0,127.0,0.0,1.0,6.1,0.2,243.0,3.2,28.894186690771875,28.930505484676278,0.27186081552717534,0.2600646014908663,1036.5267022970968,1033.3506792087865,10.636228831019684,15.269430743145291
573,10,20200414,0,0.0,161.0,0.0,1.0,4.9,0.2,227.4,3.2,28.873190234577038,29.224776303291005,0.2722520289155092,0.2630043134409543,1057.1170421071324,1047.7395695829368,11.569650479830035,15.78448979085408
588,10,20200415,3,0.0,61.0,0.0,1.0,3.0,0.2,208.2,2.1,28.993110364076205,29.510860742151316,0.27314189673367517,0.2658677620960969,1079.438223754035,1061.8063119449,12.663524319781061,16.29722315913263
603,10,20200416,5,0.0,285.0,0.0,1.0,2.6,0.1,209.9,0.0,29.248602592938,29.785285380117287,0.2746836754363387,0.2686281613509466,1102.6425821316564,1075.462539670975,13.89322230999539,16.80764675268594
618,10,20200417,4,0.0,186.0,0.0,1.0,2.8,0.1,206.8,0.0,29.596308739312718,30.042485066122154,0.2765380903233403,0.27124431476152144,1126.077280112478,1088.5820143517851,15.226576573601553,17.315980057728684
633,10,20200418,0,0.0,303.0,189.0,1.0,2.4,0.1,218.3,18.9,29.99151818650867,30.273854118661177,0.27850252583791263,0.2736544448203397,1149.1697879154895,1100.9898731697904,16.65114324484291,17.822705816350116
648,10,20200419,0,0.0,403.0,2.0,1.0,2.0,0.0,230.3,19.1,30.383269491124985,30.467029370759178,0.28074717831219437,0.2757716968202402,1171.334480660704,1112.4642477418765,18.169701665217254,18.328497815257823
663,10,20200420,0,0.0,379.0,0.0,1.0,1.7,0.0,245.4,19.1,30.72209226862314,30.606850002585617,0.28349768559304656,0.2774925371666486,1192.094896807981,1122.779223593522,19.750292304316776,18.833816045389874
678,10,20200421,0,0.0,256.0,3.0,1.0,1.5,0.0,253.1,19.4,30.968481990608925,30.624761387062822,0.2870652834442823,0.27810540992815674,1211.1755498913499,1130.3629278869528,21.344497755509142,19.296872791149674
693,10,20200422,0,0.0,100.0,5.0,1.0,1.4,0.0,226.1,19.9,31.104719704509755,30.57737616224122,0.291739022246946,0.27798831553732706,1228.2487662592328,1136.318334645129,22.921314881695697,19.72177045928127
708,10,20200423,0,0.0,409.0,6.0,1.0,1.2,0.0,254.3,20.5,31.142951956690165,30.515093208442778,0.29738874345857425,0.27762094885609906,1243.14700073604,1141.829906947475,24.445916892762803,20.13349625820885
723,10,20200424,0,0.0,243.0,2.0,1.0,1.2,0.0,262.5,20.7,31.10814662714278,30.441184475847706,0.3036891063835967,0.2770132836845319,1255.7462938970693,1146.963095646135,25.883421740611716,20.531418751412012
738,10,20200425,1,0.0,404.0,1.0,1.0,1.0,0.0,296.8,20.8,31.021337255056768,30.358989313017315,0.3101944679434467,0.2761752656250113,1265.8908136828572,1151.779719955064,27.203064183623265,20.91501702879841
753,10,20200426,1,0.0,289.0,11.0,1.0,0.6,0.0,297.2,21.9,30.896200587298882,30.27202728982279,0.31646068907780084,0.2751273085611335,1273.3834028187903,1156.3334095144069,28.37068701553285,21.28415510757903
768,10,20200427,0,0.0,266.0,2.0,1.0,0.2,0.0,305.2,22.1,30.735591504590506,30.183880759634736,0.3218615984190443,0.2738970862555577,1277.9486759522433,1160.6648791189725,29.361880015379448,21.638856690388636
783,10,20200428,0,0.0,322.0,1.0,1.0,0.2,0.0,307.1,3.3,30.532127544506587,30.098223551338833,0.32590979041102125,0.2725090185684371,1279.3534210676062,1164.8045608894233,30.185076603966383,21.97892226682933
798,10,20200429,0,0.0,426.0,3.0,1.0,0.2,0.0,309.4,3.4,30.275555771033456,30.018544178159342,0.3280928940324144,0.27097753457471807,1277.4185057957793,1168.777267458702,30.880841792970525,22.303885076519215
813,10,20200430,0,0.0,481.0,0.0,1.0,0.2,0.0,319.6,3.4,29.954739191070747,29.9479283650208,0.328389217821722,0.26930998333999745,1272.2500815751223,1172.604071562403,31.48763448238177,22.613282716270316
828,10,20200501,1,0.0,292.0,5.0,1.0,0.3,0.0,323.2,3.6,29.557987372656747,29.88895637405937,0.3271024775426597,0.26751086605570806,1264.1896103006331,1176.301166317769,32.05388068054702,22.906699641487386
843,10,20200502,0,0.0,237.0,1.0,1.0,0.3,0.0,336.9,3.2,29.082587442645192,29.84358231949271,0.3246768743525787,0.2655846245223745,1253.7241104637149,1179.876665192502,32.61673009617418,23.183718739397268
858,10,20200503,0,0.0,252.0,1.0,1.0,0.3,0.0,321.2,2.7,28.533319383735442,29.813110917641666,0.32123377387232066,0.2635337852603303,1241.468518587134,1183.3313393059952,33.16257877192017,23.444114318896432
873,10,20200504,0,0.0,182.0,1.0,1.0,0.3,0.0,315.1,2.6,27.934987212543877,29.798403191001565,0.3168025176741118,0.26135898179051387,1228.0984433229023,1186.6594106680232,33.63777118660791,23.68804136212215
888,10,20200505,0,0.0,126.0,8.0,1.0,0.2,0.0,287.3,3.3,27.316941413891826,29.799947995499053,0.31170198892001216,0.25905978250711664,1214.1140373059695,1189.8464573493632,34.02131445520373,23.9160283324718
903,10,20200506,0,0.0,263.0,3.0,1.0,0.1,0.0,284.7,2.5,26.695592551574713,29.817868346098106,0.30619267930189903,0.25663733188413573,1200.2084382835603,1192.8743422793866,34.288882969061156,24.128872088674214
918,10,20200507,1,0.0,276.0,0.0,1.0,0.2,0.0,285.7,2.3,26.090213558808134,29.851824645498354,0.3003850026517633,0.2540903874443668,1187.274708459899,1195.728475516115,34.429371097856134,24.3274951212725
933,10,20200508,0,0.0,257.0,0.0,1.0,0.2,0.0,279.2,2.2,25.515437129786942,29.90089371859836,0.2945511954769715,0.25141552392869415,1176.1722065414506,1198.3981974682983,34.4518384858183,24.51280329975986
948,10,20200509,0,0.0,188.0,0.0,1.0,0.2,0.0,255.4,1.9,24.99076575253539,29.963909543203126,0.28890384228624766,0.24860856305045195,1167.5271517465887,1200.874363173651,34.36742767774273,24.685411923958878
963,10,20200510,0,0.0,158.0,0.0,1.0,0.2,0.0,223.1,1.9,24.52576472838134,30.039433403912675,0.28350971916053047,0.24567306779101575,1161.557814438383,1203.1478297042127,34.18902284111326,24.845607290977647
978,10,20200511,0,0.0,284.0,0.0,0.0,0.1,0.0,222.3,1.4,24.12289557927287,30.125954934968266,0.27833642523622804,0.2426155908011727,1158.1199761056064,1205.2055878107521,33.94090451115561,24.993482578341855
993,10,20200512,0,0.0,135.0,3.0,0.0,0.1,0.0,212.1,1.6,23.786665425770053,30.221860302912898,0.27329464743628035,0.23944542378333317,1156.9158669691376,1207.0319807304486,33.64505909037877,25.128989660666036
1008,10,20200513,0,0.0,175.0,0.0,0.0,0.1,0.0,204.4,1.5,23.519697458165844,30.325462576080557,0.268360081481999,0.23617484723622545,1157.850421699054,1208.6140170986216,33.30283844838605,25.25181765154849
1023,10,20200514,0,0.0,207.0,1.0,0.0,0.1,0.0,206.9,1.5,23.324757225059585,30.434858483173528,0.2637943559324578,0.2328147521185431,1160.786637262368,1209.9472716438997,32.899577952449484,25.36126769504263
1038,10,20200515,0,0.0,156.0,0.0,1.0,0.1,0.0,209.9,0.7,23.1935460319512,30.54816260690351,0.25964250118797616,0.22937899367765974,1164.9901987748456,1211.0318861689625,32.43184088740579,25.456211643060612
1053,10,20200516,0,0.0,175.0,1.0,1.0,0.1,0.0,201.1,0.5,23.124270093431267,30.663346552158448,0.2555934832195519,0.22587795208153474,1169.3439528535273,1211.871527945685,31.904778803472965,25.535201499267245
1068,10,20200517,0,0.0,202.0,0.0,1.0,0.0,0.0,193.7,0.5,23.128183170936854,30.778718565590466,0.25124175656922415,0.22231508598888722,1172.99394203621,1212.472993071035,31.324461498103982,25.596915551797238
1083,10,20200518,0,0.0,189.0,0.0,1.0,0.0,0.0,186.9,0.5,23.229000779641506,30.893079473001187,0.24649790209312034,0.21869411501907582,1175.5989255318646,1212.8456364966653,30.70730029158807,25.640526942728442
1098,10,20200519,0,0.0,117.0,1.0,1.0,0.0,0.0,179.8,0.6,23.43522865123905,31.00527415323683,0.2414678327081555,0.21502201558762982,1177.1720271380239,1213.0015553236287,30.089878573177685,25.665040459938485
1113,10,20200520,0,0.0,77.0,0.0,1.0,0.0,0.0,171.7,0.6,23.740000472564436,31.114239812942436,0.2360196258894497,0.2113098533884499,1178.0182421174243,1212.9590055616325,29.50040060514264,25.669204844301266
1128,10,20200521,0,0.0,115.0,3.0,1.0,0.0,0.0,154.8,0.9,24.13575468379863,31.219319857318148,0.2301108946750162,0.20756391928565365,1178.4311890229635,1212.7401809942319,28.963132928074202,25.65229507638426
1143,10,20200522,0,0.0,214.0,0.0,1.0,0.0,0.0,162.7,0.6,24.608560635056794,31.320371518582544,0.22394747714466373,0.20378410843328268,1178.5504516788294,1212.3693755073373,28.496427673111064,25.614795966270897
1158,10,20200523,0,0.0,166.0,1.0,1.0,0.0,0.0,161.8,0.7,25.144994100242457,31.417586101153447,0.2172920665747524,0.19996966025332202,1178.5039088904548,1211.8701660428737,28.087546330219222,25.55808492313664
1173,10,20200524,0,0.0,184.0,0.0,1.0,0.0,0.0,159.5,0.6,25.729978659853767,31.511426293404178,0.20976380362043995,0.1961226413236703,1178.3712702708008,1211.2638128516817,27.715816732251177,25.484205117864818
1188,10,20200525,0,0.0,135.0,0.0,1.0,0.0,0.0,157.4,0.6,26.345752398333506,31.60233607508566,0.20145459796590684,0.19225658761186193,1178.1085146132366,1210.57047919121,27.379080127437682,25.39564575068267
1203,10,20200526,0,0.0,105.0,1.0,1.0,0.0,0.0,150.4,0.6,26.984896953600053,31.69065837031268,0.19308532307200477,0.18839253460421057,1177.6557181082696,1209.8106916944896,27.077552322582413,25.295245865578735
1218,10,20200527,0,0.0,171.0,0.0,1.0,0.0,0.0,147.3,0.6,27.6517550811677,31.77690756818141,0.1851271509212843,0.18455511380671316,1176.7904071096693,1209.0104127046336,26.780680351835823,25.186008108629984
1233,10,20200528,1,0.0,204.0,0.0,1.0,0.1,0.0,148.8,0.6,28.3587308019744,31.861889356616356,0.17737060607331484,0.18076586898458288,1175.3146758336907,1208.2010798604492,26.437417244790357,25.07094514577904
1248,10,20200529,0,0.0,260.0,0.0,1.0,0.1,0.0,163.1,0.5,29.11146990699279,31.946461069420156,0.16905784991511416,0.177038890494661,1173.1397565050695,1207.4167170585692,26.018385640818398,24.952842960982107
1263,10,20200530,0,0.0,179.0,0.0,1.0,0.1,0.0,173.3,0.5,29.912031859962728,32.03148947625451,0.1598246236925892,0.1733902751447237,1170.4802193557434,1206.6924145144103,25.50629466977775,24.834040910441104
1278,10,20200531,0,0.0,221.0,0.0,1.0,0.1,0.0,183.9,0.2,30.75529833084902,32.11823008850879,0.1497855353399793,0.1698443493220085,1167.7533890903808,1206.063105305234,24.900318025546664,24.71646640762328
1293,10,20200601,0,0.0,254.0,0.0,0.0,0.1,0.0,187.9,0.2,31.62670699223759,32.20794535531816,0.13947388121660012,0.16642604225013263,1165.4326511428033,1205.5591929571037,24.20841611259444,24.60126199188646
1308,10,20200602,0,0.0,103.0,1.0,0.0,0.1,0.0,181.6,0.2,32.50317421100113,32.301875033133406,0.129451200908153,0.16315542758304738,1164.015548472498,1205.2026513895883,23.447769697943663,24.48851261640998
