,pruid,date,numtoday,numdeathstoday,numteststoday,numrecoveredtoday,moving_numtoday,moving_numdeathstoday,moving_numteststoday,moving_numrecoveredtoday
0,35,20200131,3,0.0,0.0,0.0,3.0,0.0,0.0,0.0
3,35,20200208,0,0.0,0.0,0.0,1.5,0.0,0.0,0.0
6,35,20200216,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
9,35,20200221,0,0.0,0.0,0.0,0.75,0.0,0.0,0.0
12,35,20200224,1,0.0,0.0,0.0,0.8,0.0,0.0,0.0
15,35,20200225,0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0
18,35,20200226,1,0.0,0.0,0.0,0.7142857142857143,0.0,0.0,0.0
21,35,20200227,1,0.0,0.0,0.0,0.75,0.0,0.0,0.0
24,35,20200229,2,0.0,0.0,0.0,0.8888888888888888,0.0,0.0,0.0
27,35,20200301,7,0.0,0.0,0.0,1.5,0.0,0.0,0.0
31,35,20200303,5,0.0,0.0,0.0,1.7,0.0,0.0,0.0
35,35,20200305,2,0.0,0.0,0.0,1.9,0.0,0.0,0.0
39,35,20200306,6,0.0,0.0,0.0,2.5,0.0,0.0,0.0
43,35,20200307,0,0.0,0.0,0.0,2.5,0.0,0.0,0.0
47,35,20200308,3,0.0,0.0,0.0,2.7,0.0,0.0,0.0
52,35,20200309,3,0.0,0.0,0.0,3.0,0.0,0.0,0.0
61,35,20200311,8,1.0,0.0,0.0,3.7,0.1,0.0,0.0
76,35,20200312,17,0.0,0.0,0.0,5.3,0.1,0.0,0.0
91,35,20200313,20,0.0,0.0,0.0,7.1,0.1,0.0,0.0
106,35,20200314,0,0.0,0.0,0.0,6.4,0.1,0.0,0.0
121,35,20200315,24,0.0,0.0,0.0,8.3,0.1,0.0,0.0
136,35,20200316,42,0.0,0.0,0.0,12.3,0.1,0.0,0.0
151,35,20200317,32,0.0,0.0,0.0,14.9,0.1,0.0,0.0
166,35,20200318,12,0.0,0.0,0.0,16.1,0.1,0.0,0.0
181,35,20200319,69,1.0,0.0,0.0,22.7,0.2,0.0,0.0
196,35,20200320,53,0.0,0.0,0.0,27.7,0.2,0.0,0.0
211,35,20200321,66,1.0,0.0,0.0,33.5,0.2,0.0,0.0
226,35,20200322,48,2.0,0.0,0.0,36.6,0.4,0.0,0.0
241,35,20200323,78,1.0,0.0,0.0,42.4,0.5,0.0,0.0
256,35,20200324,85,2.0,0.0,0.0,50.9,0.7,0.0,0.0
271,35,20200325,100,5.0,0.0,0.0,58.5,1.2,0.0,0.0
286,35,20200326,170,2.0,0.0,8.0,71.3,1.4,0.0,0.8
301,35,20200327,135,3.0,0.0,0.0,81.6,1.7,0.0,0.8
316,35,20200328,0,0.0,0.0,0.0,80.4,1.7,0.0,0.8
331,35,20200329,362,1.0,0.0,0.0,109.7,1.7,0.0,0.8
346,35,20200330,351,14.0,0.0,423.0,139.5,3.1,0.0,43.1
361,35,20200331,260,0.0,0.0,103.0,158.9,3.0,0.0,53.4
376,35,20200401,426,4.0,0.0,155.0,196.7,3.2,0.0,68.9
391,35,20200402,401,16.0,0.0,142.0,229.0,4.7,0.0,83.1
406,35,20200403,462,14.0,0.0,0.0,266.7,5.9,0.0,83.1
421,35,20200404,375,27.0,0.0,0.0,294.2,8.1,0.0,83.1
436,35,20200405,408,25.0,0.0,1219.0,318.0,10.4,0.0,204.2
451,35,20200406,309,13.0,0.0,405.0,335.4,11.4,0.0,244.7
466,35,20200407,379,21.0,0.0,0.0,373.3,13.5,0.0,244.7
481,35,20200408,550,21.0,0.0,0.0,392.1,15.5,0.0,244.7
496,35,20200409,483,26.0,0.0,0.0,405.3,16.7,0.0,202.4
511,35,20200410,478,22.0,0.0,0.0,427.1,18.9,0.0,192.1
526,35,20200411,411,31.0,0.0,0.0,425.6,21.6,0.0,176.6
541,35,20200412,401,21.0,0.0,0.0,425.6,22.1,0.0,162.4
556,35,20200413,421,17.0,0.0,0.0,421.5,22.4,0.0,162.4
571,35,20200414,483,43.0,0.0,0.0,432.3,24.0,0.0,162.4
586,35,20200415,494,56.0,0.0,0.0,440.9,27.1,0.0,40.5
601,35,20200416,514,38.0,0.0,0.0,461.4,29.6,0.0,0.0
616,35,20200417,564,55.0,0.0,0.0,479.9,33.0,0.0,0.0
631,35,20200418,485,36.0,0.0,4875.0,473.4,34.5,0.0,487.5
646,35,20200419,568,39.0,0.0,334.0,481.9,35.8,0.0,520.9
661,35,20200420,606,31.0,9643.0,306.0,494.7,36.7,964.3,551.5
676,35,20200421,551,38.0,8743.0,291.0,508.7,37.4,1838.6,580.6
691,35,20200422,510,37.0,9330.0,415.0,519.6,39.0,2771.6,622.1
706,35,20200423,634,54.0,10361.0,459.0,540.9,42.7,3807.7,668.0
721,35,20200424,640,50.0,10214.0,407.0,556.6,43.4,4829.1,708.7
736,35,20200425,476,48.0,12295.0,422.0,554.8,42.6,6058.6,750.9
751,35,20200426,437,24.0,10578.0,491.0,547.1,41.2,7116.4,800.0
766,35,20200427,424,57.0,12020.0,525.0,533.1,41.4,8318.4,852.5
781,35,20200428,525,59.0,12550.0,439.0,537.1,43.7,9573.4,408.9
796,35,20200429,347,45.0,10852.0,648.0,515.0,44.3,10658.6,440.3
811,35,20200430,459,86.0,11554.0,593.0,500.3,49.8,10849.7,469.0
826,35,20200501,421,39.0,12928.0,620.0,487.3,49.9,11268.2,501.9
841,35,20200502,511,55.0,16532.0,565.0,487.4,51.7,11988.4,516.9
