,pruid,date,numtoday,numdeathstoday,numteststoday,numrecoveredtoday,Class
67,61,2020-03-11,0,0.0,,,
83,61,2020-03-12,0,0.0,5.0,,
98,61,2020-03-13,0,0.0,19.0,,
113,61,2020-03-14,0,0.0,26.0,,
128,61,2020-03-15,0,0.0,15.0,,
143,61,2020-03-16,0,0.0,15.0,,1.0
158,61,2020-03-17,0,0.0,34.0,,1.0
173,61,2020-03-18,0,0.0,7.0,,1.0
188,61,2020-03-19,0,0.0,2.0,,1.0
203,61,2020-03-20,0,0.0,68.0,,1.0
218,61,2020-03-21,1,0.0,19.0,,1.0
233,61,2020-03-22,0,0.0,45.0,,1.0
248,61,2020-03-23,0,0.0,71.0,,1.0
263,61,2020-03-24,0,0.0,39.0,,1.0
278,61,2020-03-25,0,0.0,85.0,,1.0
293,61,2020-03-26,0,0.0,27.0,,1.0
308,61,2020-03-27,0,0.0,44.0,,1.0
323,61,2020-03-28,0,0.0,36.0,,1.0
338,61,2020-03-29,0,0.0,140.0,,1.0
353,61,2020-03-30,0,0.0,72.0,,1.0
368,61,2020-03-31,0,0.0,29.0,,1.0
383,61,2020-04-01,1,0.0,77.0,,1.0
398,61,2020-04-02,0,0.0,71.0,,1.0
413,61,2020-04-03,2,0.0,11.0,,1.0
428,61,2020-04-04,0,0.0,139.0,,1.0
443,61,2020-04-05,0,0.0,40.0,1.0,1.0
458,61,2020-04-06,1,0.0,51.0,0.0,1.0
473,61,2020-04-07,0,0.0,45.0,,1.0
488,61,2020-04-08,0,0.0,13.0,,1.0
503,61,2020-04-09,0,0.0,0.0,,1.0
518,61,2020-04-10,0,0.0,28.0,,1.0
533,61,2020-04-11,0,0.0,86.0,,1.0
548,61,2020-04-12,0,0.0,22.0,,1.0
563,61,2020-04-13,0,0.0,36.0,,1.0
578,61,2020-04-14,0,0.0,1.0,,1.0
593,61,2020-04-15,0,0.0,8.0,,1.0
608,61,2020-04-16,0,0.0,1.0,,1.0
623,61,2020-04-17,0,0.0,41.0,,1.0
638,61,2020-04-18,0,0.0,16.0,3.0,1.0
653,61,2020-04-19,0,0.0,19.0,0.0,1.0
668,61,2020-04-20,0,0.0,23.0,2.0,1.0
683,61,2020-04-21,0,0.0,24.0,0.0,1.0
698,61,2020-04-22,0,0.0,19.0,0.0,1.0
713,61,2020-04-23,0,0.0,3.0,0.0,1.0
728,61,2020-04-24,0,0.0,8.0,0.0,1.0
743,61,2020-04-25,0,0.0,21.0,0.0,1.0
758,61,2020-04-26,0,0.0,18.0,0.0,1.0
773,61,2020-04-27,0,0.0,22.0,0.0,1.0
788,61,2020-04-28,0,0.0,14.0,0.0,1.0
803,61,2020-04-29,0,0.0,2.0,0.0,1.0
