,pruid,date,numtoday,numdeathstoday,numteststoday,numrecoveredtoday,moving_numtoday,moving_numdeathstoday,moving_numteststoday,moving_numrecoveredtoday
59,47,20200311,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,47,20200312,1,0.0,0.0,0.0,0.5,0.0,0.0,0.0
89,47,20200313,0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0
104,47,20200314,1,0.0,0.0,0.0,0.5,0.0,0.0,0.0
119,47,20200315,0,0.0,0.0,0.0,0.4,0.0,0.0,0.0
134,47,20200316,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0
149,47,20200317,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0
164,47,20200318,1,0.0,191.0,0.0,1.0,0.0,23.875,0.0
179,47,20200319,12,0.0,871.0,0.0,2.2222222222222223,0.0,118.0,0.0
194,47,20200320,6,0.0,583.0,0.0,2.6,0.0,164.5,0.0
209,47,20200321,18,0.0,532.0,0.0,4.4,0.0,217.7,0.0
224,47,20200322,8,0.0,824.0,0.0,5.1,0.0,300.1,0.0
239,47,20200323,14,0.0,619.0,0.0,6.5,0.0,362.0,0.0
254,47,20200324,6,0.0,733.0,0.0,7.0,0.0,435.3,0.0
269,47,20200325,14,0.0,488.0,0.0,8.4,0.0,484.1,0.0
284,47,20200326,9,0.0,513.0,3.0,8.9,0.0,535.4,0.3
299,47,20200327,9,0.0,645.0,0.0,9.7,0.0,599.9,0.3
314,47,20200328,30,0.0,665.0,0.0,12.6,0.0,647.3,0.3
329,47,20200329,0,0.0,668.0,1.0,11.4,0.0,627.0,0.4
344,47,20200330,41,2.0,838.0,10.0,14.9,0.2,652.5,1.4
359,47,20200331,9,0.0,565.0,7.0,14.0,0.2,655.8,2.1
374,47,20200401,9,1.0,475.0,9.0,14.1,0.3,620.9,3.0
389,47,20200402,13,0.0,402.0,6.0,14.0,0.3,599.2,3.6
404,47,20200403,14,0.0,867.0,0.0,14.8,0.3,612.6,3.6
419,47,20200404,11,0.0,717.0,0.0,14.5,0.3,635.5,3.6
434,47,20200405,18,0.0,558.0,55.0,15.4,0.3,640.0,8.8
449,47,20200406,4,0.0,858.0,26.0,14.9,0.3,661.3,11.4
464,47,20200407,7,0.0,650.0,0.0,12.6,0.3,659.8,11.4
479,47,20200408,11,0.0,544.0,0.0,13.7,0.3,647.4,11.3
494,47,20200409,7,0.0,899.0,0.0,10.3,0.1,653.5,10.3
509,47,20200410,7,0.0,1051.0,0.0,10.1,0.1,702.1,9.6
524,47,20200411,4,1.0,962.0,0.0,9.6,0.1,750.8,8.7
539,47,20200412,9,0.0,814.0,0.0,9.2,0.1,792.0,8.1
554,47,20200413,2,0.0,828.0,0.0,8.0,0.1,788.1,8.1
569,47,20200414,1,0.0,528.0,0.0,7.0,0.1,769.2,8.1
584,47,20200415,3,0.0,478.0,0.0,5.5,0.1,761.2,2.6
599,47,20200416,1,0.0,625.0,0.0,5.2,0.1,737.9,0.0
614,47,20200417,2,0.0,662.0,0.0,4.7,0.1,739.1,0.0
629,47,20200418,6,0.0,638.0,234.0,4.2,0.1,748.5,23.4
644,47,20200419,2,0.0,885.0,0.0,3.7,0.1,747.1,23.4
659,47,20200420,1,0.0,817.0,4.0,3.1,0.1,723.7,23.8
674,47,20200421,4,0.0,503.0,14.0,3.1,0.0,677.8,25.2
689,47,20200422,6,0.0,399.0,9.0,2.8,0.0,636.3,26.1
704,47,20200423,5,0.0,510.0,9.0,3.1,0.0,604.5,27.0
719,47,20200424,10,0.0,551.0,10.0,4.0,0.0,606.8,28.0
734,47,20200425,8,0.0,714.0,8.0,4.5,0.0,630.4,28.8
749,47,20200426,4,0.0,646.0,0.0,4.8,0.0,632.5,28.8
764,47,20200427,12,1.0,541.0,0.0,5.8,0.1,620.4,28.8
779,47,20200428,1,0.0,523.0,3.0,5.3,0.1,608.9,5.7
794,47,20200429,17,1.0,336.0,0.0,6.8,0.2,554.0,5.7
809,47,20200430,6,0.0,474.0,4.0,7.3,0.2,519.7,5.7
824,47,20200501,26,0.0,536.0,2.0,9.5,0.2,523.0,4.5
839,47,20200502,6,0.0,715.0,5.0,9.5,0.2,554.6,4.1
854,47,20200503,12,0.0,488.0,3.0,10.2,0.2,552.4,3.5
869,47,20200504,34,0.0,727.0,2.0,12.6,0.2,570.0,2.7
884,47,20200505,20,0.0,762.0,3.0,13.8,0.2,574.8,2.2
899,47,20200506,25,0.0,587.0,2.0,15.9,0.2,568.9,2.4
914,47,20200507,19,0.0,670.0,17.0,16.6,0.1,581.8,4.1
929,47,20200508,13,0.0,770.0,6.0,17.8,0.1,606.5,4.4
944,47,20200509,9,0.0,815.0,5.0,17.0,0.0,654.4,4.9
