,pruid,date,numtoday,numdeathstoday,numteststoday,numrecoveredtoday,moving_numtoday,moving_numdeathstoday,moving_numteststoday,moving_numrecoveredtoday
64,10,20200311,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,10,20200312,0,0.0,21.0,0.0,0.0,0.0,10.5,0.0
93,10,20200313,0,0.0,51.0,0.0,0.0,0.0,24.0,0.0
108,10,20200314,0,0.0,96.0,0.0,0.0,0.0,42.0,0.0
123,10,20200315,1,0.0,109.0,0.0,0.2,0.0,55.4,0.0
138,10,20200316,0,0.0,101.0,0.0,0.16666666666666666,0.0,63.0,0.0
153,10,20200317,0,0.0,49.0,0.0,0.14285714285714285,0.0,61.0,0.0
168,10,20200318,2,0.0,144.0,0.0,0.375,0.0,71.375,0.0
183,10,20200319,0,0.0,229.0,0.0,0.3333333333333333,0.0,88.88888888888889,0.0
198,10,20200320,1,0.0,282.0,0.0,0.4,0.0,108.2,0.0
213,10,20200321,2,0.0,213.0,0.0,0.6,0.0,129.5,0.0
228,10,20200322,3,0.0,246.0,0.0,0.9,0.0,152.0,0.0
243,10,20200323,15,0.0,144.0,0.0,2.4,0.0,161.3,0.0
258,10,20200324,11,0.0,189.0,0.0,3.5,0.0,170.6,0.0
273,10,20200325,32,0.0,215.0,0.0,6.6,0.0,181.2,0.0
288,10,20200326,15,0.0,178.0,0.0,8.1,0.0,188.9,0.0
303,10,20200327,20,0.0,260.0,0.0,10.1,0.0,210.0,0.0
318,10,20200328,18,0.0,251.0,4.0,11.7,0.0,220.7,0.4
333,10,20200329,15,0.0,316.0,0.0,13.2,0.0,229.4,0.4
348,10,20200330,13,1.0,233.0,3.0,14.4,0.1,224.5,0.7
363,10,20200331,4,0.0,289.0,0.0,14.6,0.1,232.1,0.7
378,10,20200401,23,0.0,190.0,3.0,16.6,0.1,226.5,1.0
393,10,20200402,8,0.0,297.0,0.0,15.9,0.1,241.8,1.0
408,10,20200403,0,0.0,132.0,0.0,14.8,0.1,236.1,1.0
423,10,20200404,12,0.0,317.0,0.0,12.8,0.1,246.3,1.0
438,10,20200405,22,0.0,253.0,11.0,13.5,0.1,253.8,2.1
453,10,20200406,9,1.0,268.0,21.0,12.4,0.2,254.6,4.2
468,10,20200407,2,0.0,217.0,0.0,10.8,0.2,251.2,3.8
483,10,20200408,4,0.0,188.0,0.0,9.7,0.2,238.4,3.8
498,10,20200409,4,1.0,283.0,0.0,8.8,0.2,243.4,3.5
513,10,20200410,3,0.0,228.0,0.0,8.7,0.2,237.3,3.5
528,10,20200411,2,0.0,179.0,0.0,6.6,0.2,236.2,3.2
543,10,20200412,1,0.0,370.0,0.0,5.9,0.2,243.5,3.2
558,10,20200413,2,0.0,127.0,0.0,6.1,0.2,243.0,3.2
573,10,20200414,0,0.0,161.0,0.0,4.9,0.2,227.4,3.2
588,10,20200415,3,0.0,61.0,0.0,3.0,0.2,208.2,2.1
603,10,20200416,5,0.0,285.0,0.0,2.6,0.1,209.9,0.0
618,10,20200417,4,0.0,186.0,0.0,2.8,0.1,206.8,0.0
633,10,20200418,0,0.0,303.0,189.0,2.4,0.1,218.3,18.9
648,10,20200419,0,0.0,403.0,2.0,2.0,0.0,230.3,19.1
663,10,20200420,0,0.0,379.0,0.0,1.7,0.0,245.4,19.1
678,10,20200421,0,0.0,256.0,3.0,1.5,0.0,253.1,19.4
693,10,20200422,0,0.0,100.0,5.0,1.4,0.0,226.1,19.9
708,10,20200423,0,0.0,409.0,6.0,1.2,0.0,254.3,20.5
723,10,20200424,0,0.0,243.0,2.0,1.2,0.0,262.5,20.7
738,10,20200425,1,0.0,404.0,1.0,1.0,0.0,296.8,20.8
753,10,20200426,1,0.0,289.0,11.0,0.6,0.0,297.2,21.9
768,10,20200427,0,0.0,266.0,2.0,0.2,0.0,305.2,22.1
783,10,20200428,0,0.0,322.0,1.0,0.2,0.0,307.1,3.3
798,10,20200429,0,0.0,426.0,3.0,0.2,0.0,309.4,3.4
813,10,20200430,0,0.0,481.0,0.0,0.2,0.0,319.6,3.4
828,10,20200501,1,0.0,292.0,5.0,0.3,0.0,323.2,3.6
843,10,20200502,0,0.0,237.0,1.0,0.3,0.0,336.9,3.2
858,10,20200503,0,0.0,252.0,1.0,0.3,0.0,321.2,2.7
873,10,20200504,0,0.0,182.0,1.0,0.3,0.0,315.1,2.6
888,10,20200505,0,0.0,126.0,8.0,0.2,0.0,287.3,3.3
903,10,20200506,0,0.0,263.0,3.0,0.1,0.0,284.7,2.5
918,10,20200507,1,0.0,276.0,0.0,0.2,0.0,285.7,2.3
933,10,20200508,0,0.0,257.0,0.0,0.2,0.0,279.2,2.2
948,10,20200509,0,0.0,188.0,0.0,0.2,0.0,255.4,1.9
963,10,20200510,0,0.0,158.0,0.0,0.2,0.0,223.1,1.9
978,10,20200511,0,0.0,284.0,0.0,0.1,0.0,222.3,1.4
993,10,20200512,0,0.0,135.0,3.0,0.1,0.0,212.1,1.6
1008,10,20200513,0,0.0,175.0,0.0,0.1,0.0,204.4,1.5
1023,10,20200514,0,0.0,207.0,1.0,0.1,0.0,206.9,1.5
1038,10,20200515,0,0.0,156.0,0.0,0.1,0.0,209.9,0.7
1053,10,20200516,0,0.0,175.0,1.0,0.1,0.0,201.1,0.5
1068,10,20200517,0,0.0,202.0,0.0,0.0,0.0,193.7,0.5
1083,10,20200518,0,0.0,189.0,0.0,0.0,0.0,186.9,0.5
1098,10,20200519,0,0.0,117.0,1.0,0.0,0.0,179.8,0.6
1113,10,20200520,0,0.0,77.0,0.0,0.0,0.0,171.7,0.6
1128,10,20200521,0,0.0,115.0,3.0,0.0,0.0,154.8,0.9
1143,10,20200522,0,0.0,214.0,0.0,0.0,0.0,162.7,0.6
1158,10,20200523,0,0.0,166.0,1.0,0.0,0.0,161.8,0.7
1173,10,20200524,0,0.0,184.0,0.0,0.0,0.0,159.5,0.6
1188,10,20200525,0,0.0,135.0,0.0,0.0,0.0,157.4,0.6
1203,10,20200526,0,0.0,105.0,1.0,0.0,0.0,150.4,0.6
1218,10,20200527,0,0.0,171.0,0.0,0.0,0.0,147.3,0.6
1233,10,20200528,1,0.0,204.0,0.0,0.1,0.0,148.8,0.6
1248,10,20200529,0,0.0,260.0,0.0,0.1,0.0,163.1,0.5
1263,10,20200530,0,0.0,179.0,0.0,0.1,0.0,173.3,0.5
1278,10,20200531,0,0.0,221.0,0.0,0.1,0.0,183.9,0.2
1293,10,20200601,0,0.0,254.0,0.0,0.1,0.0,187.9,0.2
1308,10,20200602,0,0.0,103.0,1.0,0.1,0.0,181.6,0.2
1323,10,20200603,0,0.0,158.0,0.0,0.1,0.0,179.0,0.2
1338,10,20200604,0,0.0,280.0,0.0,0.1,0.0,193.5,0.2
1353,10,20200605,0,0.0,309.0,0.0,0.1,0.0,213.9,0.1
1368,10,20200606,0,0.0,229.0,0.0,0.1,0.0,219.7,0.1
1383,10,20200607,0,0.0,228.0,0.0,0.0,0.0,222.1,0.1
1398,10,20200608,0,0.0,341.0,0.0,0.0,0.0,230.2,0.1
1413,10,20200609,0,0.0,150.0,0.0,0.0,0.0,227.3,0.1
1428,10,20200610,0,0.0,219.0,0.0,0.0,0.0,227.1,0.1
1443,10,20200611,0,0.0,399.0,0.0,0.0,0.0,241.6,0.1
1458,10,20200612,0,0.0,252.0,0.0,0.0,0.0,256.5,0.0
1473,10,20200613,0,0.0,294.0,0.0,0.0,0.0,270.1,0.0
1488,10,20200614,0,0.0,276.0,0.0,0.0,0.0,269.7,0.0
1503,10,20200615,0,0.0,284.0,1.0,0.0,0.0,267.2,0.1
1518,10,20200616,0,0.0,169.0,0.0,0.0,0.0,261.2,0.1
1533,10,20200617,0,0.0,238.0,0.0,0.0,0.0,262.2,0.1
1548,10,20200618,0,0.0,371.0,1.0,0.0,0.0,265.2,0.2
