,pruid,date,numtoday,numdeathstoday,numteststoday,numrecoveredtoday,moving_numtoday,moving_numdeathstoday,moving_numteststoday,moving_numrecoveredtoday
29,24,20200301,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0
33,24,20200303,0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
37,24,20200305,1,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0
41,24,20200306,0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
45,24,20200307,0,0.0,0.0,0.0,0.4,0.0,0.0,0.0
49,24,20200308,1,0.0,0.0,0.0,0.5,0.0,0.0,0.0
54,24,20200309,1,0.0,0.0,0.0,0.5714285714285714,0.0,0.0,0.0
62,24,20200311,3,0.0,0.0,0.0,0.875,0.0,0.0,0.0
77,24,20200312,6,0.0,131.0,0.0,1.4444444444444444,0.0,14.555555555555555,0.0
92,24,20200313,4,0.0,216.0,0.0,1.7,0.0,34.7,0.0
107,24,20200314,0,0.0,337.0,0.0,1.6,0.0,68.4,0.0
122,24,20200315,7,0.0,279.0,0.0,2.3,0.0,96.3,0.0
137,24,20200316,15,0.0,672.0,0.0,3.7,0.0,163.5,0.0
152,24,20200317,11,0.0,775.0,0.0,4.8,0.0,241.0,0.0
167,24,20200318,24,1.0,1104.0,0.0,7.2,0.1,351.4,0.0
182,24,20200319,47,0.0,1494.0,0.0,11.8,0.1,500.8,0.0
197,24,20200320,18,0.0,1471.0,0.0,13.5,0.1,647.9,0.0
212,24,20200321,82,3.0,3106.0,0.0,21.4,0.4,958.5,0.0
227,24,20200322,0,0.0,3591.0,0.0,20.8,0.4,1304.5,0.0
242,24,20200323,407,0.0,4150.0,0.0,61.1,0.4,1697.9,0.0
257,24,20200324,385,0.0,3883.0,0.0,99.6,0.4,2052.5,0.0
272,24,20200325,326,2.0,4803.0,0.0,131.5,0.6,2504.9,0.0
287,24,20200326,290,2.0,3818.0,2.0,159.0,0.8,2819.5,0.2
302,24,20200327,392,10.0,5297.0,27.0,197.1,1.8,3271.7,2.9
317,24,20200328,477,4.0,5993.0,0.0,242.4,2.1,3760.6,2.9
332,24,20200329,342,0.0,6394.0,0.0,271.9,2.1,4250.6,2.9
347,24,20200330,590,3.0,5964.0,0.0,329.1,2.4,4699.9,2.9
362,24,20200331,732,6.0,7313.0,0.0,394.1,2.7,5120.6,2.9
377,24,20200401,449,2.0,8062.0,0.0,439.0,2.9,5567.7,2.9
392,24,20200402,907,3.0,7259.0,195.0,489.0,3.2,5878.6,22.4
407,24,20200403,583,25.0,6364.0,0.0,508.8,5.7,6126.7,22.4
422,24,20200404,896,14.0,6794.0,0.0,565.8,6.9,6325.8,22.4
437,24,20200405,947,19.0,7091.0,0.0,631.5,8.6,6653.1,22.2
452,24,20200406,636,27.0,5020.0,611.0,655.9,10.3,6625.4,80.6
467,24,20200407,760,29.0,3597.0,0.0,684.2,12.8,6385.8,80.6
482,24,20200408,691,25.0,4458.0,0.0,719.1,15.3,6192.2,80.6
497,24,20200409,881,41.0,5118.0,0.0,748.2,19.1,6107.6,80.6
512,24,20200410,765,25.0,4430.0,0.0,751.5,21.0,5819.3,80.6
527,24,20200411,615,48.0,5372.0,0.0,768.1,25.6,5550.3,80.6
542,24,20200412,554,39.0,5069.0,0.0,732.8,29.2,5331.3,61.1
557,24,20200413,711,32.0,5259.0,0.0,745.6,29.9,5220.8,61.1
572,24,20200414,691,75.0,6085.0,0.0,725.1,36.0,5149.9,61.1
587,24,20200415,612,52.0,6921.0,0.0,691.6,39.3,5132.9,61.1
602,24,20200416,997,143.0,6567.0,0.0,727.7,50.9,5287.6,0.0
617,24,20200417,941,58.0,6295.0,0.0,745.8,53.8,5557.4,0.0
632,24,20200418,723,117.0,6137.0,3315.0,749.0,63.0,5725.3,331.5
647,24,20200419,836,72.0,5818.0,240.0,744.5,66.1,5795.3,355.5
662,24,20200420,962,62.0,5344.0,292.0,764.2,69.8,5886.7,384.7
677,24,20200421,807,102.0,4928.0,201.0,783.4,75.2,5842.3,404.8
692,24,20200422,839,93.0,4802.0,243.0,811.9,80.6,5815.6,429.1
707,24,20200423,873,109.0,5323.0,193.0,828.1,88.3,5822.0,448.4
722,24,20200424,778,97.0,6600.0,240.0,836.8,90.5,5873.5,472.4
737,24,20200425,651,106.0,6350.0,333.0,840.7,95.9,5816.4,505.7
752,24,20200426,840,69.0,6362.0,285.0,825.0,88.5,5795.9,534.2
767,24,20200427,875,84.0,6096.0,175.0,818.4,91.1,5776.0,551.7
782,24,20200428,775,83.0,5709.0,324.0,823.6,87.7,5733.2,252.6
797,24,20200429,837,79.0,5326.0,207.0,823.7,88.4,5684.0,249.3
812,24,20200430,944,98.0,6452.0,251.0,821.9,92.0,5794.8,245.2
827,24,20200501,1110,163.0,7125.0,401.0,852.2,98.1,6014.5,265.2
842,24,20200502,1008,114.0,6957.0,265.0,869.1,100.2,6230.0,267.4
857,24,20200503,2209,69.0,7508.0,293.0,1002.7,96.2,6448.5,277.4
872,24,20200504,758,75.0,6793.0,320.0,1000.7,94.0,6467.8,285.4
887,24,20200505,794,118.0,5958.0,345.0,1015.0,95.2,6428.6,286.6
902,24,20200506,910,112.0,4965.0,361.0,1022.0,99.5,6288.9,294.2
917,24,20200507,911,121.0,7256.0,389.0,1025.6,103.2,6404.9,315.6
932,24,20200508,912,94.0,8066.0,255.0,1039.3,104.3,6640.6,308.7
947,24,20200509,836,61.0,7834.0,340.0,1039.2,102.5,6891.4,322.0
962,24,20200510,735,142.0,8172.0,258.0,1018.3,106.9,7063.4,322.7
977,24,20200511,748,85.0,7523.0,177.0,982.1,99.1,7103.2,300.3
992,24,20200512,756,118.0,7356.0,353.0,956.9,99.5,7143.1,309.1
1007,24,20200513,706,89.0,6334.0,414.0,806.6,101.5,7025.7,321.2
1022,24,20200514,793,131.0,8464.0,359.0,810.1,107.1,7192.8,325.1
1037,24,20200515,696,50.0,9139.0,210.0,800.3,100.3,7510.9,311.6
1052,24,20200516,763,82.0,10014.0,419.0,785.6,97.3,8015.8,317.4
1067,24,20200517,737,79.0,10311.0,296.0,768.2,93.1,8321.3,308.1
1082,24,20200518,707,34.0,10679.0,291.0,747.7,87.1,8582.6,311.7
1097,24,20200519,570,51.0,8530.0,452.0,721.1,86.1,8652.2,322.9
1112,24,20200520,578,71.0,6758.0,325.0,705.4,79.0,8510.8,329.6
1127,24,20200521,720,82.0,8982.0,505.0,702.6,78.7,8656.7,362.4
1142,24,20200522,646,65.0,10134.0,492.0,691.6,73.4,8934.5,376.3
1157,24,20200523,697,75.0,11782.0,225.0,690.7,72.0,9479.3,357.4
1172,24,20200524,573,44.0,12165.0,287.0,668.7,63.3,9849.4,350.2
1187,24,20200525,573,85.0,12091.0,323.0,656.4,66.8,10144.6,361.5
1202,24,20200526,614,70.0,10832.0,345.0,641.5,65.6,10226.4,354.1
1217,24,20200527,541,89.0,7180.0,320.0,621.9,66.6,9913.3,356.5
1232,24,20200528,563,74.0,10063.0,299.0,607.5,70.6,9851.7,357.3
