,pruid,date,numtoday,numdeathstoday,numtestedtoday,numrecoveredtoday
143,61,20200316,0,0.0,62.0,0.0
144,62,20200316,0,0.0,1.0,0.0
145,99,20200316,0,0.0,0.0,0.0
146,1,20200316,88,3.0,12753.0,0.0
147,59,20200317,30,3.0,1686.0,0.0
148,48,20200317,18,0.0,1249.0,0.0
149,47,20200317,1,0.0,185.0,0.0
150,46,20200317,0,0.0,368.0,0.0
151,35,20200317,32,0.0,989.0,0.0
152,24,20200317,11,0.0,1741.0,0.0
153,10,20200317,0,0.0,0.0,0.0
154,13,20200317,1,0.0,152.0,0.0
155,12,20200317,2,0.0,0.0,0.0
156,11,20200317,0,0.0,69.0,0.0
157,60,20200317,0,0.0,0.0,0.0
158,61,20200317,0,0.0,7.0,0.0
159,62,20200317,0,0.0,0.0,0.0
160,99,20200317,4,0.0,0.0,0.0
161,1,20200317,99,3.0,6446.0,0.0
162,59,20200318,83,0.0,1776.0,0.0
163,48,20200318,23,0.0,2199.0,0.0
164,47,20200318,1,0.0,844.0,0.0
165,46,20200318,8,0.0,523.0,0.0
166,35,20200318,12,0.0,2702.0,0.0
167,24,20200318,24,1.0,1010.0,0.0
168,10,20200318,2,0.0,0.0,0.0
169,13,20200318,1,0.0,113.0,0.0
170,12,20200318,2,0.0,203.0,0.0
171,11,20200318,0,0.0,0.0,0.0
172,60,20200318,0,0.0,0.0,0.0
173,61,20200318,0,0.0,0.0,0.0
174,62,20200318,0,0.0,0.0,0.0
175,99,20200318,1,0.0,0.0,0.0
176,1,20200318,157,1.0,9370.0,0.0
177,59,20200319,85,1.0,2994.0,0.0
178,48,20200319,49,1.0,2821.0,0.0
179,47,20200319,12,0.0,0.0,0.0
180,46,20200319,2,0.0,450.0,0.0
181,35,20200319,69,1.0,4619.0,0.0
182,24,20200319,47,0.0,877.0,0.0
183,10,20200319,0,0.0,106.0,0.0
184,13,20200319,3,0.0,119.0,0.0
185,12,20200319,7,0.0,242.0,0.0
186,11,20200319,1,0.0,0.0,0.0
187,60,20200319,0,0.0,0.0,0.0
188,61,20200319,0,0.0,76.0,0.0
189,62,20200319,0,0.0,1.0,0.0
190,99,20200319,1,0.0,0.0,0.0
191,1,20200319,276,3.0,12305.0,0.0
192,59,20200320,0,1.0,2410.0,0.0
193,48,20200320,49,0.0,3275.0,0.0
194,47,20200320,6,0.0,0.0,0.0
195,46,20200320,0,0.0,178.0,0.0
196,35,20200320,53,0.0,3011.0,0.0
197,24,20200320,18,0.0,1782.0,0.0
198,10,20200320,1,0.0,20.0,0.0
199,13,20200320,0,0.0,113.0,0.0
200,12,20200320,1,0.0,127.0,0.0
201,11,20200320,0,0.0,0.0,0.0
202,60,20200320,0,0.0,0.0,0.0
203,61,20200320,0,0.0,47.0,0.0
204,62,20200320,0,0.0,0.0,0.0
205,99,20200320,3,0.0,0.0,0.0
206,1,20200320,131,1.0,10963.0,0.0
207,59,20200321,153,1.0,1625.0,0.0
208,48,20200321,31,0.0,3278.0,0.0
209,47,20200321,18,0.0,1897.0,0.0
210,46,20200321,2,0.0,301.0,0.0
211,35,20200321,66,1.0,3971.0,0.0
212,24,20200321,82,3.0,0.0,0.0
213,10,20200321,2,0.0,12.0,0.0
