,pruid,date,numtoday,numdeathstoday,numteststoday,numrecoveredtoday,Class,moving_numtoday,moving_numdeathstoday,moving_numteststoday,moving_numrecoveredtoday,moving_numtoday_loess5%,moving_numtoday_loess15%,moving_numdeathstoday_loess5%,moving_numdeathstoday_loess15%,moving_numteststoday_loess5%,moving_numteststoday_loess15%,moving_numrecoveredtoday_loess5%,moving_numrecoveredtoday_loess15%
59,47,20200311,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9173430038172365,17.440449054081935,0.049702147672438635,0.14755865458244452,198.23318567859522,492.3017197973563,-1.0823214021585243,-1.941445145413536
74,47,20200312,1,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,5.976512939225527,17.85179265158182,0.06769314296013997,0.15138745572002044,258.301022951485,509.9691508805146,-0.7086527560839853,-1.4358390766671598
89,47,20200313,0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,8.031539306751887,18.256760362619143,0.08556678440406705,0.15517273931566317,317.4934927087602,527.510607004494,-0.3164212360393849,-0.9292616064329062
104,47,20200314,1,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,10.077949636292804,18.65543030868039,0.10327223400877177,0.15891519080065739,375.8329229717053,544.930395747608,0.09461015011835008,-0.4217304433652125
119,47,20200315,0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,12.111499214305393,19.04792834491453,0.12077061205709004,0.16261601407073714,433.36006597966787,562.2335834013832,0.5244216556424903,0.08673255225440564
134,47,20200316,4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,14.12901651343563,19.434432840045044,0.13804506307727865,0.16627696990051496,490.1351091654348,579.4257791226178,0.9726900735450718,0.596102679652564
149,47,20200317,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,16.12926114752502,19.81517380215119,0.15510904495583677,0.16990030504469328,546.2470311121588,596.5129904094263,1.4386678172085066,1.1063536901332776
164,47,20200318,1,0.0,191.0,0.0,0.0,1.0,0.0,23.875,0.0,18.113572643963675,20.190422415805525,0.17199795416417168,0.1734884154615814,601.8327018202143,613.5015027211384,1.9209404463945863,1.6174590701247575
179,47,20200319,12,0.0,871.0,0.0,0.0,2.2222222222222223,0.0,118.0,0.0,20.0874658818728,20.56048257635214,0.18876763946037511,0.17704365051817714,657.1025944743328,630.3977142951665,2.417098054806129,2.1293933259126323
194,47,20200320,6,0.0,583.0,0.0,0.0,2.6,0.0,164.5,0.0,22.063714709894715,20.92567854558029,0.2055226356306581,0.18056837750630658,712.3294935681702,647.2078058655446,2.9240919059928667,2.642133284323384
209,47,20200321,18,0.0,532.0,0.0,0.0,4.4,0.0,217.7,0.0,24.06853576292359,21.286336347643918,0.2224370625469481,0.18406484842414822,767.6063549713762,663.9375172128535,3.444119787643928,3.155659427746978
224,47,20200322,8,0.0,824.0,0.0,0.0,5.1,0.0,300.1,0.0,26.106991271194786,21.642785493234324,0.23934579819681853,0.18753531062517848,819.7188553069875,680.5922731921418,4.042669025938344,3.6699572873193618
239,47,20200323,14,0.0,619.0,0.0,0.0,6.5,0.0,362.0,0.0,27.84070103911639,21.995350460739406,0.252825709980337,0.19098190171277285,855.0605134616371,697.1770539607521,4.912540422630991,4.185018925114667
254,47,20200324,6,0.0,733.0,0.0,0.0,7.0,0.0,435.3,0.0,29.42790008173483,22.344364506421456,0.2644594191432593,0.19440667659583774,884.6613047646578,713.6961304791497,5.810371641926135,4.700844545206958
269,47,20200325,14,0.0,488.0,0.0,0.0,8.4,0.0,484.1,0.0,30.829006295218306,22.69015247431316,0.2741368017589111,0.19781148866281473,908.3788872752025,730.1530592727161,6.706845010544629,5.217444284937399
284,47,20200326,9,0.0,513.0,3.0,0.0,8.9,0.0,535.4,0.3,31.99814847814354,23.033014205492762,0.2818601959365231,0.20119796727483838,926.5955430199161,746.5507455789722,7.560876915584816,5.734840243259754
299,47,20200327,9,0.0,645.0,0.0,0.0,9.7,0.0,599.9,0.3,32.89812363377351,23.37322461615971,0.287920518228765,0.20456746992009733,940.1665077588567,762.8913898241951,8.331792477797006,6.253062085177396
314,47,20200328,30,0.0,665.0,0.0,0.0,12.6,0.0,647.3,0.3,33.512515582501784,23.7110247811419,0.29266473027056417,0.20792115471758313,949.9573360921447,779.1764377460246,8.986326040451909,6.772128931336972
329,47,20200329,0,0.0,668.0,1.0,0.0,11.4,0.0,627.0,0.4,33.85670722228833,24.04662805433455,0.2964166158705628,0.2112598721830109,956.8032632784073,795.406483357406,9.504035386923317,7.292047264103702
344,47,20200330,41,2.0,838.0,10.0,0.0,14.9,0.2,652.5,1.4,33.97689178836995,24.380226276871426,0.2992519967024356,0.21458434181236155,961.4070329776331,811.5812332313842,9.875496766313026,7.812808210182591
359,47,20200331,9,0.0,565.0,7.0,0.0,14.0,0.2,655.8,2.1,33.92606586467077,24.711975597903567,0.30122367013518575,0.21789514760562254,964.2940292591601,827.6993544046823,10.103290895017143,8.334393871914111
374,47,20200401,9,1.0,475.0,9.0,0.0,14.1,0.3,620.9,3.0,33.74862373607178,25.041991464335645,0.3023355934469936,0.22119221957819896,965.9429952891481,843.7587457882515,10.19732083119227,8.856779673996678
389,47,20200402,13,0.0,402.0,6.0,0.0,14.0,0.3,599.2,3.6,33.486021323246575,25.370369966427262,0.30253998258128867,0.22447536265459972,966.7729194275184,859.7563616112989,10.166473518745695,9.379919110754145
404,47,20200403,14,0.0,867.0,0.0,0.0,14.8,0.3,612.6,3.6,33.1602742490666,25.69716108916706,0.30169758258100354,0.22774408418129907,967.0669959890871,875.6881959921473,10.009885644908078,9.903715045232401
419,47,20200404,11,0.0,717.0,0.0,0.0,14.5,0.3,635.5,3.6,32.77657092871918,26.02235361104769,0.2996738575876003,0.23099740713168126,967.135140117208,891.5489545642218,9.724960404945607,10.428013397839099
434,47,20200405,18,0.0,558.0,55.0,0.0,15.4,0.3,640.0,8.8,32.34513413792836,26.345890177644367,0.2966381186589014,0.23423391620686987,967.3808795792211,907.3320011803042,9.36375345778281,10.952643733366136
449,47,20200406,4,0.0,858.0,26.0,0.0,14.9,0.3,661.3,11.4,31.86409705785483,26.66767985271765,0.29274535659532336,0.23745207776783492,968.1795349374624,923.0293157645381,9.000850975849675,11.477425815025278
464,47,20200407,7,0.0,650.0,0.0,0.0,12.6,0.3,659.8,11.4,31.35743564957442,26.987577928583274,0.2882629827222853,0.24065042970454809,970.0241646200269,938.6315662532613,8.705679672776721,12.002131331645762
479,47,20200408,11,0.0,544.0,0.0,0.0,13.7,0.3,647.4,11.3,30.840315779412,27.30537592730244,0.2835818215528524,0.24382724927851543,973.5623673905369,954.1278301169292,8.537822577828715,12.526471752608227
494,47,20200409,7,0.0,899.0,0.0,0.0,10.3,0.1,653.5,10.3,30.334860459975832,27.620810929396544,0.2792588838464059,0.24698017968114533,979.3906354030703,969.5054394031254,8.542919183326465,13.050137575231428
509,47,20200410,7,0.0,1051.0,0.0,0.0,10.1,0.1,702.1,9.6,29.86430789138781,27.93356421915733,0.27583240152579797,0.25010608926773287,987.9344632102138,984.749345305748,8.739710795708165,13.57280845177978
524,47,20200411,4,1.0,962.0,0.0,0.0,9.6,0.1,750.8,8.7,29.44772884958453,28.24323681518517,0.2735745869115866,0.2532005721714393,999.4457499458507,999.8410569613466,9.124735161106347,14.094163178257997
539,47,20200412,9,0.0,814.0,0.0,0.0,9.2,0.1,792.0,8.1,29.122286788002512,28.549292231501063,0.27232808629884986,0.25625785741632773,1013.9767183421767,1014.7573002894011,9.688004894389964,14.613890002154651
554,47,20200413,2,0.0,828.0,0.0,0.0,8.0,0.1,788.1,8.1,28.923472563162438,28.850947515239504,0.271851831620441,0.25927016676290954,1031.4274865793075,1029.4676136190703,10.41507202280057,15.13170237619904
569,47,20200414,1,0.0,528.0,0.0,0.0,7.0,0.1,769.2,8.1,28.865467784188223,29.14699702498519,0.27210873010286507,0.26222699253929177,1051.4196045310753,1043.9310810529023,11.304704580730569,15.647365002725438
584,47,20200415,3,0.0,478.0,0.0,0.0,5.5,0.1,761.2,2.6,28.94692896807221,29.435537861782873,0.2728404123155786,0.26511293195571184,1073.3704303534407,1058.0910914056792,12.357076546481924,16.160723845550763
599,47,20200416,1,0.0,625.0,0.0,0.0,5.2,0.1,737.9,0.0,29.16955373745665,29.713513569640792,0.27422656416443425,0.2679041418868156,1096.4063342167565,1071.8673513528136,13.554103767345232,16.671751548281435
614,47,20200417,2,0.0,662.0,0.0,0.0,4.7,0.1,739.1,0.0,29.49713937125343,29.97600474851986,0.2760338855761342,0.27056383575421056,1119.8412382765841,1085.1449044647272,14.862309755851188,17.180606735084073
629,47,20200418,6,0.0,638.0,234.0,0.0,4.2,0.1,748.5,23.4,29.884395976957833,30.215310795810577,0.27796166926367577,0.27303634263905774,1143.0773373070062,1097.7625684137618,16.2616405692967,17.6876980018088
644,47,20200419,2,0.0,885.0,0.0,0.0,3.7,0.1,747.1,23.4,30.282114735366644,30.42008764486302,0.28011195386596516,0.27524153304545934,1165.5503151697458,1109.5092307961968,17.756814516843715,18.193677753085662
659,47,20200420,1,0.0,817.0,4.0,0.0,3.1,0.1,723.7,23.8,30.639401829358285,30.575627212530307,0.2827009562234326,0.2770779537998844,1186.7096339419816,1120.1517386459311,19.32569333002211,18.699105809945497
