,pruid,date,Class,median_numtoday,median_numdeathstoday,median_numteststoday,median_numrecoveredtoday,std_numtoday,std_numdeathstoday,std_numteststoday,std_numrecoveredtoday,var_numtoday,var_numdeathstoday,var_numteststoday,var_numrecoveredtoday,skew_numtoday,skew_numdeathstoday,skew_numteststoday,skew_numrecoveredtoday,kurt_numtoday,kurt_numdeathstoday,kurt_numteststoday,kurt_numrecoveredtoday
63,13,20200311,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
79,13,20200312,0.0,0.5,0.0,8.0,0.0,0.7071067811865476,0.0,11.313708498984761,0.0,0.5,0.0,128.0,0.0,,,,,,,,
94,13,20200313,0.0,0.0,0.0,16.0,0.0,0.5773502691896258,0.0,39.50105483823607,0.0,0.33333333333333337,0.0,1560.3333333333335,0.0,1.732050807578323,,1.4178729470659497,,,,,
109,13,20200314,0.0,0.5,0.0,45.5,0.0,0.5773502691896257,0.0,45.3164797102923,0.0,0.3333333333333333,0.0,2053.5833333333335,0.0,0.0,,0.04315709881670651,,-6.0,,-4.572428580334126,
124,13,20200315,0.0,0.0,0.0,16.0,0.0,0.5477225575051661,0.0,42.81121348431974,0.0,0.3,0.0,1832.8,0.0,0.6085806194530444,,0.6401617175927545,,-3.3333333330670687,,-2.592060688594193,
139,13,20200316,1.0,0.5,0.0,22.0,0.0,1.5491933384829668,0.0,38.53526523415489,0.0,2.4,0.0,1484.9666666666667,0.0,1.936491673103708,,0.8322378589671242,,3.9583333333333335,,-1.3206899883069383,
154,13,20200317,1.0,1.0,0.0,28.0,0.0,1.4142135623730951,0.0,48.45567439374238,0.0,2.0,0.0,2347.9523809523807,0.0,1.97989898732223,,0.6107468589030818,,4.3999999999964015,,-1.3905658799536673,
169,13,20200318,1.0,1.0,0.0,51.5,0.0,1.3093073414159542,0.0,46.786559425300155,0.0,1.7142857142857142,0.0,2188.9821428571427,0.0,2.036700308869263,,0.24943329218770177,,4.9,,-1.6939742690312707,
184,13,20200319,1.0,1.0,0.0,75.0,0.0,1.3944333775567925,0.0,47.056998534873756,0.0,1.9444444444444444,0.0,2214.361111111111,0.0,1.2762114457218057,,-0.05295186124535138,,0.8291545189476811,,-1.8784220570914658,
199,13,20200320,1.0,1.0,0.0,81.0,0.0,1.3703203194062976,0.0,48.64794160313694,0.0,1.8777777777777775,0.0,2366.6222222222223,0.0,1.3990595747308425,,-0.22769394662095913,,1.2077908436584122,,-1.8133511574507588,
214,13,20200321,1.0,1.0,0.0,75.0,0.0,1.9679246105293955,0.0,48.12162620995792,0.0,3.8727272727272726,0.0,2315.690909090909,0.0,1.4568544142251418,,0.005630415032551968,,1.4280676232669676,,-1.8852468050991031,
229,13,20200322,1.0,1.0,0.0,81.0,0.0,1.9286515936521478,0.0,66.7430055352528,0.0,3.7196969696969693,0.0,4454.628787878787,0.0,1.566050918019096,,0.9720709320463174,,1.801933789887385,,1.1702998729112752,
244,13,20200323,1.0,1.0,0.0,87.0,0.0,1.887883090687176,0.0,70.8009126407932,0.0,3.564102564102564,0.0,5012.76923076923,0.0,1.670666076895696,,0.678078284046903,,2.184782455265431,,-0.1260610067331992,
259,13,20200324,1.0,1.0,0.0,90.5,0.0,1.8156825980064073,0.0,76.43887164853429,0.0,3.2967032967032965,0.0,5842.9010989010985,0.0,1.7532432908860909,,0.5082226286578984,,2.614181818181893,,-0.7994029736389396,
274,13,20200325,1.0,1.0,0.0,94.0,0.0,2.463060426921489,0.0,87.53078370058213,0.0,6.066666666666667,0.0,7661.638095238094,0.0,1.678024489500278,,0.5795673176219887,,2.0775281957505136,,-0.6861407412924118,
289,13,20200326,1.0,1.0,0.0,106.0,0.0,2.7568097504180447,0.0,97.6245480448047,0.0,7.6000000000000005,0.0,9530.552380952382,0.0,1.1999310041943956,,0.5836182210738282,,0.053727435998891265,,-0.6850849543496549,
304,13,20200327,1.0,1.0,0.0,123.0,0.0,3.712270515594517,0.0,102.74230361628531,0.2581988897471611,13.780952380952382,0.0,10555.980952380953,0.06666666666666667,1.3171559078052721,,0.38525068509136157,3.8729833462013614,0.9789282814974012,,-1.0925853353504953,14.999999999498556
319,13,20200328,1.0,1.0,0.0,125.0,0.0,3.6968455021364726,0.0,110.83827772716342,0.3518657752744984,13.666666666666668,0.0,12285.12380952381,0.12380952380952381,1.0458256081541983,,0.16740787466974505,2.4047631387052846,0.3553418621830276,,-1.3421547401872136,4.349112425631606
334,13,20200329,1.0,3.0,0.0,186.0,0.0,4.697517074654084,0.0,122.2862372040444,0.3518657752744984,22.066666666666666,0.0,14953.92380952381,0.12380952380952381,1.0849512748707806,,0.06147137291738709,2.4047631387052846,0.47044543703938757,,-1.3032707783624324,4.349112425631606
349,13,20200330,1.0,3.0,0.0,215.0,0.0,4.595028369257987,0.0,114.9073332650934,0.3518657752744984,21.114285714285717,0.0,13203.69523809524,0.12380952380952381,1.1147950396139794,,-0.1406090318478422,2.4047631387052846,0.6060639139846827,,-1.2376375220868043,4.349112425631606
364,13,20200331,1.0,2.0,0.0,230.0,0.0,4.636295729916082,0.0,106.48840759623066,1.804755622554715,21.495238095238097,0.0,11339.780952380956,3.257142857142857,1.1734898961768834,,-0.3489460141167708,3.640853155025933,0.6325926737106533,,-0.9934922244458273,13.625612614532034
379,13,20200401,1.0,3.0,0.0,277.0,0.0,4.847188679558296,0.0,118.84996544262978,2.1201976547572388,23.495238095238097,0.0,14125.314285714292,4.495238095238095,0.7937322337510752,,-0.2214962347562716,2.435060540886353,-0.4558219066970056,,-0.4499820423765172,5.129867080635593
