,pruid,date,numtoday,numdeathstoday,numteststoday,numrecoveredtoday,Class
64,10,2020-03-11,0,0.0,,,
78,10,2020-03-12,0,0.0,21.0,,
93,10,2020-03-13,0,0.0,51.0,,
108,10,2020-03-14,0,0.0,96.0,,1.0
123,10,2020-03-15,1,0.0,109.0,,1.0
138,10,2020-03-16,0,0.0,101.0,,1.0
153,10,2020-03-17,0,0.0,49.0,,1.0
168,10,2020-03-18,2,0.0,144.0,,1.0
183,10,2020-03-19,0,0.0,229.0,,1.0
198,10,2020-03-20,1,0.0,282.0,,1.0
213,10,2020-03-21,2,0.0,213.0,,1.0
228,10,2020-03-22,3,0.0,246.0,,1.0
243,10,2020-03-23,15,0.0,144.0,,1.0
258,10,2020-03-24,11,0.0,189.0,,1.0
273,10,2020-03-25,32,0.0,215.0,,1.0
288,10,2020-03-26,15,0.0,178.0,,1.0
303,10,2020-03-27,20,0.0,260.0,,1.0
318,10,2020-03-28,18,0.0,251.0,4.0,1.0
333,10,2020-03-29,15,0.0,316.0,0.0,1.0
348,10,2020-03-30,13,1.0,233.0,3.0,1.0
363,10,2020-03-31,4,0.0,289.0,0.0,1.0
378,10,2020-04-01,23,0.0,190.0,3.0,1.0
393,10,2020-04-02,8,0.0,297.0,0.0,1.0
408,10,2020-04-03,0,0.0,132.0,,1.0
423,10,2020-04-04,12,0.0,317.0,,1.0
438,10,2020-04-05,22,0.0,253.0,11.0,1.0
453,10,2020-04-06,9,1.0,268.0,21.0,1.0
468,10,2020-04-07,2,0.0,217.0,,1.0
483,10,2020-04-08,4,0.0,188.0,,1.0
498,10,2020-04-09,4,1.0,283.0,,1.0
513,10,2020-04-10,3,0.0,228.0,,1.0
528,10,2020-04-11,2,0.0,179.0,,1.0
543,10,2020-04-12,1,0.0,370.0,,1.0
558,10,2020-04-13,2,0.0,127.0,,1.0
573,10,2020-04-14,0,0.0,161.0,,1.0
588,10,2020-04-15,3,0.0,61.0,,1.0
603,10,2020-04-16,5,0.0,285.0,,1.0
618,10,2020-04-17,4,0.0,186.0,,1.0
633,10,2020-04-18,0,0.0,303.0,189.0,1.0
648,10,2020-04-19,0,0.0,403.0,2.0,1.0
663,10,2020-04-20,0,0.0,379.0,0.0,1.0
678,10,2020-04-21,0,0.0,256.0,3.0,1.0
693,10,2020-04-22,0,0.0,100.0,5.0,1.0
708,10,2020-04-23,0,0.0,409.0,6.0,1.0
723,10,2020-04-24,0,0.0,243.0,2.0,1.0
738,10,2020-04-25,1,0.0,404.0,1.0,1.0
753,10,2020-04-26,1,0.0,289.0,11.0,1.0
768,10,2020-04-27,0,0.0,266.0,2.0,1.0
783,10,2020-04-28,0,0.0,322.0,1.0,1.0
798,10,2020-04-29,0,0.0,426.0,3.0,1.0
813,10,2020-04-30,0,0.0,481.0,0.0,1.0
828,10,2020-05-01,1,0.0,292.0,5.0,1.0
843,10,2020-05-02,0,0.0,237.0,1.0,1.0
858,10,2020-05-03,0,0.0,252.0,1.0,1.0
873,10,2020-05-04,0,0.0,182.0,1.0,1.0
888,10,2020-05-05,0,0.0,126.0,8.0,1.0
903,10,2020-05-06,0,0.0,263.0,3.0,1.0
918,10,2020-05-07,1,0.0,276.0,0.0,1.0
933,10,2020-05-08,0,0.0,257.0,0.0,1.0
948,10,2020-05-09,0,0.0,188.0,0.0,1.0
963,10,2020-05-10,0,0.0,158.0,0.0,1.0
978,10,2020-05-11,0,0.0,284.0,0.0,0.0
993,10,2020-05-12,0,0.0,135.0,3.0,0.0
1008,10,2020-05-13,0,0.0,175.0,0.0,0.0
1023,10,2020-05-14,0,0.0,207.0,1.0,0.0
1038,10,2020-05-15,0,0.0,156.0,0.0,1.0
1053,10,2020-05-16,0,0.0,175.0,1.0,1.0
1068,10,2020-05-17,0,0.0,202.0,0.0,1.0
1083,10,2020-05-18,0,0.0,189.0,0.0,1.0
1098,10,2020-05-19,0,0.0,117.0,1.0,1.0
1113,10,2020-05-20,0,0.0,77.0,0.0,1.0
1128,10,2020-05-21,0,0.0,115.0,3.0,1.0
1143,10,2020-05-22,0,0.0,214.0,0.0,1.0
1158,10,2020-05-23,0,0.0,166.0,1.0,1.0
1173,10,2020-05-24,0,0.0,184.0,0.0,1.0
1188,10,2020-05-25,0,0.0,135.0,0.0,1.0
1203,10,2020-05-26,0,0.0,105.0,1.0,1.0
1218,10,2020-05-27,0,0.0,171.0,0.0,1.0
1233,10,2020-05-28,1,0.0,204.0,0.0,1.0
1248,10,2020-05-29,0,0.0,260.0,0.0,1.0
1263,10,2020-05-30,0,0.0,179.0,0.0,1.0
1278,10,2020-05-31,0,0.0,221.0,0.0,1.0
1293,10,2020-06-01,0,0.0,254.0,0.0,0.0
1308,10,2020-06-02,0,0.0,103.0,1.0,0.0
1323,10,2020-06-03,0,0.0,158.0,0.0,0.0
1338,10,2020-06-04,0,0.0,280.0,0.0,0.0
1353,10,2020-06-05,0,0.0,309.0,0.0,0.0
1368,10,2020-06-06,0,0.0,229.0,0.0,0.0
1383,10,2020-06-07,0,0.0,228.0,0.0,0.0
1398,10,2020-06-08,0,0.0,341.0,0.0,0.0
1413,10,2020-06-09,0,0.0,150.0,0.0,0.0
1428,10,2020-06-10,0,0.0,219.0,0.0,0.0
1443,10,2020-06-11,0,0.0,399.0,0.0,0.0
1458,10,2020-06-12,0,0.0,252.0,0.0,0.0
1473,10,2020-06-13,0,0.0,294.0,0.0,0.0
1488,10,2020-06-14,0,0.0,276.0,0.0,0.0
1503,10,2020-06-15,0,0.0,284.0,1.0,0.0
1518,10,2020-06-16,0,0.0,169.0,0.0,0.0
1533,10,2020-06-17,0,0.0,238.0,0.0,0.0
1548,10,2020-06-18,0,0.0,371.0,1.0,0.0
1563,10,2020-06-19,0,0.0,328.0,0.0,0.0
1578,10,2020-06-20,0,0.0,322.0,0.0,0.0
1593,10,2020-06-21,0,0.0,263.0,0.0,0.0
1608,10,2020-06-22,0,0.0,436.0,0.0,0.0
1623,10,2020-06-23,0,0.0,205.0,0.0,0.0
1638,10,2020-06-24,0,0.0,360.0,0.0,0.0
1653,10,2020-06-25,0,0.0,342.0,0.0,0.0
1668,10,2020-06-26,0,0.0,433.0,0.0,0.0
1683,10,2020-06-27,0,0.0,323.0,0.0,0.0
1698,10,2020-06-28,0,0.0,164.0,0.0,0.0
1713,10,2020-06-29,0,0.0,426.0,0.0,0.0
1728,10,2020-06-30,0,0.0,171.0,0.0,0.0
1743,10,2020-07-01,0,0.0,236.0,0.0,0.0
1758,10,2020-07-02,0,0.0,382.0,0.0,0.0
1773,10,2020-07-03,0,0.0,488.0,0.0,0.0
1788,10,2020-07-04,0,0.0,162.0,0.0,0.0
1803,10,2020-07-05,0,0.0,234.0,0.0,0.0
1818,10,2020-07-06,0,0.0,443.0,0.0,0.0
1833,10,2020-07-07,0,0.0,216.0,0.0,0.0
1848,10,2020-07-08,0,0.0,306.0,0.0,1.0
1863,10,2020-07-09,0,0.0,448.0,0.0,1.0
1878,10,2020-07-10,1,0.0,450.0,0.0,1.0
1893,10,2020-07-11,0,0.0,413.0,0.0,1.0
1908,10,2020-07-12,0,0.0,333.0,0.0,1.0
1923,10,2020-07-13,0,0.0,493.0,0.0,1.0
1938,10,2020-07-14,0,0.0,236.0,0.0,1.0
1953,10,2020-07-15,0,0.0,254.0,0.0,1.0
1968,10,2020-07-16,0,0.0,570.0,0.0,1.0
1983,10,2020-07-17,0,0.0,459.0,1.0,1.0
1998,10,2020-07-18,0,0.0,380.0,0.0,1.0
2013,10,2020-07-19,0,0.0,264.0,0.0,1.0
2028,10,2020-07-20,0,0.0,482.0,0.0,0.0
2043,10,2020-07-21,1,0.0,271.0,0.0,0.0
2058,10,2020-07-22,1,0.0,234.0,0.0,0.0
2073,10,2020-07-23,0,0.0,584.0,0.0,0.0
2088,10,2020-07-24,1,0.0,439.0,0.0,0.0
2103,10,2020-07-25,0,0.0,448.0,0.0,0.0
2118,10,2020-07-26,1,0.0,333.0,0.0,0.0
2133,10,2020-07-27,0,0.0,438.0,0.0,0.0
2148,10,2020-07-28,0,0.0,419.0,0.0,0.0
2163,10,2020-07-29,0,0.0,351.0,0.0,0.0
2178,10,2020-07-30,0,0.0,536.0,0.0,0.0
2193,10,2020-07-31,0,0.0,490.0,0.0,0.0
2208,10,2020-08-01,0,0.0,443.0,0.0,0.0
2223,10,2020-08-02,0,0.0,319.0,0.0,0.0
2238,10,2020-08-03,0,0.0,514.0,0.0,0.0
2253,10,2020-08-04,0,0.0,261.0,1.0,0.0
2268,10,2020-08-05,0,0.0,286.0,3.0,0.0
2283,10,2020-08-06,0,0.0,480.0,0.0,0.0
2298,10,2020-08-07,1,0.0,496.0,0.0,0.0
2313,10,2020-08-08,0,0.0,411.0,0.0,0.0
2328,10,2020-08-09,0,0.0,359.0,0.0,0.0
2343,10,2020-08-10,1,0.0,550.0,0.0,0.0
2358,10,2020-08-11,0,0.0,268.0,0.0,0.0
2373,10,2020-08-12,0,0.0,202.0,0.0,0.0
2388,10,2020-08-13,0,0.0,615.0,0.0,0.0
2403,10,2020-08-14,0,0.0,416.0,0.0,0.0
2418,10,2020-08-15,0,0.0,293.0,0.0,0.0
2433,10,2020-08-16,0,0.0,387.0,0.0,0.0
2448,10,2020-08-17,0,0.0,388.0,0.0,0.0
2463,10,2020-08-18,0,0.0,340.0,0.0,0.0
2478,10,2020-08-19,0,0.0,334.0,0.0,0.0
2493,10,2020-08-20,0,0.0,523.0,0.0,0.0
2508,10,2020-08-21,0,0.0,445.0,2.0,0.0
2523,10,2020-08-22,0,0.0,485.0,0.0,0.0
2538,10,2020-08-23,0,0.0,302.0,0.0,0.0
2553,10,2020-08-24,0,0.0,501.0,0.0,0.0
2568,10,2020-08-25,0,0.0,212.0,0.0,0.0
2583,10,2020-08-26,0,0.0,297.0,0.0,0.0
2598,10,2020-08-27,0,0.0,550.0,0.0,0.0
2613,10,2020-08-28,1,0.0,414.0,0.0,0.0
2628,10,2020-08-29,0,0.0,485.0,0.0,0.0
2643,10,2020-08-30,0,0.0,317.0,0.0,0.0
2658,10,2020-08-31,0,0.0,385.0,0.0,0.0
2673,10,2020-09-01,0,0.0,328.0,0.0,0.0
2688,10,2020-09-02,0,0.0,237.0,0.0,0.0
2703,10,2020-09-03,0,0.0,508.0,0.0,0.0
2718,10,2020-09-04,0,0.0,362.0,0.0,0.0
2733,10,2020-09-05,1,0.0,432.0,0.0,0.0
2748,10,2020-09-06,0,0.0,387.0,0.0,0.0
2763,10,2020-09-07,0,0.0,288.0,0.0,0.0
2778,10,2020-09-08,0,0.0,285.0,0.0,0.0
2793,10,2020-09-09,0,0.0,351.0,1.0,0.0
2808,10,2020-09-10,0,0.0,323.0,0.0,0.0
2823,10,2020-09-11,0,0.0,352.0,0.0,0.0
2838,10,2020-09-12,1,0.0,625.0,0.0,0.0
